"study" "ID" "year" "N" "yi" "vi" "Status" "Control" "IV_type" "DV_beh" "Domain"
"1" "Blanken. van de Ven. and Zeelenberg 1  " "Blanken (2012) 2" "2012" 86 0.07 0.05 "unpublished" "neutral" "action" "hypothetical" "different_domain"
"2" "Blanken. van de Ven. and Zeelenberg 1  " "Blanken (2012) 1" "2012" 86 -0.08 0.05 "unpublished" "neutral" "trait" "hypothetical" "different_domain"
"3" "Blanken. van de Ven. and Zeelenberg 2  " "Blanken (2012) 3" "2012" 38 0.05 0.11 "unpublished" "neutral" "action" "hypothetical" "different_domain"
"4" "Blanken. van de Ven. and Zeelenberg 3  " "Blanken (2012) 4" "2012" 49 0.49 0.08 "unpublished" "neutral" "trait" "hypothetical" "different_domain"
"5" "Blanken. van de Ven. and Zeelenberg 3  " "Blanken (2012) 5" "2012" 47 0.03 0.09 "unpublished" "neutral" "action" "hypothetical" "different_domain"
"6" "Blanken. van de Ven. and Zeelenberg 4  " "Blanken (2012) 7" "2012" 65 0.54 0.06 "unpublished" "neutral" "trait" "hypothetical" "different_domain"
"7" "Blanken. van de Ven. and Zeelenberg 4  " "Blanken (2012) 6" "2012" 64 0.3 0.06 "unpublished" "neutral" "trait" "hypothetical" "different_domain"
"8" "Blanken. van de Ven. and Zeelenberg 5  " "Blanken (2012) 9" "2012" 53 0.12 0.08 "unpublished" "neutral" "action" "hypothetical" "different_domain"
"9" "Blanken. van de Ven. and Zeelenberg 5  " "Blanken (2012) 8" "2012" 57 -0.11 0.07 "unpublished" "neutral" "action" "hypothetical" "different_domain"
"10" "Blanken. van de Ven. and Zeelenberg 6  " "Blanken (2012) 10" "2012" 50 0.61 0.1 "unpublished" "neutral" "x" "actual" "different_domain"
"11" "Blanken. van de Ven. and Zeelenberg 6  " "Blanken (2012) 11" "2012" 49 0.48 0.1 "unpublished" "neutral" "action" "actual" "different_domain"
"12" "Blanken. van de Ven. and Zeelenberg 7  " "Blanken (2012) 12" "2012" 48 0.63 0.09 "unpublished" "neutral" "trait" "hypothetical" "different_domain"
"13" "Blanken. van de Ven. and Zeelenberg 7  " "Blanken (2012) 13" "2012" 51 0.22 0.08 "unpublished" "neutral" "action" "hypothetical" "different_domain"
"14" "Blanken. van de Ven. and Zeelenberg 8  " "Blanken (2012) 14" "2012" 94 0.86 0.07 "unpublished" "neutral" "trait" "hypothetical" "different_domain"
"15" "Blanken. van de Ven. and Zeelenberg 8  " "Blanken (2012) 15" "2012" 133 0.24 0.03 "unpublished" "neutral" "action" "hypothetical" "different_domain"
"16" "Blanken. van de Ven. and Zeelenberg 9  " "Blanken (2012) 17" "2012" 61 0.04 0.07 "unpublished" "neutral" "action" "hypothetical" "different_domain"
"17" "Blanken. van de Ven. and Zeelenberg 9  " "Blanken (2012) 16" "2012" 65 -0.19 0.06 "unpublished" "neutral" "trait" "hypothetical" "different_domain"
"18" "Blanken. van de Ven. and Zeelenberg  10  " "Blanken (2012) 18" "2012" 61 -0.34 0.07 "unpublished" "neutral" "action" "hypothetical" "different_domain"
"19" "Blanken. van de Ven. and Zeelenberg  11  " "Blanken (2012) 19" "2012" 83 -0.25 0.05 "unpublished" "neutral" "action" "hypothetical" "same_domain"
"20" "Blanken. van de Ven. and Zeelenberg  12  " "Blanken (2012) 20" "2012" 57 -0.67 0.08 "unpublished" "neutral" "action" "hypothetical" "same_domain"
"21" "Blanken. van de Ven. Zeelenberg. and Meijers 1  " "Blanken (2014) 1" "2014" 64 -0.08 0.06 "published" "neutral" "trait" "actual" "different_domain"
"22" "Blanken. van de Ven. Zeelenberg. and Meijers 2  " "Blanken (2014) 2" "2014" 91 -0.27 0.04 "published" "neutral" "trait" "hypothetical" "different_domain"
"23" "Blanken. van de Ven. Zeelenberg. and Meijers 3  " "Blanken (2014) 3" "2014" 567 0.05 0.01 "published" "neutral" "trait" "x" "different_domain"
"24" "Bradley-Geist. King. Skorinko. Hebl. and McKenna 1  " "Bradley-Geist (2010) 2" "2010" 35 0.66 0.13 "published" "neutral" "action" "hypothetical" "same_domain"
"25" "Bradley-Geist. King. Skorinko. Hebl. and McKenna 1  " "Bradley-Geist (2010) 1" "2010" 38 -0.17 0.11 "published" "neutral" "action" "hypothetical" "same_domain"
"26" "Bradley-Geist. King. Skorinko. Hebl. and McKenna 2  " "Bradley-Geist (2010) 4" "2010" 42 0.47 0.1 "published" "neutral" "action" "hypothetical" "same_domain"
"27" "Bradley-Geist. King. Skorinko. Hebl. and McKenna 2  " "Bradley-Geist (2010) 3" "2010" 44 0.17 0.09 "published" "neutral" "action" "hypothetical" "same_domain"
"28" "Bradley-Geist. King. Skorinko. Hebl. and McKenna 4  " "Bradley-Geist (2010) 5" "2010" 56 -0.7 0.08 "published" "extreme" "action" "hypothetical" "same_domain"
"29" "Brown et al. 1  " "Brown (2011) 1" "2011" 97 0.41 0.04 "published" "neutral" "action" "actual" "different_domain"
"30" "Cain. Loewenstein. and Moore 1  " "Cain (2005) 1" "2005" 43 0.58 0.1 "published" "neutral" "action" "hypothetical" "same_domain"
"31" "Cain. Loewenstein. and Moore 1  " "Cain (2011) 1" "2010" 348 -0.15 0.01 "published" "neutral" "action" "hypothetical" "same_domain"
"32" "Cain. Loewenstein. and Moore 3  " "Cain (2011) 3" "2010" 77 0.4 0.05 "published" "neutral" "action" "actual" "same_domain"
"33" "Cain. Loewenstein. and Moore 3  " "Cain (2011) 2" "2010" 49 0.04 0.08 "published" "neutral" "action" "actual" "same_domain"
"34" "Cascio and Plant 1  " "Cascio (2015) 1" "2015" 86 0.53 0.05 "published" "neutral" "action" "hypothetical" "different_domain"
"35" "Cascio and Plant 2  " "Cascio (2015) 2" "2015" 51 0.66 0.08 "published" "neutral" "action" "hypothetical" "different_domain"
"36" "Cascio and Plant 3  " "Cascio (2015) 3" "2015" 54 1.26 0.09 "published" "neutral" "action" "hypothetical" "different_domain"
"37" "Cascio and Plant 4  " "Cascio (2015) 4" "2015" 74 0.6 0.06 "published" "neutral" "action" "hypothetical" "different_domain"
"38" "Choi. Crandall. and La 2  " "Choi (2014) 1" "2014" 116 0.44 0.04 "published" "neutral" "action" "hypothetical" "same_domain"
"39" "Choi. Crandall. and La 3  " "Choi (2014) 2" "2014" 60 0.54 0.07 "published" "neutral" "action" "hypothetical" "same_domain"
"40" "Clot. Grolleau. and Ibanez 1  " "Clot (2014) 1" "2014" 100 0.35 0.04 "published" "neutral" "action" "actual" "different_domain"
"41" "Clot. Grolleau. and Ibanez 1  " "Clot (2013b) 1" "2013a" 192 0.3 0.02 "published" "neutral" "trait" "actual" "same_domain"
"42" "Clot. Grolleau. and Ibanez 1  " "Clot (2013a) 1" "2013b" 367 0.23 0.01 "unpublished" "neutral" "action" "actual" "different_domain"
"43" "Conway and Peetz 1  " "Conway (2012) 1" "2012" 51 0.33 0.08 "published" "extreme" "action" "hypothetical" "different_domain"
"44" "Conway and Peetz 2  " "Conway (2012) 2" "2012" 39 0.58 0.11 "published" "extreme" "action" "hypothetical" "different_domain"
"45" "Conway and Peetz 3  " "Conway (2012) 4" "2012" 65 0.79 0.07 "published" "extreme" "action" "actual" "different_domain"
"46" "Conway and Peetz 3  " "Conway (2012) 3" "2012" 65 0 0.06 "published" "extreme" "trait" "actual" "different_domain"
"47" "Cornelissen. Bashshur. Rode. and Le Menestrel 1  " "Cornelissen (2013a) 1" "2013" 48 0.59 0.09 "published" "extreme" "action" "actual" "different_domain"
"48" "Cornelissen. Bashshur. Rode. and Le Menestrel 2  " "Cornelissen (2013a) 2" "2013" 40 0.84 0.11 "published" "extreme" "action" "actual" "different_domain"
"49" "Cornelissen. Bashshur. Rode. and Le Menestrel 3  " "Cornelissen (2013a) 3" "2013" 50 0.53 0.08 "published" "extreme" "action" "actual" "different_domain"
"50" "Cornelissen. Karelaia. Soyer 1  " "Cornelissen (2013b) 1" "2013" 70 0.57 0.06 "unpublished" "extreme" "action" "actual" "same_domain"
"51" "Cornelissen. Karelaia. Soyer 2  " "Cornelissen (2013b) 2" "2013" 92 0.36 0.04 "unpublished" "extreme" "action" "actual" "same_domain"
"52" "Effron. Cameron. and Monin 1  " "Effron (2009) 1" "2009" 84 0.44 0.05 "published" "neutral" "action" "hypothetical" "same_domain"
"53" "Effron. Cameron. and Monin 2  " "Effron (2009) 2" "2009" 40 0.35 0.1 "published" "neutral" "action" "hypothetical" "same_domain"
"54" "Effron. Cameron. and Monin 3  " "Effron (2009) 3" "2009" 50 0.16 0.08 "published" "neutral" "action" "hypothetical" "same_domain"
"55" "Effron. Monin. and Miller 3  " "Effron (2012) 1" "2012" 157 0.25 0.03 "published" "neutral" "action" "hypothetical" "same_domain"
"56" "Jordan. Mullen and Murnighan 2  " "Jordan (2011) 2" "2011" 68 0.42 0.06 "published" "neutral" "action" "hypothetical" "different_domain"
"57" "Jordan. Mullen and Murnighan 3  " "Jordan (2011) 3" "2011" 76 0.994 0.06 "published" "neutral" "action" "actual" "different_domain"
"58" "Khan and Dhar 1  " "Khan (2006) 1" "2006" 108 0.62 0.04 "published" "neutral" "action" "hypothetical" "different_domain"
"59" "Khan and Dhar 2  " "Khan (2006) 2" "2006" 94 0.6 0.05 "published" "neutral" "action" "hypothetical" "different_domain"
"60" "Khan and Dhar 2  " "Khan (2006) 3" "2006" 80 0.56 0.06 "published" "neutral" "action" "hypothetical" "different_domain"
"61" "Khan and Dhar 3  " "Khan (2006) 4" "2006" 80 0.39 0.05 "published" "neutral" "action" "actual" "different_domain"
"62" "Khan and Dhar 4  " "Khan (2006) 5" "2006" 80 0.46 0.06 "published" "neutral" "action" "hypothetical" "different_domain"
"63" "Khan and Dhar 5  " "Khan (2006) 6" "2006" 66 0.56 0.06 "published" "neutral" "action" "hypothetical" "different_domain"
"64" "Leonard 1  " "Leonard (2012) 2" "2012" 92 -0.04 0.04 "unpublished" "extreme" "action" "hypothetical" "different_domain"
"65" "Leonard 1  " "Leonard (2012) 1" "2012" 32 -0.29 0.13 "unpublished" "neutral" "action" "hypothetical" "different_domain"
"66" "Leonard 2  " "Leonard (2012) 3" "2012" 43 -0.02 0.09 "unpublished" "extreme" "action" "hypothetical" "different_domain"
"67" "Leonard 3  " "Leonard (2012) 4" "2012" 64 0.01 0.06 "unpublished" "extreme" "action" "hypothetical" "different_domain"
"68" "Mann and Kawakami 1  " "Mann (2012) 1" "2012" 44 0.73 0.1 "published" "extreme" "action" "actual" "same_domain"
"69" "Mann and Kawakami 2  " "Mann (2012) 2" "2012" 94 0.55 0.04 "published" "extreme" "action" "hypothetical" "same_domain"
"70" "Mann and Kawakami 3  " "Mann (2012) 3" "2012" 30 0.86 0.15 "published" "extreme" "action" "actual" "same_domain"
"71" "Mazar and Zhong 2  " "Mazar (2010) 2" "2010" 76 0.29 0.05 "published" "neutral" "action" "actual" "different_domain"
"72" "Mazar and Zhong 3  " "Mazar (2010) 3" "2010" 81 0.53 0.05 "published" "neutral" "action" "actual" "different_domain"
"73" "Meijers. Noordewier. Verlegh. & Smit 1  " "Meijers (2014) 2" "2014" 40 0.83 0.11 "unpublished" "neutral" "action" "hypothetical" "same_domain"
"74" "Meijers. Noordewier. Verlegh. & Smit 1  " "Meijers (2014) 1" "2014" 40 -0.04 0.1 "unpublished" "neutral" "action" "hypothetical" "same_domain"
"75" "Meijers. Noordewier. Verlegh. & Smit 2  " "Meijers (2014) 3" "2014" 88 0.6 0.05 "unpublished" "neutral" "action" "hypothetical" "same_domain"
"76" "Meijers. Noordewier. Verlegh. & Smit 2  " "Meijers (2014) 4" "2014" 88 -0.24 0.05 "unpublished" "neutral" "action" "hypothetical" "same_domain"
"77" "Merritt. Effron. Fein. Savitsky. Tuller. and Monin 2  " "Merritt (2012) 1" "2012" 70 0.48 0.06 "published" "neutral" "action" "hypothetical" "same_domain"
"78" "Monin and Miller 1  " "Monin (2001) 1" "2001" 140 0.26 0.03 "published" "neutral" "action" "hypothetical" "same_domain"
"79" "Monin and Miller 2  " "Monin (2001) 2" "2001" 110 0.71 0.04 "published" "neutral" "action" "hypothetical" "same_domain"
"80" "Monin and Miller 3  " "Monin (2001) 3" "2001" 21 0.91 0.21 "published" "neutral" "action" "hypothetical" "same_domain"
"81" "Sachdeva. Iliev. and Medin 1  " "Sachdeva (2009) 1" "2009" 29 0.6 0.14 "published" "neutral" "trait" "actual" "different_domain"
"82" "Sachdeva. Iliev. and Medin 2  " "Sachdeva (2009) 2" "2009" 18 1.1 0.26 "published" "extreme" "trait" "actual" "different_domain"
