"e","var","n","anova_est_mean","anova_tpr","glmm_est_mean","glmm_tpr"
0,0,240,0.00468333333333333,0.0708333333333333,0.01880290979471,0.0625
0,0.25,240,-0.001325,0.0458333333333333,-0.00536132560250801,0.05
0,0.5,240,-0.000441666666666662,0.0375,-0.00191967242306159,0.0458333333333333
0,0.75,240,0.00394166666666665,0.075,0.0174816910265314,0.0791666666666667
0,1,240,0.00398333333333335,0.0375,0.0195520679370455,0.05
0.5,0,240,0.1193,0.745833333333333,0.488423627563647,0.75
0.5,0.25,240,0.120875,0.633333333333333,0.495769163260236,0.679166666666667
0.5,0.5,240,0.110008333333333,0.354166666666667,0.462146334456189,0.370833333333333
0.5,0.75,240,0.1126,0.270833333333333,0.500387247247804,0.279166666666667
0.5,1,240,0.0915166666666666,0.116666666666667,0.431813016646155,0.133333333333333
1,0,240,0.234366666666667,1,1.01581836182842,1
1,0.25,240,0.229008333333333,0.991666666666667,0.99492260303929,0.995833333333333
1,0.5,240,0.217275,0.9,0.961395637372552,0.916666666666667
1,0.75,240,0.207316666666667,0.704166666666667,0.952741962739842,0.725
1,1,240,0.199733333333333,0.5,0.973428218917049,0.520833333333333
1.5,0,240,0.319,1,1.50902082259871,1
1.5,0.25,240,0.313133333333333,1,1.48110864896969,1
1.5,0.5,240,0.3032,1,1.45121590986128,1
1.5,0.75,240,0.293816666666667,0.933333333333333,1.44884690470596,0.954166666666667
1.5,1,240,0.276866666666667,0.808333333333333,1.42539683624821,0.845833333333333
2,0,240,0.38535,1,2.03691152507791,1
2,0.25,240,0.379808333333333,1,2.0002228809173,1
2,0.5,240,0.373233333333333,1,1.94983919552889,1
2,0.75,240,0.358391666666667,0.991666666666667,1.92512397021282,0.995833333333333
2,1,240,0.335091666666667,0.945833333333333,1.86740938681245,0.975
