"m","sphericity","n","S","rANOVA","rANOVA_HF"
9,"hold",15,2000,0.0495,0.0455
9,"hold",20,2000,0.047,0.0465
9,"hold",25,2000,0.0485,0.046
9,"hold",30,2000,0.0545,0.053
9,"violation",15,2000,0.073,0.0595
9,"violation",20,2000,0.0735,0.058
9,"violation",25,2000,0.076,0.0545
9,"violation",30,2000,0.08,0.0655
12,"hold",15,2000,0.0515,0.05
12,"hold",20,2000,0.0595,0.056
12,"hold",25,2000,0.0475,0.047
12,"hold",30,2000,0.0535,0.0505
12,"violation",15,2000,0.083,0.0595
12,"violation",20,2000,0.082,0.0595
12,"violation",25,2000,0.072,0.048
12,"violation",30,2000,0.0765,0.0545
