m,sphericity,n,S,rANOVA,rANOVA_HF
9,hold,15,2000,0.045,0.0405
9,hold,20,2000,0.047,0.044
9,hold,25,2000,0.0545,0.0535
9,hold,30,2000,0.057,0.0555
9,violation,15,2000,0.079,0.059
9,violation,20,2000,0.0765,0.057
9,violation,25,2000,0.0665,0.049
9,violation,30,2000,0.0805,0.0575
12,hold,15,2000,0.0415,0.0375
12,hold,20,2000,0.0485,0.0445
12,hold,25,2000,0.0475,0.047
12,hold,30,2000,0.059,0.0565
12,violation,15,2000,0.0745,0.057
12,violation,20,2000,0.09,0.0625
12,violation,25,2000,0.073,0.0515
12,violation,30,2000,0.078,0.05
