Subject,effectSize,errBarType,graphImg,graphType,resp,RT,cycle,sample
1,0,EBTadj,v2sdEBTadj0i.bmp,SD,3,14154,1,1
1,5,EBTadj,v2sdEBTadj5i.bmp,SD,2,3480,1,2
1,5,EBTadj,v2sdEBTadj5a.bmp,SD,3,9261,1,3
1,8,EBTadj,v2SmallEBTadj8b.bmp,small,4,2205,1,4
1,3,EBTadj,v2SmallEBTadj3b.bmp,small,4,1253,1,5
1,0,EBTadj,v2sdEBTadj0h.bmp,SD,2,1363,1,6
1,0,EBTadj,v2FullEBTadj0a.bmp,full,2,901,1,7
1,3,EBTadj,v2FullEBTadj3f.bmp,full,2,2241,1,8
1,8,EBTadj,v2FullEBTadj8f.bmp,full,2,2679,1,9
1,3,EBTadj,v2sdEBTadj3h.bmp,SD,3,1509,1,10
1,8,EBTadj,v2FullEBTadj8g.bmp,full,2,808,1,11
1,3,EBTadj,v2FullEBTadj3e.bmp,full,1,575,1,12
1,5,EBTadj,v2sdEBTadj5c.bmp,SD,4,735,1,13
1,3,EBTadj,v2FullEBTadj3j.bmp,full,2,1242,1,14
1,0,EBTadj,v2FullEBTadj0b.bmp,full,1,480,1,15
1,8,EBTadj,v2FullEBTadj8d.bmp,full,2,1028,1,16
1,8,EBTadj,v2FullEBTadj8c.bmp,full,1,2819,1,17
1,3,EBTadj,v2FullEBTadj3i.bmp,full,1,1307,1,18
1,5,EBTadj,v2FullEBTadj5d.bmp,full,2,967,1,19
1,8,EBTadj,v2sdEBTadj8b.bmp,SD,4,832,1,20
1,8,EBTadj,v2SmallEBTadj8h.bmp,small,3,799,1,21
1,3,EBTadj,v2FullEBTadj3a.bmp,full,2,1879,1,22
1,3,EBTadj,v2SmallEBTadj3f.bmp,small,3,900,1,23
1,5,EBTadj,v2sdEBTadj5h.bmp,SD,1,768,1,24
1,0,EBTadj,v2sdEBTadj0c.bmp,SD,1,801,1,25
1,5,EBTadj,v2SmallEBTadj5d.bmp,small,3,1769,1,26
1,0,EBTadj,v2SmallEBTadj0i.bmp,small,2,851,1,27
1,3,EBTadj,v2sdEBTadj3e.bmp,SD,4,1128,1,28
1,8,EBTadj,v2SmallEBTadj8g.bmp,small,4,730,1,29
1,5,EBTadj,v2FullEBTadj5h.bmp,full,2,909,1,30
1,8,EBTadj,v2FullEBTadj8b.bmp,full,4,2985,1,31
1,0,EBTadj,v2FullEBTadj0f.bmp,full,2,1082,1,32
1,5,EBTadj,v2FullEBTadj5g.bmp,full,3,1031,1,33
1,0,EBTadj,v2sdEBTadj0b.bmp,SD,2,5357,1,34
1,8,EBTadj,v2sdEBTadj8e.bmp,SD,4,784,1,35
1,5,EBTadj,v2sdEBTadj5d.bmp,SD,4,3833,1,36
1,0,EBTadj,v2SmallEBTadj0e.bmp,small,2,809,1,37
1,3,EBTadj,v2sdEBTadj3b.bmp,SD,3,1128,1,38
1,5,EBTadj,v2SmallEBTadj5e.bmp,small,4,794,1,39
1,8,EBTadj,v2sdEBTadj8h.bmp,SD,4,634,1,40
1,8,EBTadj,v2FullEBTadj8j.bmp,full,2,912,1,41
1,8,EBTadj,v2SmallEBTadj8d.bmp,small,4,644,1,42
1,5,EBTadj,v2SmallEBTadj5b.bmp,small,4,930,1,43
1,3,EBTadj,v2SmallEBTadj3h.bmp,small,2,772,1,44
1,0,EBTadj,v2sdEBTadj0d.bmp,SD,3,773,1,45
1,0,EBTadj,v2SmallEBTadj0c.bmp,small,4,582,1,46
1,0,EBTadj,v2FullEBTadj0d.bmp,full,2,334,1,47
1,0,EBTadj,v2FullEBTadj0c.bmp,full,3,425,1,48
1,8,EBTadj,v2SmallEBTadj8e.bmp,small,4,759,1,49
1,0,EBTadj,v2FullEBTadj0g.bmp,full,1,577,1,50
1,5,EBTadj,v2FullEBTadj5a.bmp,full,2,3817,1,51
1,3,EBTadj,v2FullEBTadj3g.bmp,full,2,1010,1,52
1,0,EBTadj,v2FullEBTadj0h.bmp,full,1,969,1,53
1,8,EBTadj,v2sdEBTadj8j.bmp,SD,4,730,1,54
1,5,EBTadj,v2FullEBTadj5j.bmp,full,2,844,1,55
1,0,EBTadj,v2SmallEBTadj0h.bmp,small,2,3098,1,56
1,0,EBTadj,v2sdEBTadj0a.bmp,SD,1,735,1,57
1,5,EBTadj,v2sdEBTadj5j.bmp,SD,4,578,1,58
1,8,EBTadj,v2SmallEBTadj8j.bmp,small,4,754,1,59
1,5,EBTadj,v2FullEBTadj5e.bmp,full,2,812,1,60
1,8,EBTadj,v2SmallEBTadj8a.bmp,small,4,851,1,61
1,3,EBTadj,v2sdEBTadj3f.bmp,SD,3,937,1,62
1,0,EBTadj,v2sdEBTadj0f.bmp,SD,2,1003,1,63
1,3,EBTadj,v2SmallEBTadj3c.bmp,small,4,1579,1,64
1,8,EBTadj,v2FullEBTadj8h.bmp,full,2,4692,1,65
1,3,EBTadj,v2SmallEBTadj3j.bmp,small,3,1841,1,66
1,8,EBTadj,v2sdEBTadj8g.bmp,SD,4,8607,1,67
1,8,EBTadj,v2SmallEBTadj8f.bmp,small,4,1521,1,68
1,3,EBTadj,v2FullEBTadj3b.bmp,full,2,3140,1,69
1,5,EBTadj,v2sdEBTadj5e.bmp,SD,3,887,1,70
1,3,EBTadj,v2sdEBTadj3g.bmp,SD,4,788,1,71
1,3,EBTadj,v2sdEBTadj3c.bmp,SD,3,868,1,72
1,3,EBTadj,v2sdEBTadj3j.bmp,SD,3,522,1,73
1,5,EBTadj,v2FullEBTadj5i.bmp,full,2,644,1,74
1,5,EBTadj,v2FullEBTadj5f.bmp,full,3,634,1,75
1,8,EBTadj,v2FullEBTadj8i.bmp,full,2,1297,1,76
1,3,EBTadj,v2sdEBTadj3d.bmp,SD,3,765,1,77
1,8,EBTadj,v2sdEBTadj8f.bmp,SD,4,694,1,78
1,3,EBTadj,v2SmallEBTadj3g.bmp,small,3,714,1,79
1,8,EBTadj,v2SmallEBTadj8c.bmp,small,4,677,1,80
1,0,EBTadj,v2sdEBTadj0j.bmp,SD,2,897,1,81
1,0,EBTadj,v2SmallEBTadj0a.bmp,small,1,1045,1,82
1,3,EBTadj,v2SmallEBTadj3i.bmp,small,4,1291,1,83
1,0,EBTadj,v2SmallEBTadj0j.bmp,small,3,5271,1,84
1,0,EBTadj,v2SmallEBTadj0d.bmp,small,2,1094,1,85
1,5,EBTadj,v2SmallEBTadj5c.bmp,small,4,706,1,86
1,5,EBTadj,v2FullEBTadj5c.bmp,full,3,789,1,87
1,3,EBTadj,v2sdEBTadj3i.bmp,SD,3,1325,1,88
1,5,EBTadj,v2SmallEBTadj5f.bmp,small,3,1024,1,89
1,5,EBTadj,v2sdEBTadj5b.bmp,SD,3,1503,1,90
1,8,EBTadj,v2sdEBTadj8i.bmp,SD,3,907,1,91
1,0,EBTadj,v2FullEBTadj0i.bmp,full,1,1078,1,92
1,8,EBTadj,v2sdEBTadj8a.bmp,SD,4,835,1,93
1,5,EBTadj,v2SmallEBTadj5a.bmp,small,4,1377,1,94
1,5,EBTadj,v2SmallEBTadj5h.bmp,small,4,714,1,95
1,8,EBTadj,v2SmallEBTadj8i.bmp,small,4,485,1,96
1,3,EBTadj,v2FullEBTadj3c.bmp,full,3,961,1,97
1,3,EBTadj,v2FullEBTadj3d.bmp,full,3,899,1,98
1,5,EBTadj,v2SmallEBTadj5i.bmp,small,3,1095,1,99
1,5,EBTadj,v2SmallEBTadj5g.bmp,small,3,507,1,100
1,5,EBTadj,v2SmallEBTadj5j.bmp,small,4,542,1,101
1,8,EBTadj,v2sdEBTadj8d.bmp,SD,4,816,1,102
1,5,EBTadj,v2FullEBTadj5b.bmp,full,2,823,1,103
1,0,EBTadj,v2FullEBTadj0j.bmp,full,2,774,1,104
1,5,EBTadj,v2sdEBTadj5g.bmp,SD,3,815,1,105
1,0,EBTadj,v2SmallEBTadj0b.bmp,small,2,2646,1,106
1,0,EBTadj,v2FullEBTadj0e.bmp,full,1,1061,1,107
1,0,EBTadj,v2SmallEBTadj0f.bmp,small,2,1570,1,108
1,8,EBTadj,v2sdEBTadj8c.bmp,SD,4,972,1,109
1,8,EBTadj,v2FullEBTadj8e.bmp,full,2,852,1,110
1,3,EBTadj,v2sdEBTadj3a.bmp,SD,2,594,1,111
1,0,EBTadj,v2SmallEBTadj0g.bmp,small,2,1354,1,112
1,3,EBTadj,v2SmallEBTadj3a.bmp,small,3,1220,1,113
1,8,EBTadj,v2FullEBTadj8a.bmp,full,2,996,1,114
1,3,EBTadj,v2SmallEBTadj3e.bmp,small,3,924,1,115
