Subject,corr,effectSize,graphType,ACC,resp,RT,cycle,sample
1,1,0,Full,0,3,10408,1,1
1,2,3,SD,0,4,14539,1,2
1,3,5,SD,0,4,7513,1,3
1,3,5,Full,0,2,4558,1,4
1,2,3,Small,0,4,2689,1,5
1,3,5,SD,0,4,7134,1,6
1,1,0,Full,1,1,2786,1,7
1,3,5,Small,0,4,1659,1,8
1,2,3,Full,0,1,7847,1,9
1,2,3,SD,0,3,3103,1,10
1,3,5,Full,0,1,2427,1,11
1,2,3,Small,0,4,2243,1,12
1,2,3,Small,0,4,1793,1,13
1,3,5,SD,1,3,1649,1,14
1,2,3,Full,0,1,2207,1,15
1,1,0,Small,1,1,1375,1,16
1,4,8,SD,1,4,1136,1,17
1,3,5,Full,0,2,1138,1,18
1,4,8,Small,1,4,1092,1,19
1,4,8,Full,0,2,1151,1,20
1,3,5,Small,0,4,2097,1,21
1,1,0,Small,1,1,5509,1,22
1,3,5,SD,0,4,1618,1,23
1,1,0,SD,1,1,2945,1,24
1,1,0,SD,0,2,8612,1,25
1,2,3,SD,0,3,1654,1,26
1,3,5,Small,0,4,1026,1,27
1,1,0,Full,1,1,1561,1,28
1,4,8,Small,1,4,3571,1,29
1,3,5,SD,0,4,3540,1,30
1,4,8,SD,1,4,647,1,31
1,1,0,Full,1,1,1805,1,32
1,4,8,SD,1,4,1005,1,33
1,4,8,SD,1,4,876,1,34
1,4,8,SD,1,4,729,1,35
1,4,8,Full,0,2,2324,1,36
1,1,0,SD,1,1,1455,1,37
1,3,5,Full,0,2,2285,1,38
1,4,8,Small,1,4,1473,1,39
1,2,3,Full,1,2,1686,1,40
1,3,5,Full,0,2,1115,1,41
1,1,0,Full,1,1,1030,1,42
1,3,5,Small,0,4,2085,1,43
1,2,3,Full,1,2,1194,1,44
1,3,5,Small,0,4,1122,1,45
1,4,8,Full,0,2,1117,1,46
1,2,3,Small,0,3,1976,1,47
1,1,0,SD,1,1,1577,1,48
1,1,0,Full,1,1,1746,1,49
1,1,0,SD,0,2,925,1,50
1,3,5,SD,0,4,1503,1,51
1,4,8,SD,1,4,802,1,52
1,1,0,Small,0,3,1914,1,53
1,4,8,Small,1,4,2982,1,54
1,4,8,SD,1,4,655,1,55
1,1,0,Full,1,1,2364,1,56
1,1,0,Small,0,2,9358,1,57
1,3,5,Full,0,2,4363,1,58
1,3,5,Small,0,4,1821,1,59
1,4,8,Full,0,2,2243,1,60
1,2,3,SD,0,3,1410,1,61
1,2,3,Small,0,3,585,1,62
1,1,0,SD,1,1,1825,1,63
1,3,5,SD,0,4,1792,1,64
1,3,5,SD,0,4,2033,1,65
1,4,8,Small,1,4,3159,1,66
1,2,3,Small,0,4,585,1,67
1,4,8,Small,1,4,498,1,68
1,4,8,Full,0,3,4342,1,69
1,3,5,SD,1,3,1017,1,70
1,1,0,SD,0,2,1679,1,71
1,2,3,Full,1,2,604,1,72
1,1,0,Small,1,1,676,1,73
1,2,3,Full,0,1,569,1,74
1,2,3,SD,0,3,2170,1,75
1,3,5,Small,0,4,860,1,76
1,1,0,Small,0,3,1017,1,77
1,4,8,SD,1,4,553,1,78
