Subject,Session,axisRange,graphImg,resp,RT,effectSize
1,1,sd,sd1i.bmp,2,20993,1
1,1,small,small3g.bmp,4,6136,3
1,1,full,full5b.bmp,2,7780,5
1,1,full,full3b.bmp,2,4871,3
1,1,small,small5h.bmp,4,4581,5
1,1,small,small8a.bmp,3,16367,8
1,1,full,full3d.bmp,2,9917,3
1,1,full,full3e.bmp,2,12474,3
1,1,full,full8a.bmp,3,11691,8
1,1,small,small8j.bmp,3,10723,8
1,1,sd,sd3d.bmp,2,13969,3
1,1,small,small8b.bmp,3,4974,8
1,1,sd,sd5c.bmp,2,4519,5
1,1,small,small3e.bmp,2,5044,3
1,1,small,small5j.bmp,3,7419,5
1,1,full,full5d.bmp,2,3836,5
1,1,sd,sd3f.bmp,2,13956,3
1,1,small,small5f.bmp,2,12601,5
1,1,sd,sd8c.bmp,3,6316,8
1,1,full,full1g.bmp,1,2993,1
1,1,sd,sd8h.bmp,3,3722,8
1,1,small,small5e.bmp,2,3973,5
1,1,small,small5b.bmp,3,6183,5
1,1,sd,sd5i.bmp,3,1330,5
1,1,full,full3j.bmp,2,2749,3
1,1,small,small5d.bmp,3,1967,5
1,1,full,full8b.bmp,3,5369,8
1,1,small,small1a.bmp,3,3124,1
1,1,sd,sd3e.bmp,2,2439,3
1,1,full,full1d.bmp,1,2414,1
1,1,small,small8g.bmp,4,6981,8
1,1,small,small1d.bmp,2,4703,1
1,1,full,full1e.bmp,1,1917,1
1,1,small,small3c.bmp,3,2576,3
1,1,full,full3h.bmp,2,4306,3
1,1,full,full8e.bmp,2,2062,8
1,1,small,small3j.bmp,2,2060,3
1,1,sd,sd5b.bmp,3,1754,5
1,1,sd,sd3c.bmp,3,2348,3
1,1,small,small1j.bmp,2,4518,1
1,1,full,full8h.bmp,2,3995,8
1,1,sd,sd1g.bmp,2,2460,1
1,1,full,full8j.bmp,2,5601,8
1,1,full,full1h.bmp,1,1091,1
1,1,small,small8f.bmp,3,2367,8
1,1,sd,sd8d.bmp,3,3377,8
1,1,small,small3b.bmp,2,4138,3
1,1,sd,sd8j.bmp,3,3797,8
1,1,small,small3h.bmp,2,2798,3
1,1,full,full3i.bmp,2,2503,3
1,1,small,small5g.bmp,3,6939,5
1,1,small,small1g.bmp,2,4871,1
1,1,full,full5g.bmp,2,1750,5
1,1,full,full5f.bmp,2,2224,5
1,1,full,full5a.bmp,2,3127,5
1,1,sd,sd8e.bmp,3,6649,8
1,1,small,small1e.bmp,2,1913,1
1,1,full,full1b.bmp,1,2421,1
1,1,small,small1f.bmp,2,2828,1
1,1,small,small3a.bmp,3,2012,3
1,1,sd,sd3b.bmp,2,2555,3
1,1,small,small3d.bmp,3,6397,3
1,1,small,small8i.bmp,3,3767,8
1,1,full,full8g.bmp,2,2129,8
1,1,sd,sd1a.bmp,2,3077,1
1,1,full,full3f.bmp,2,3170,3
1,1,small,small5c.bmp,3,2148,5
1,1,small,small8c.bmp,3,1335,8
1,1,full,full8c.bmp,2,1712,8
1,1,sd,sd5j.bmp,2,2156,5
1,1,full,full3a.bmp,2,1110,3
1,1,full,full8i.bmp,2,1417,8
1,1,sd,sd3h.bmp,2,1681,3
1,1,small,small1c.bmp,2,1718,1
1,1,sd,sd8i.bmp,3,2313,8
1,1,small,small1i.bmp,2,1653,1
1,1,full,full1i.bmp,1,1147,1
1,1,full,full5j.bmp,2,1669,5
1,1,small,small5a.bmp,3,3099,5
1,1,full,full8d.bmp,2,6656,8
1,1,full,full1f.bmp,1,1335,1
1,1,sd,sd8f.bmp,3,2042,8
1,1,sd,sd1h.bmp,2,5032,1
1,1,full,full5c.bmp,2,1168,5
1,1,sd,sd5h.bmp,3,1562,5
1,1,full,full1a.bmp,2,4282,1
1,1,sd,sd8b.bmp,3,1648,8
1,1,small,small3f.bmp,3,1190,3
1,1,sd,sd1c.bmp,2,2047,1
1,1,full,full3g.bmp,2,989,3
1,1,sd,sd1e.bmp,2,1197,1
1,1,sd,sd5f.bmp,4,3813,5
1,1,sd,sd8g.bmp,3,11445,8
1,1,sd,sd5e.bmp,2,3063,5
1,1,small,small5i.bmp,2,2333,5
1,1,full,full8f.bmp,2,6704,8
1,1,sd,sd3i.bmp,2,1070,3
1,1,full,full5h.bmp,2,1266,5
1,1,full,full5e.bmp,2,1152,5
1,1,sd,sd5d.bmp,2,1282,5
1,1,small,small1b.bmp,2,1158,1
1,1,sd,sd3g.bmp,2,808,3
1,1,sd,sd3j.bmp,2,887,3
1,1,full,full3c.bmp,2,1092,3
1,1,small,small8h.bmp,3,1824,8
1,1,sd,sd5g.bmp,2,983,5
1,1,full,full1c.bmp,1,1248,1
1,1,small,small1h.bmp,2,1646,1
1,1,sd,sd1j.bmp,2,980,1
1,1,small,small8e.bmp,3,1981,8
1,1,sd,sd1b.bmp,2,5254,1
1,1,small,small3i.bmp,2,1869,3
1,1,sd,sd5a.bmp,2,978,5
1,1,sd,sd8a.bmp,3,7491,8
1,1,full,full5i.bmp,2,1201,5
1,1,full,full1j.bmp,1,1209,1
1,1,sd,sd1d.bmp,2,1913,1
1,1,small,small8d.bmp,3,14659,8
1,1,sd,sd1f.bmp,2,1974,1
1,1,sd,sd3a.bmp,3,2231,3
1,1,sd,sd1i.bmp,2,1214,1
1,1,full,full1f.bmp,1,1117,1
1,1,small,small3g.bmp,2,4057,3
1,1,sd,sd1c.bmp,2,1095,1
1,1,full,full1e.bmp,1,963,1
1,1,full,full1i.bmp,1,732,1
1,1,full,full3h.bmp,1,1071,3
1,1,full,full5j.bmp,2,1796,5
1,1,full,full5d.bmp,2,1125,5
1,1,full,full1h.bmp,1,872,1
1,1,small,small8h.bmp,3,1653,8
1,1,full,full8i.bmp,2,4747,8
1,1,sd,sd3b.bmp,2,1541,3
1,1,full,full3d.bmp,2,800,3
1,1,full,full3a.bmp,2,960,3
1,1,full,full5f.bmp,2,881,5
1,1,small,small3d.bmp,2,1710,3
1,1,full,full3b.bmp,2,1289,3
1,1,full,full5e.bmp,2,925,5
1,1,sd,sd8g.bmp,3,1360,8
1,1,sd,sd3f.bmp,2,3554,3
1,1,full,full1a.bmp,2,1548,1
1,1,small,small1a.bmp,2,2230,1
1,1,small,small1g.bmp,2,1253,1
1,1,small,small1b.bmp,2,2675,1
1,1,small,small8f.bmp,3,2224,8
1,1,small,small1j.bmp,2,1015,1
1,1,small,small3h.bmp,2,910,3
1,1,sd,sd5j.bmp,3,2042,5
1,1,sd,sd8i.bmp,3,1408,8
1,1,full,full5i.bmp,2,2808,5
1,1,small,small3j.bmp,2,2927,3
1,1,small,small5b.bmp,3,2234,5
1,1,full,full8c.bmp,3,3945,8
1,1,full,full1d.bmp,1,2212,1
1,1,small,small8g.bmp,4,4435,8
1,1,full,full8j.bmp,3,2155,8
1,1,sd,sd5e.bmp,2,2228,5
1,1,sd,sd8h.bmp,3,2260,8
1,1,full,full5b.bmp,2,2361,5
1,1,sd,sd8f.bmp,3,1691,8
1,1,small,small3f.bmp,2,1455,3
1,1,small,small5e.bmp,3,1925,5
1,1,small,small3c.bmp,2,1328,3
1,1,small,small3b.bmp,2,1355,3
1,1,small,small5h.bmp,3,3732,5
1,1,sd,sd3a.bmp,2,1679,3
1,1,sd,sd1h.bmp,2,2083,1
1,1,small,small3a.bmp,3,1048,3
1,1,full,full8h.bmp,3,2366,8
1,1,small,small5d.bmp,3,1103,5
1,1,full,full5c.bmp,3,3442,5
1,1,sd,sd8j.bmp,3,1089,8
1,1,small,small5f.bmp,2,1509,5
1,1,sd,sd5d.bmp,3,2961,5
1,1,small,small1c.bmp,2,1043,1
1,1,sd,sd5g.bmp,3,1241,5
1,1,small,small8j.bmp,4,951,8
1,1,sd,sd3c.bmp,2,3384,3
1,1,sd,sd3g.bmp,2,1081,3
1,1,small,small1i.bmp,2,1006,1
1,1,full,full3g.bmp,2,2109,3
1,1,sd,sd3i.bmp,2,1593,3
1,1,sd,sd1j.bmp,2,1233,1
1,1,small,small5c.bmp,3,1967,5
1,1,sd,sd3e.bmp,2,1440,3
1,1,small,small8d.bmp,3,1895,8
1,1,sd,sd1e.bmp,2,2170,1
1,1,sd,sd5i.bmp,3,859,5
1,1,sd,sd3h.bmp,2,856,3
1,1,small,small8b.bmp,4,2150,8
1,1,full,full5g.bmp,3,2208,5
1,1,sd,sd8b.bmp,2,1800,8
1,1,sd,sd1b.bmp,2,2440,1
1,1,sd,sd1d.bmp,2,2887,1
1,1,small,small5i.bmp,3,1708,5
1,1,sd,sd1g.bmp,2,1136,1
1,1,sd,sd5c.bmp,3,819,5
1,1,small,small8e.bmp,4,730,8
1,1,small,small3e.bmp,2,1324,3
1,1,full,full3e.bmp,2,2607,3
1,1,full,full1c.bmp,1,1279,1
1,1,full,full8g.bmp,3,1452,8
1,1,sd,sd1f.bmp,2,2202,1
1,1,sd,sd8c.bmp,3,1347,8
1,1,sd,sd8a.bmp,3,1557,8
1,1,sd,sd1a.bmp,2,1502,1
1,1,full,full8f.bmp,2,3738,8
1,1,full,full3f.bmp,2,1589,3
1,1,small,small8i.bmp,4,1453,8
1,1,full,full3j.bmp,2,2843,3
1,1,small,small8a.bmp,4,1810,8
1,1,sd,sd5a.bmp,3,2465,5
1,1,small,small1e.bmp,2,1127,1
1,1,full,full5a.bmp,3,2954,5
1,1,sd,sd5h.bmp,3,1309,5
1,1,full,full1j.bmp,1,1368,1
1,1,small,small1h.bmp,2,1482,1
1,1,sd,sd8d.bmp,3,2039,8
1,1,sd,sd5f.bmp,3,1237,5
1,1,full,full1b.bmp,1,1668,1
1,1,small,small1d.bmp,2,1457,1
1,1,full,full8b.bmp,3,3727,8
1,1,small,small5g.bmp,3,5042,5
1,1,small,small1f.bmp,2,1050,1
1,1,small,small8c.bmp,3,14815,8
1,1,small,small3i.bmp,2,2235,3
1,1,sd,sd3j.bmp,2,2442,3
1,1,small,small5a.bmp,3,1401,5
1,1,full,full8a.bmp,3,2185,8
1,1,full,full3c.bmp,2,2234,3
1,1,full,full8e.bmp,3,1913,8
1,1,small,small5j.bmp,3,2125,5
1,1,sd,sd3d.bmp,2,1688,3
1,1,full,full5h.bmp,3,1789,5
1,1,full,full3i.bmp,2,1677,3
1,1,full,full1g.bmp,1,1338,1
1,1,sd,sd5b.bmp,3,2453,5
1,1,full,full8d.bmp,3,1676,8
1,1,sd,sd8e.bmp,3,1863,8
1,1,full,full8i.bmp,3,2189,8
1,1,full,full8c.bmp,4,4334,8
1,1,small,small5i.bmp,3,2393,5
1,1,small,small1a.bmp,2,2306,1
1,1,small,small5j.bmp,3,2022,5
1,1,full,full8e.bmp,4,4253,8
1,1,sd,sd1e.bmp,2,3139,1
1,1,full,full3c.bmp,2,2646,3
1,1,sd,sd5j.bmp,3,1541,5
1,1,full,full8f.bmp,4,2071,8
1,1,full,full3f.bmp,2,3317,3
1,1,full,full5d.bmp,3,1393,5
1,1,full,full1d.bmp,1,1257,1
1,1,sd,sd3h.bmp,2,1918,3
1,1,full,full5e.bmp,3,3169,5
1,1,small,small8d.bmp,3,2755,8
1,1,small,small5c.bmp,3,2253,5
1,1,full,full5b.bmp,3,2668,5
1,1,small,small3h.bmp,2,2378,3
1,1,sd,sd3g.bmp,2,2195,3
1,1,sd,sd8j.bmp,3,3043,8
1,1,full,full5j.bmp,3,1962,5
1,1,sd,sd8d.bmp,3,2916,8
1,1,small,small1f.bmp,2,1840,1
1,1,small,small3d.bmp,2,1526,3
1,1,small,small1b.bmp,2,1001,1
1,1,small,small1i.bmp,2,1073,1
1,1,full,full1a.bmp,1,2398,1
1,1,full,full1j.bmp,1,998,1
1,1,sd,sd3c.bmp,2,1446,3
1,1,full,full3a.bmp,2,1941,3
1,1,sd,sd8e.bmp,4,2295,8
1,1,sd,sd3b.bmp,2,16066,3
1,1,sd,sd5f.bmp,3,1356,5
1,1,sd,sd8c.bmp,3,2214,8
1,1,full,full8b.bmp,3,2158,8
1,1,small,small3e.bmp,2,1271,3
1,1,sd,sd1f.bmp,2,2932,1
1,1,full,full8j.bmp,4,3704,8
1,1,sd,sd3d.bmp,2,1789,3
1,1,sd,sd5i.bmp,3,1693,5
1,1,full,full5h.bmp,4,1785,5
1,1,small,small5g.bmp,3,2626,5
1,1,sd,sd8g.bmp,4,3409,8
1,1,small,small3i.bmp,2,2633,3
1,1,full,full5f.bmp,3,2559,5
1,1,small,small8c.bmp,4,10265,8
1,1,sd,sd1j.bmp,2,3250,1
1,1,full,full8h.bmp,4,4144,8
1,1,full,full3g.bmp,2,1396,3
1,1,small,small8b.bmp,4,1876,8
1,1,small,small3a.bmp,2,4129,3
1,1,full,full3h.bmp,2,3845,3
1,1,sd,sd1c.bmp,2,1620,1
1,1,full,full3i.bmp,2,2539,3
1,1,full,full3b.bmp,2,1510,3
1,1,full,full3e.bmp,2,1353,3
1,1,small,small8j.bmp,4,1866,8
1,1,sd,sd8i.bmp,4,2544,8
1,1,full,full1b.bmp,1,1523,1
1,1,sd,sd5e.bmp,3,7510,5
1,1,small,small3f.bmp,2,1331,3
1,1,small,small8e.bmp,4,1542,8
1,1,full,full8g.bmp,4,2280,8
1,1,small,small3c.bmp,2,2069,3
1,1,small,small5b.bmp,3,1651,5
1,1,sd,sd5a.bmp,3,1201,5
1,1,sd,sd8h.bmp,3,2473,8
1,1,sd,sd1a.bmp,2,1767,1
1,1,small,small3j.bmp,2,1472,3
1,1,full,full1e.bmp,1,2181,1
1,1,full,full5g.bmp,3,2878,5
1,1,sd,sd8f.bmp,4,5843,8
1,1,full,full1g.bmp,1,3002,1
1,1,full,full5a.bmp,3,2787,5
1,1,full,full5c.bmp,3,4612,5
1,1,small,small8h.bmp,4,2261,8
1,1,full,full1i.bmp,1,1467,1
1,1,full,full1c.bmp,1,944,1
1,1,sd,sd1g.bmp,2,3146,1
1,1,small,small8i.bmp,3,5341,8
1,1,sd,sd5g.bmp,3,7657,5
1,1,small,small8a.bmp,4,3160,8
1,1,full,full5i.bmp,3,2019,5
1,1,full,full3j.bmp,2,1858,3
1,1,sd,sd8a.bmp,3,2519,8
1,1,small,small8g.bmp,3,2651,8
1,1,small,small3b.bmp,1,3041,3
1,1,sd,sd3j.bmp,2,13344,3
1,1,sd,sd1b.bmp,2,3271,1
1,1,sd,sd1h.bmp,2,1020,1
1,1,small,small5e.bmp,3,2139,5
1,1,small,small5a.bmp,3,1230,5
1,1,full,full1h.bmp,1,1637,1
1,1,small,small1j.bmp,2,1252,1
1,1,small,small5f.bmp,3,1882,5
1,1,sd,sd5h.bmp,3,1791,5
1,1,full,full3d.bmp,2,2399,3
1,1,sd,sd3a.bmp,2,1519,3
1,1,sd,sd5b.bmp,3,1115,5
1,1,sd,sd1d.bmp,2,1469,1
1,1,full,full1f.bmp,1,1219,1
1,1,small,small5d.bmp,3,1666,5
1,1,sd,sd1i.bmp,2,1080,1
1,1,small,small1e.bmp,2,933,1
1,1,full,full8d.bmp,4,3703,8
1,1,sd,sd5d.bmp,3,980,5
1,1,small,small1h.bmp,2,1261,1
1,1,small,small1g.bmp,2,1035,1
1,1,sd,sd8b.bmp,3,2193,8
1,1,small,small1c.bmp,2,1842,1
1,1,small,small5h.bmp,3,2672,5
1,1,sd,sd3f.bmp,2,1397,3
1,1,sd,sd5c.bmp,3,1573,5
1,1,small,small1d.bmp,2,1078,1
1,1,small,small3g.bmp,2,1579,3
1,1,full,full8a.bmp,4,2668,8
1,1,small,small8f.bmp,3,2330,8
1,1,sd,sd3i.bmp,3,1053,3
1,1,sd,sd3e.bmp,2,1035,3
1,1,sd,sd5f.bmp,3,1113,5
1,1,sd,sd1c.bmp,2,1788,1
1,1,full,full1h.bmp,1,1501,1
1,1,sd,sd1h.bmp,2,1049,1
1,1,small,small1f.bmp,2,1863,1
1,1,sd,sd3e.bmp,2,1709,3
1,1,small,small3j.bmp,2,1504,3
1,1,sd,sd5a.bmp,3,868,5
1,1,full,full3d.bmp,2,4186,3
1,1,small,small5g.bmp,3,6956,5
1,1,small,small5c.bmp,3,3399,5
1,1,full,full1j.bmp,1,2448,1
1,1,small,small1g.bmp,2,1414,1
1,1,small,small5i.bmp,3,1590,5
1,1,full,full3f.bmp,2,2614,3
1,1,sd,sd8i.bmp,3,2110,8
1,1,sd,sd5c.bmp,3,1314,5
1,1,full,full5c.bmp,3,1516,5
1,1,sd,sd8c.bmp,3,1248,8
1,1,sd,sd1i.bmp,2,1622,1
1,1,full,full1c.bmp,1,1197,1
1,1,small,small3c.bmp,2,2037,3
1,1,sd,sd3a.bmp,2,3524,3
1,1,sd,sd3i.bmp,2,2040,3
1,1,full,full3e.bmp,2,1654,3
1,1,sd,sd1g.bmp,2,1988,1
1,1,small,small1b.bmp,2,1997,1
1,1,small,small8h.bmp,3,2805,8
1,1,sd,sd1b.bmp,2,1869,1
1,1,full,full3j.bmp,2,2291,3
1,1,small,small8e.bmp,3,1327,8
1,1,full,full5e.bmp,3,8242,5
1,1,full,full1d.bmp,1,1283,1
