"subj","cond","intercept","coef","bias","exp"
2,1,1.87966101694915,0.262711864406781,-24.8135593220341,1
3,1,1.93559322033898,0.265254237288135,-22.5762711864409,1
4,1,1.61737288135593,0.361016949152542,-35.3050847457628,1
5,1,1.69025423728813,0.277966101694915,-32.3898305084747,1
6,1,1.66440677966101,0.284745762711864,-33.4237288135595,1
7,1,2.33286252354049,0.225988700564971,-6.68549905838027,1
9,1,1.65127118644067,0.439830508474576,-33.949152542373,1
2,2,2.49872881355932,0.410169491525423,-0.0508474576272455,1
3,2,2.36822033898305,0.354237288135593,-5.27118644067812,1
4,2,2.49661016949152,0.477118644067797,-0.135593220339132,1
5,2,2.47245762711864,0.570338983050847,-1.1016949152544,1
6,2,2.51313559322034,0.644915254237289,0.525423728813408,1
7,2,2.55501915708812,0.337011494252874,2.200766283525,1
9,2,2.73262711864407,0.488983050847458,9.30508474576266,1
2,3,3.50042372881356,0.296610169491525,40.0169491525423,1
3,3,2.80296610169492,0.326271186440678,12.1186440677966,1
4,3,3.72754237288135,0.279661016949152,49.1016949152541,1
5,3,3.65423728813559,0.266101694915254,46.1694915254235,1
6,3,3.76355932203389,0.241525423728813,50.5423728813557,1
7,3,2.61523048733868,0.299178761155271,4.60921949354725,1
9,3,3.77203389830508,0.223728813559322,50.8813559322032,1
10,1,1.68516949152542,0.318644067796609,-32.5932203389832,2
11,1,1.64533898305084,0.33728813559322,-34.1864406779663,2
14,1,1.93474576271186,0.122033898305085,-22.6101694915256,2
15,1,1.62838983050847,0.372881355932203,-34.8644067796612,2
16,1,1.66059322033898,0.265254237288136,-33.5762711864408,2
18,1,1.63940677966101,0.284745762711865,-34.4237288135595,2
19,1,1.86440677966101,0.384745762711863,-25.4237288135595,2
20,1,2.32203389830508,0.373728813559322,-7.11864406779684,2
21,1,1.54745762711864,0.270338983050847,-38.1016949152544,2
22,1,1.94618644067796,0.380508474576271,-22.1525423728816,2
23,1,1.86694915254237,0.264406779661016,-25.3220338983052,2
10,2,2.72966101694915,0.362711864406779,9.18644067796606,2
11,2,2.86906779661017,0.647457627118644,14.7627118644068,2
14,2,2.77542372881356,0.746610169491525,11.0169491525422,2
15,2,2.84915254237288,0.706779661016949,13.9661016949152,2
16,2,2.6228813559322,0.666949152542371,4.91525423728804,2
18,2,2.86016949152542,0.668644067796609,14.4067796610168,2
19,2,2.21652542372881,0.317796610169491,-11.3389830508477,2
20,2,2.42584745762712,0.34322033898305,-2.96610169491538,2
21,2,2.70169491525424,0.586440677966101,8.06779661016941,2
22,2,2.30762711864406,0.338983050847458,-7.69491525423749,2
23,2,2.75508474576271,0.559322033898306,10.2033898305084,2
10,3,3.42415254237288,0.356779661016949,36.9661016949152,2
11,3,3.66949152542373,0.24406779661017,46.779661016949,2
14,3,3.67754237288135,0.329661016949152,47.1016949152541,2
15,3,3.69067796610169,0.22457627118644,47.6271186440676,2
16,3,3.55508474576271,0.359322033898305,42.2033898305084,2
18,3,3.65889830508474,0.278813559322033,46.3559322033896,2
19,3,2.32161016949152,0.377118644067796,-7.13559322033918,2
20,3,2.55381355932203,0.319491525423729,2.15254237288129,2
21,3,3.55889830508474,0.328813559322033,42.3559322033896,2
22,3,2.55805084745762,0.285593220338983,2.32203389830493,2
23,3,3.42245762711864,0.170338983050847,36.8983050847456,2
1,1,2.05,0.165,-18.0000000000002,3
2,1,1.4375,0.36,-42.5000000000001,3
5,1,1.35625,0.3425,-45.7500000000001,3
6,1,1.84375,0.177499999999999,-26.2500000000002,3
7,1,2.05625,0.0925000000000003,-17.7500000000002,3
