quantity,manuscript,R_reimpl,Python_reimpl,verdict
S1_stability_r,r(83)=.89,.893,.893,MATCH
S1_interaction_F,F(1,79)=0.28 p=.602,0.2746 p=.602,,- MATCH
S1_implicit_guilt_t,t(81)=0.93 p=.354,0.932 p=.354,0.932 p=.354,MATCH
S1_implicit_guilt_means,3.25 / 3.06,3.25 / 3.06,3.25 / 3.06,MATCH
S1_cor_bp1,r(44)=.12 p=.451,.116 n44 p=.451,.116 n44 p=.451,MATCH
S2_stability_r, r(44)=.57 / r(52)=.72,.570 n44 / .722 n52,.570 n44 / .722 n52,MATCH
S2_bogus_main_F,F(1,92)=0.05 p=.830,0.0463 p=.830,,MATCH
S2_interaction_F,F(1,92)=0.01 p=.919,0.0105 p=.919,,MATCH
S2_victim_main_F,F(1,92)=15.74 p<.001 eta2p=.17,18.53 p<.001 eta2p=.168,,- DISCREPANT (ADV-001)
S3a_RManova_inter,F(1,55)=0.03 p=.872,0.026 p=.872,0.03 p=.872,MATCH
S3b_RManova_inter,F(1,42)=0.02 p=.897,0.017 p=.897,0.02 p=.897,MATCH
S3c_RManova_inter,F(1,63)=10.06 p=.002 eta2p=.14,10.064 p=.002,10.06 p=.002,MATCH
S3a_table1,t(55)=2.89 p=.006 M3.02(.84)/3.51(.96),-2.89 p=.006 same,-2.89 p=.006 same,MATCH
S3b_table1,t(42)=1.11 p=.272 M3.00(.89)/3.16(.86),-1.11 p=.272 same,-1.11 p=.272 same,MATCH
S3c_table1,t(63)=-4.49 p<.001 M3.10(.84)/2.61(.78),4.49 |t| p<.001 same,4.49 |t| same,MATCH
S4a_crit_t,t(98)=-0.29 p=.776,-0.286 p=.776,-0.286 p=.776,MATCH
S4b_crit_t,t(194)=0.14 p=.890,0.138|0|- p=.890,0.138 p=.890,MATCH (magnitude)
S4b_analysed_N,4 excl =>192 (prose),196 (4 of 200 excluded),196,- PROSE-vs-data (ADV-002)
S5_empathy_t,t(96)=-1.53 p=.129,-1.531 p=.129,1.531|0| p=.129,MATCH
S5_donation_t,t(46)=0.74 p=.466,0.735|0| p=.466,0.735|0| p=.466,MATCH (magnitude; ADV-005)
S5_donation_N,48 pledged,48 complete,48,MATCH
S5_two_deleted,N=>96 prose vs data N98 t(96),N=98,,- PROSE-vs-data (ADV-002)
Meta_Q,Q(7)=27.14 p<.001,26.32 p=.0004,26.32 p=.0004,ROUNDING (ADV-004)
Meta_I2,72.26%,71.9% (REML)/73.4% (fixed),73.40%,ROUNDING (ADV-004)
Meta_pooled,~0 (no evid.),-0.034 se=.129 p=.79,-,HEADLINE-REPRODUCED
