subject;variables.currentgroupnumber;blockcode;blocknum;trialcode;trialnum;response;correct;latency;stimulusnumber1;stimulusitem1;stimulusnumber2;stimulusitem2;stimulusnumber3;stimulusitem3;sdlatency;percentcorrect;meanlatency
1;1;intro;1;intro;1;57;0;893437;1;humfak_leiste.jpg;1; ;1; ;0;0;893437
1;1;intro;1;baseline;2;0;0;119700;1;Bitte warten Sie einen Moment.  Nach 2 Minuten geht es automatisch weiter.;0;0;0;0;547114,679554936;0;506568,5
1;1;code;2;sex;3;2;0;1855;1;Bitte geben Sie Ihr Geschlecht an;0;0;0;0;23386,1028462062;33;15737,6666666667
1;1;prime_instr;3;pre_prime;1;25;0;11703;1;Bitte melden Sie sich jetzt bei der Versuchsleiterin. Diese wird dann diesen Untersuchungsabschnitt starten.;0;0;0;0;0;0;11703
1;1;prime_instr;3;pre_prime_interval;2;0;0;9700;1;Bitte warten Sie einen Moment. Es geht gleich weiter...;0;0;0;0;1416,33488271665;0;10701,5
1;1;primefolgen;4;gedanken_instr;1;28;0;422340;1;Bitte formulieren Sie in Stichworten kurz Gedanken, die Ihnen beim Lesen des Textes gekommen sind.   Verwenden Sie dazu den bereitgelegten Zettel und Stift.  Wenn Sie damit fertig sind, falten Sie den Zettel und werfen Sie ihn in die bereitstehende Box. Drücken Sie dann eine beliebige Taste, um fortzufahren.;0;0;0;0;0;0;422340
1;1;ipanat1;5;ipanat1;1;1;0;10756;1;Freude;0;0;0;0;0;0;10756
1;1;ipanat1;5;ipanat1;2;5;0;7592;2;Ärger;0;0;0;0;2237,28585567424;0;9174
1;1;ipanat1;5;ipanat1;3;6;0;12104;3;Angst;0;0;0;0;2316,10823005604;0;10150,6666666667
1;1;ipanat1;5;ipanat1;4;5;0;9224;4;Scham;0;0;0;0;1947,02747797765;0;9919
1;1;ipanat1;5;ipanat1;5;4;0;4273;5;Gute Laune;0;0;0;0;3036,22301552439;0;8789,8
1;1;ipanat1;5;ipanat1;6;6;0;2315;6;Gereiztheit;0;0;0;0;3789,73517104648;0;7710,66666666667
1;1;ipanat1;5;ipanat1;7;5;0;6218;7;Furcht;0;0;0;0;3505,23950000295;0;7497,42857142857
1;1;ipanat1;5;ipanat1;8;2;0;3212;8;Bedauern;0;0;0;0;3581,49030233425;0;6961,75
1;1;ipanat1;5;ipanat1;9;4;0;3810;9;Begeisterung;0;0;0;0;3511,04172971182;0;6611,55555555556
1;1;ipanat1;5;ipanat1;10;6;0;3664;10;Wut;0;0;0;0;3438,96928356933;0;6316,8
1;1;ipanat1;5;ipanat1;11;5;0;6378;11;Schrecken;0;0;0;0;3262,54490460215;0;6322,36363636364
1;1;ipanat1;5;ipanat1;12;2;0;2372;12;Schuldgefühl;0;0;0;0;3313,15446593598;0;5993,16666666667
1;1;ipanat2;6;ipanat2;1;4;0;12007;1;Freude;0;0;0;0;0;0;12007
1;1;ipanat2;6;ipanat2;2;2;0;2629;2;Ärger;0;0;0;0;6631,24739396744;0;7318
1;1;ipanat2;6;ipanat2;3;2;0;4215;3;Angst;0;0;0;0;5019,58736683936;0;6283,66666666667
1;1;ipanat2;6;ipanat2;4;5;0;2546;4;Scham;0;0;0;0;4504,4470156354;0;5349,25
1;1;ipanat2;6;ipanat2;5;4;0;3760;5;Gute Laune;0;0;0;0;3965,18288355027;0;5031,4
1;1;ipanat2;6;ipanat2;6;2;0;2143;6;Gereiztheit;0;0;0;0;3737,46117036686;0;4550
1;1;ipanat2;6;ipanat2;7;5;0;3302;7;Furcht;0;0;0;0;3444,27262346666;0;4371,71428571429
1;1;ipanat2;6;ipanat2;8;6;0;2839;8;Bedauern;0;0;0;0;3234,49366483491;0;4180,125
1;1;ipanat2;6;ipanat2;9;2;0;2656;9;Begeisterung;0;0;0;0;3067,94914306682;0;4010,77777777778
1;1;ipanat2;6;ipanat2;10;2;0;1808;10;Wut;0;0;0;0;2975,18444806368;0;3790,5
1;1;ipanat2;6;ipanat2;11;2;0;7230;11;Schrecken;0;0;0;0;3006,99507210045;0;4103,18181818182
1;1;ipanat2;6;ipanat2;12;5;0;2349;12;Schuldgefühl;0;0;0;0;2911,43385480575;0;3957
1;1;ipanat3;7;ipanat3;1;3;0;9600;1;Freude;0;0;0;0;0;0;9600
1;1;ipanat3;7;ipanat3;2;4;0;3975;2;Ärger;0;0;0;0;3977,47564417433;0;6787,5
1;1;ipanat3;7;ipanat3;3;5;0;3787;3;Angst;0;0;0;0;3303,20394970298;0;5787,33333333333
1;1;ipanat3;7;ipanat3;4;3;0;2437;4;Scham;0;0;0;0;3174,94686307241;0;4949,75
1;1;ipanat3;7;ipanat3;5;3;0;2117;5;Gute Laune;0;0;0;0;3027,39330117512;0;4383,2
1;1;ipanat3;7;ipanat3;6;2;0;4305;6;Gereiztheit;0;0;0;0;2707,97107936305;0;4370,16666666667
1;1;ipanat3;7;ipanat3;7;2;0;2811;7;Furcht;0;0;0;0;2541,30057628916;0;4147,42857142857
1;1;ipanat3;7;ipanat3;8;6;0;2062;8;Bedauern;0;0;0;0;2465,61025479929;0;3886,75
1;1;ipanat3;7;ipanat3;9;2;0;1917;9;Begeisterung;0;0;0;0;2398,00570497885;0;3667,88888888889
1;1;ipanat3;7;ipanat3;10;2;0;2123;10;Wut;0;0;0;0;2313,04187405051;0;3513,4
1;1;ipanat3;7;ipanat3;11;6;0;2057;11;Schrecken;0;0;0;0;2237,85026308732;0;3381
1;1;ipanat3;7;ipanat3;12;5;0;3176;12;Schuldgefühl;0;0;0;0;2134,52700565694;0;3363,91666666667
1;1;ipanat4;8;ipanat4;1;5;0;5485;1;Freude;0;0;0;0;0;0;5485
1;1;ipanat4;8;ipanat4;2;2;0;1505;2;Ärger;0;0;0;0;2814,28498912246;0;3495
1;1;ipanat4;8;ipanat4;3;2;0;1849;3;Angst;0;0;0;0;2205,26763303988;0;2946,33333333333
1;1;ipanat4;8;ipanat4;4;2;0;10115;4;Scham;0;0;0;0;4011,18216157448;0;4738,5
1;1;ipanat4;8;ipanat4;5;5;0;2557;5;Gute Laune;0;0;0;0;3608,1817027417;0;4302,2
1;1;ipanat4;8;ipanat4;6;5;0;3196;6;Gereiztheit;0;0;0;0;3258,70013451171;0;4117,83333333333
1;1;ipanat4;8;ipanat4;7;2;0;2622;7;Furcht;0;0;0;0;3028,02204024186;0;3904,14285714286
1;1;ipanat4;8;ipanat4;8;5;0;2491;8;Bedauern;0;0;0;0;2847,57681446624;0;3727,5
1;1;ipanat4;8;ipanat4;9;3;0;8462;9;Begeisterung;0;0;0;0;3096,08091428144;0;4253,55555555556
1;1;ipanat4;8;ipanat4;10;2;0;1548;10;Wut;0;0;0;0;3041,81532056837;0;3983
1;1;ipanat4;8;ipanat4;11;5;0;3016;11;Schrecken;0;0;0;0;2900,41108998519;0;3895,09090909091
1;1;ipanat4;8;ipanat4;12;5;0;4812;12;Schuldgefühl;0;0;0;0;2778,07171515522;0;3971,5
1;1;ipanat5;9;ipanat5;1;2;0;3972;1;Freude;0;0;0;0;0;0;3972
1;1;ipanat5;9;ipanat5;2;5;0;1901;2;Ärger;0;0;0;0;1464,41814383734;0;2936,5
1;1;ipanat5;9;ipanat5;3;5;0;1751;3;Angst;0;0;0;0;1241,26158940545;0;2541,33333333333
1;1;ipanat5;9;ipanat5;4;2;0;3325;4;Scham;0;0;0;0;1086,59418214284;0;2737,25
1;1;ipanat5;9;ipanat5;5;2;0;1625;5;Gute Laune;0;0;0;0;1064,39428784638;0;2514,8
1;1;ipanat5;9;ipanat5;6;6;0;2079;6;Gereiztheit;0;0;0;0;968,504913083391;0;2442,16666666667
1;1;ipanat5;9;ipanat5;7;5;0;1887;7;Furcht;0;0;0;0;908,679339952848;0;2362,85714285714
1;1;ipanat5;9;ipanat5;8;3;0;1992;8;Bedauern;0;0;0;0;851,430057525069;0;2316,5
1;1;ipanat5;9;ipanat5;9;5;0;5607;9;Begeisterung;0;0;0;0;1355,4924791791;0;2682,11111111111
1;1;ipanat5;9;ipanat5;10;5;0;3371;10;Wut;0;0;0;0;1296,40485788798;0;2751
1;1;ipanat5;9;ipanat5;11;5;0;1733;11;Schrecken;0;0;0;0;1267,60020224331;0;2658,45454545455
1;1;ipanat5;9;ipanat5;12;2;0;2732;12;Schuldgefühl;0;0;0;0;1208,79582893912;0;2664,58333333333
1;1;ipanat6;10;ipanat6;1;3;0;26223;1;Freude;0;0;0;0;0;0;26223
1;1;ipanat6;10;ipanat6;2;3;0;1660;2;Ärger;0;0;0;0;17368,6638662852;0;13941,5
1;1;ipanat6;10;ipanat6;3;5;0;2608;3;Angst;0;0;0;0;13915,8656336332;0;10163,6666666667
1;1;ipanat6;10;ipanat6;4;5;0;6113;4;Scham;0;0;0;0;11541,3540222396;0;9151
1;1;ipanat6;10;ipanat6;5;3;0;2762;5;Gute Laune;0;0;0;0;10395,4799648693;0;7873,2
1;1;ipanat6;10;ipanat6;6;2;0;1876;6;Gereiztheit;0;0;0;0;9614,94691959694;0;6873,66666666667
1;1;ipanat6;10;ipanat6;7;5;0;2495;7;Furcht;0;0;0;0;8931,86974506778;0;6248,14285714286
1;1;ipanat6;10;ipanat6;8;5;0;1845;8;Bedauern;0;0;0;0;8414,56213528496;0;5697,75
1;1;ipanat6;10;ipanat6;9;2;0;1782;9;Begeisterung;0;0;0;0;7978,59176170833;0;5262,66666666667
1;1;ipanat6;10;ipanat6;10;2;0;7585;10;Wut;0;0;0;0;7558,05178380425;0;5494,9
1;1;ipanat6;10;ipanat6;11;3;0;4112;11;Schrecken;0;0;0;0;7182,31075376417;0;5369,18181818182
1;1;ipanat6;10;ipanat6;12;3;0;8458;12;Schuldgefühl;0;0;0;0;6905,87107873153;0;5626,58333333333
