CASE;SERIAL;REF;QUESTNNR;MODE;AS05_01;AS05_02;AS05_03;AS05_04;AS05_05;AS05_06;AS05_07;AS05_08;AS05_09;AS05_10;AS05_11;AS05_12;AS05_13;AS05_14;AS05_15;AS05_16;AS05_17;AS05_18;AS05_19;AS05_20;AS05_21;AS05_22;AS05_23;AS05_24;AS05_25;AS05_26;AS05_27;AS05_28;AS05_29;AS05_30;AS05_31;AS05_32;AS05_33;AS05_34;AS05_35;AS05_36;AS05_37;AS05_38;AS05_39;AS05_40;AS05_41;AS05_42;AS05_43;AS05_44;AS05_45;AS05_46;AS05_47;AS05_48;AS05_49;WJ01_01;WJ01_02;WJ01_03;WJ01_04;WJ01_05;WJ01_06;WJ01_07;WJ01_08;WJ01_09;WJ01_10;WJ01_11;WJ01_12;WJ01_13;WJ01_14;WJ01_15;WJ01_16;WJ01_17;WJ01_18;WJ01_19;WJ01_20;CM01_01;CM01_02;CM01_03;CM01_04;CM01_05;CM01_06;CM01_07;CM01_08;CM01_09;CM01_10;CM01_11;CM01_12;CN04_01;CN04_02;CN04_03;CN04_04;CN04_05;CN04_06;CN04_07;CN04_08;CN04_09;RW01_01;RW01_02;RW01_03;RW01_04;RW01_05;RW01_06;RW01_07;RW01_08;RW01_09;RW01_10;RW01_11;RW01_12;SD02;SD04;SD05_01;SD06;SD08;SD09;JW01_01;JW01_02;JW01_03;JW01_04;JW01_05;JW01_06;JW02_07;JW02_08;JW02_09;JW02_10;JW02_11;JW02_12;JW02_13;NI01_01;NI01_02;NI01_03;NI01_04;NI01_05;NI01_06;NI01_07;NI01_08;NI01_09;NI01_10;NI01_11;NI01_12;NI01_13;NI01_14;NI01_15;NI01_16;DO01_01;DO01_02;DO01_03;DO01_04;DO01_05;DO01_06;DO01_07;DO01_08;DO01_09;DO01_10;DO01_11;DO01_12;DO01_13;DO01_14;DO01_15;DO01_16;SE01_01;SE01_02;SE01_03;SE01_04;SE02_01;SE02_02;SE02_03;SE02_04;SE03_01;SE03_02;SE03_03;SE03_04;SE04_01;SE04_02;SE04_03;SE04_04;SE05_01;SE05_02;SE05_03;SE05_04;SE06_01;SE06_02;SE06_03;SE06_04;SE07_01;SE07_02;SE07_03;SE07_04;SE08_01;SE08_02;SE08_03;SE08_04;SE09_01;SE09_02;SE09_03;SE09_04;SE10_01;SE10_02;SE10_03;SE10_04;SE11_01;SE11_02;SE11_03;SE11_04;ST01;RS01_01;RS01_02;RS01_03;RS01_04;RS01_05;RS01_06;RS01_07;RS01_08;RS01_09;RS01_10;RS02_01;RS02_02;RS02_03;RS02_04;RS02_05;RS02_06;RS02_07;RS02_08;RS02_09;RS02_10;RS03_01;RS03_02;RS03_03;RS03_04;RS03_05;RS03_06;RS03_07;RS03_08;RS03_09;RS03_10;RS04_01;RS04_02;RS04_03;RS04_04;RS04_05;RS04_06;RS04_07;RS04_08;RS04_09;RS04_10;RS05_01;RS05_02;RS05_03;RS05_04;RS05_05;RS05_06;RS05_07;RS05_08;RS05_09;RS05_10;RS06_01;RS06_02;RS06_03;RS06_04;RS06_05;RS06_06;RS06_07;RS06_08;RS06_09;RS06_10;RS07_01;RS07_02;RS07_03;RS07_04;RS07_05;RS07_06;RS07_07;RS07_08;RS07_09;RS07_10;RS08_01;RS08_02;RS08_03;RS08_04;RS08_05;RS08_06;RS08_07;RS08_08;RS08_09;RS08_10;TI01_01;TI01_02;TI01_03;TI01_04;TI01_05;TI01_06;TI01_07;TI01_08;TI01_09;TI01_10;GS01_01;GS01_02;GS01_03;GS01_04;GS01_05;GS01_06;GS01_07;GS01_08;GS01_09;GS01_10;GS01_11;GS01_12;GS01_13;GS01_14;GS01_15;GS01_16;TIME001;TIME002;TIME003;TIME004;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME012;TIME013;TIME014;TIME015;TIME016;TIME017;TIME018;TIME019;TIME020;TIME021;TIME022;TIME023;TIME024;TIME025;TIME026;TIME_SUM;FINISHED;LASTPAGE;MAXPAGE;MISSING;MISSREL;DEG_MISS;DEG_TIME;DEGRADE
198; ; ;as1_122012;admin; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;5;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;0;3;3;100;100;208;246;454
203; ; ;as1_122012;interview;7;2;6;6;5;7;4;6;2;3;1;2;6;1;2;7;7;3;2;7;1;6;3;4;1;4;5;1;1;5;5;7;5;5;5;7;4;1;2;2;5;5;1;4;4;1;4;5;4;7;3;6;4;6;4;6;4;4;4;6;4;3;6;4;4;3;3;4;4;6;6;7;5;4;6;3;2;6;5;5;6;1;1;1;1;1;1;1;1;1;6;2;7;2;7;1;7;4;7;2;4;1;1;5;2;3;1;3;2;3;3;4;3;2;5;5;5;5;5;5;4;3;4;1;1;2;1;1;1;2;4;1;1;1;1;2;2;6;1;1;1;1;1;1;1;4;6;7;3;5;7;5;7;5;2;4;1;3;4;2;2;4;2;3;1;1;3;3;3;1;3;4;5;1;3;4;5;2;2;4;5;3;2;4;3;2;5;4;1;4;1;4;1;1;4;3;1;1;2;1;1;1;2;1;2;1;1;2;2;1;1;2;1;2;1;1;2;1;2;1;2;2;2;2;1;2;2;2;1;2;1;2;2;1;1;2;2;2;2;1;2;2;2;1;2;2;2;2;1;2;2;1;2;2;2;1;1;2;1;1;2;2;1;1;1;2;1;2;2;2;1;1;1;1;1;2;1;2;6;6;2;4;7;2;6;5;2;3;2;3;6;2;4;7;4;5;2;6;2;4;5;6;4;4;30;20;17;26;103;71;87;59;172;43;97;492;147;97;106;819;195;184;142;111;56;599;109;106;115;2750;1;26;26;0;0;0;8;8
208; ; ;as1_122012;interview; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;27;8;162270; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;90;0;4;4;0;0;0;47;47
211; ; ;as1_122012;interview;3;2;7;6;6;1;1;7;1;1;4;1;6;4;5;3;2;2;2;2;1;1;1;4;2;2;3;-9;1;1;2;7;7;1;4;6;7;5;7;1;2;2;1;6;6;1;4;4;4;5;4;5;3;3;5;6;4;4;6;4;3;3;6;4;5;3;5;4;4;7;6;6;6;2;6;5;2;5;5;5;5;6;2;5;7;3;3;6;5;3;5;4;7;3;2;5;4;5;6;4;1;4;2;6;4;1;1;2;2;2;2;2;2;2;5;5;5;5;5;5;5;5;5;5;3;3;2;5;2;5;6;5;3;-9;4;2;2;4;4;3;1;2;2;1;1;4;4;6;6;-9;5;3;4;3;3;5;4;5;1;3;4;3;4;1;2;2;4;1;4;2;2;4;5;1;5;4;5;3;4;4;3;3;4;1;5;4;5;2;4;3;1;5;1;4;1;3;5;1;2;2;1;2;2;1;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;1;2;1;2;1;2;2;2;2;1;1;2;2;2;2;1;2;2;1;2;2;2;1;1;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;1;2;1;2;1;2;2;1;1;1;2;2;1;1;5;3;5;6;6;2;6;5;4;1;4;6;5;4;5;6;6;2;7;5;6;3;5;3;5;2;18;9;8;8931;184;457;106;87182;4208;136;385;140479;90;132;177;180;91;107;85;101;112;384;71;47;69;2701;1;26;26;1;1;2;16;18
213; ; ;as1_122012;interview;4;4;7;4;4;4;1;7;4;1;1;1;5;1;4;4;1;1;3;3;2;1;2;4;5;1;2;1;3;1;1;7;2;1;2;7;2;1;7;2;1;5;5;2;1;1;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;7;5;5;3;4;5;3;1;3;1;3;3;2;1;1;1;2;3;5;3;2;5;4;6;3;7;4;7;5;5;1;3;1;2;5;3;1;2;2;1;1;1;1;1;1;3;5;5;5;6;6;5;2;6;2;1;1;2;2;1;2;5;2;1;1;1;2;1;5;2;1;2;1;1;1;1;2;4;6;5;7;5;7;4;4;2;4;1;3;1;3;4;5;3;3;1;3;3;1;5;2;2;4;5;1;2;5;5;1;1;5;5;5;1;4;2;2;5;5;3;4;1;3;1;1;4;2;1;1;2;1;1;1;2;2;1;1;1;1;2;1;1;2;1;1;1;2;1;1;2;2;2;1;1;2;1;2;1;1;2;2;2;2;1;1;1;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;2;1;2;1;1;2;2;1;2;1;1;1;2;1;1;1;1;2;1;2;1;2;1;2;2;2;1;1;5;4;1;4;5;1;6;2;3;4;3;4;3;2;6;6;5;4;1;5;6;1;7;7;7;6;6;17;9;50;68;84;79;55;102;55;147;333;58;133;97;186;64;169;67;110;34;241;57;39;73;2333;1;26;26;0;0;0;14;14
215; ; ;as1_122012;interview;5;1;7;5;4;7;4;7;3;1;3;1;6;1;6;-9;2;2;5;5;3;1;4;6;6;1;3;2;1;5;3;6;7;3;2;7;7;1;6;3;2;4;3;4;6;1;2;7;5;5;1;7;7;6;6;7;7;7;5;7;6;4;6;7;6;4;6;6;7;7;5;7;2;5;2;1;5;4;1;1;2;4;3;6;4;4;2;3;5;2;6;6;6;3;1;5;7;5;6;4;3;4;2;5;4;1;6;1;3;3;2;4;5;2;5;5;5;4;4;5;5;5;5;7;3;3;1;6;7;5;5;4;1;4;2;6;4;6;4;2;1;2;4;2;2;5;3;6;6;5;6;4;5;1;3;5;3;5;1;1;4;5;1;3;2;1;3;2;5;1;1;3;5;1;1;4;3;1;2;5;5;4;2;3;5;1;5;4;2;2;1;5;1;3;5;5;1;1;2;2;1;2;1;1;2;2;2;2;2;2;2;2;1;1;2;2;2;1;2;1;1;1;2;2;2;2;2;2;1;2;2;2;1;2;1;2;1;2;2;2;1;2;2;1;2;2;2;1;2;2;2;2;1;2;1;2;2;1;1;2;2;2;1;1;1;2;1;2;2;2;2;1;2;1;2;2;2;1;5;4;6;2;7;5;7;4;3;2;1;6;7;2;6;7;2;7;7;6;7;1;6;6;7;4;34;49;8;24;65;54;90;98;104;78;179;962;93;183;207;109;300;388;109;979;481;278;66;37;49;2597;1;26;26;1;0;1;8;9
220; ; ;as1_122012;interview;6;1;7;2;5;2;1;7;1;1;1;1;7;7;5;7;7;1;1;3;1;1;1;4;1;1;1;1;7;4;1;3;7;1;5;7;7;1;3;1;1;1;1;5;5;5;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;6;4;6;4;2;3;1;3;4;5;5;4;1;1;1;1;3;1;1;1;1;1;1;7;2;5;1;7;1;7;3;3;1;-9;5;3;1;2;1;5;2;1;2;1;1;5;5;5;5;5;5;5;4;3;1;1;2;1;2;1;3;5;2;1;1;3;7;2;7;1;1;1;5;2;3;1;4;7;7;3;3;6;7;7;4;2;5;2;4;1;1;5;4;1;2;1;1;5;1;4;1;1;5;5;2;5;5;5;2;1;5;5;4;3;2;2;3;5;5;2;5;1;4;1;4;5;5;2;1;2;2;1;1;1;1;2;1;1;2;2;1;1;1;1;2;1;2;1;2;2;1;1;2;2;2;2;2;2;2;1;2;1;2;1;2;1;2;1;2;2;2;1;2;2;2;2;2;1;2;1;2;2;2;2;1;1;2;1;1;1;1;2;2;2;2;1;2;1;2;2;2;2;1;1;2;2;2;1;1;6;5;5;3;7;7;7;2;4;1;6;5;6;5;2;6;4;6;7;4;2;1;6;7;7;5;75;332;109;67;59;58;98;90;95;132;135;362;60;88;100;98;57;69;67;71;41;197;41;28;49;2158;1;26;26;1;0;1;8;9
223; ; ;as1_122012;interview;5;6;7;3;5;4;1;7;4;2;6;2;4;2;2;2;1;3;7;5;3;2;5;6;5;2;5;2;4;6;5;6;7;5;4;3;7;2;6;4;4;4;5;7;6;1;5;6;5;5;3;6;5;4;5;6;5;3;4;5;5;4;4;4;5;3;4;5;4;4;5;6;4;4;5;4;3;4;6;4;7;5;4;4;5;6;5;5;6;4;6;6;7;5;1;5;6;4;5;6;2;4;2;5;5;2;6;3;3;4;4;2;3;3;5;4;4;4;4;4;5;6;6;6;4;5;2;4;3;7;5;4;1;3;2;7;5;3;4;5;3;2;6;3;2;5;5;5;5;5;3;6;5;3;2;5;3;5;1;2;5;2;2;2;5;4;4;2;5;1;4;4;5;2;2;2;5;2;2;4;3;4;1;2;3;3;4;4;1;3;3;5;1;4;5;1;1;1;2;2;1;1;1;1;1;2;2;2;1;2;1;1;1;2;2;1;2;2;2;1;1;1;1;2;2;2;2;1;1;2;2;2;1;2;2;2;1;1;1;1;2;2;2;1;1;1;2;1;2;2;2;2;1;1;1;2;1;1;2;1;2;2;2;1;1;2;1;2;1;2;2;1;2;2;2;2;2;1;7;5;7;1;6;1;6;1;5;2;2;6;5;1;2;5;3;1;5;6;6;2;5;7;5;3;499;9;21;92;83;71;95;66;290;88;183;551;61;80;129;122;68;74;84;112;61;440;83;55;80;2827;1;26;26;0;0;0;14;14
226; ; ;as1_122012;interview;5;7;7;6;4;7;1;7;7;1;1;1;7;7;4;1;7;1;1;4;1;1;7;4;1;1;1;1;4;3;1;7;1;7;1;7;1;1;7;7;1;7;1;1;1;1;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;7;1;4;6;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;3;1;7;1;7;1;7;1;7;1;7;1;1;6;2;1;6;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;7;1;1;1;1;1;1;1;7;7;7;1;7;7;7;7;5;2;5;1;5;1;1;1;2;3;1;1;1;2;1;5;1;3;3;5;1;1;3;5;1;1;5;1;3;5;5;5;1;5;5;1;4;2;5;1;3;5;1;1;1;2;2;1;2;1;1;2;2;2;2;1;2;2;1;2;2;2;2;2;1;1;1;2;2;2;2;1;2;2;2;2;1;2;1;1;2;1;1;1;1;2;2;2;1;2;2;2;1;2;1;1;2;2;2;2;2;1;1;1;2;1;2;1;2;1;1;1;2;1;2;1;2;1;1;1;2;1;2;1;2;6;5;3;2;5;5;6;4;7;2;7;6;6;2;4;5;3;1;2;1;4;1;7;6;7;6;3;23;8;60;92;68;74;54;107;63;59;1581;147;163;142;691;205;281;170;1951;76;509;65;40;54;2725;1;26;26;0;0;0;14;14
227; ; ;as1_122012;interview;7;2;7;5;5;5;4;7;4;1;2;1;1;1;5;3;7;1;4;2;1;3;1;4;3;1;1;1;1;4;1;1;4;1;4;7;5;3;7;1;2;4;4;3;4;7;2;5;5;4;1;7;7;5;6;7;7;5;7;7;7;6;7;7;7;4;4;7;7;7;5;7;7;4;6;5;2;5;5;4;6;1;2;1;3;4;1;6;2;1;5;3;7;3;6;5;7;4;7;4;4;2;2;5;2;1;1;2;2;2;2;1;3;3;5;5;5;5;6;5;4;2;2;1;1;2;1;1;1;2;2;1;1;1;1;1;3;7;1;3;1;1;3;1;1;4;5;7;7;6;7;7;7;5;1;5;1;3;1;2;5;5;2;5;1;1;1;1;5;1;1;5;5;2;5;3;5;1;2;5;5;2;5;2;4;2;5;4;3;5;1;4;1;3;4;-9;1;1;1;2;2;1;1;2;1;2;1;2;2;2;1;1;1;2;1;1;1;2;2;1;2;2;2;2;1;2;1;1;2;2;1;1;1;2;1;2;1;2;1;1;2;2;2;1;1;1;2;2;1;2;2;2;2;2;1;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;2;4;5;6;4;6;6;7;4;5;4;1;5;7;2;1;7;6;4;2;5;7;1;7;4;7;5;6;74;30;30;73;56;53;77;84;58;68;309;66;63;102;84;67;84;82;77;39;170;67;53;179;1929;1;26;26;1;0;1;11;11
