subject;group;david_expl_1;david_expl_2;david_expl_3;david_expl_4;david_expl_5;david_expl_6;david_expl_7;david_expl_8;david_expl_9;david_expl_10;david_expl_11;david_expl_12;david_expl_13;david_expl_14;david_expl_15;david_expl_16;david_expl_17;david_expl_18;david_expl_19;david_expl_20;mc_a;mc_b;mc_c;mc_d;mc_e;mc_f;mc_g;mc_h;mc_i;mc_j;sex;bildung;migration;religion;as_1;as_2;as_3;as_4;as_5;as_6;as_7;as_8;as_9;as_10;as_11;as_12;as_13;as_14;uv_jew;uv_hol;mc_a_correct;mc_b_stereotype;mc_c_correct;mc_d_correct;mc_e_correct;mc_f_correct;mc_g_correct;mc_h_correct;mc_i_correct;mc_j_correct;mc_correct;mc_jew;mc_hol;as_2r;as_4r;as_7r;as;expl_warmth;expl_comp;age_groups
7;1;4;1;4;4;3;5;4;3;3;4;4;4;2;5;4;3;2;4;3;4;1;2;2;2;1;3;2;1;2;3;1;3;1;1;5;7;1;6;2;2;4;2;2;2;1;1;4;3;1;0;1;0;1;1;0;1;0;1;0;1;,666666666666667;1;1;1;2;4;2,07692307692308;4;4;1
13;1;4;2;5;5;3;5;3;5;4;4;4;5;2;4;4;5;2;4;4;5;1;4;2;2;3;3;1;1;3;3;1;3;1;3;1;7;2;6;2;1;1;1;1;3;1;1;1;2;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;2;7;1,92307692307692;5;4,25;2
19;1;4;1;4;4;4;4;4;5;3;4;3;4;5;4;4;5;2;2;4;5;1;3;2;2;3;3;1;1;3;3;1;3;0;0;5;7;1;7;3;1;2;1;1;1;1;1;5;2;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;1,92307692307692;4,4;3,25;3
48;1;4;1;5;4;3;4;4;5;4;4;4;4;3;4;5;4;2;4;3;5;1;3;2;2;3;3;1;1;3;3;1;3;0;1;3;4;2;4;1;1;6;1;1;1;1;1;3;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;2;1,76923076923077;4,4;4,25;3
49;1;3;1;4;3;3;4;4;4;3;5;4;4;4;4;3;5;2;2;4;4;1;4;2;2;1;3;3;1;3;3;2;3;0;1;6;2;5;3;5;6;2;6;6;6;6;4;6;6;1;0;1;0;1;1;0;1;0;1;1;1;,777777777777778;1;1;6;5;6;5,61538461538462;3,8;3,25;3
62;1;3;1;3;3;4;4;2;3;3;5;3;3;4;4;4;4;2;3;4;4;1;4;2;2;1;3;1;1;3;3;2;3;1;1;2;4;1;3;1;2;1;1;1;1;4;2;2;6;1;0;1;0;1;1;0;1;1;1;1;1;,888888888888889;1;1;4;5;7;2,84615384615385;3,4;3;1
72;1;4;1;5;4;3;4;4;5;4;3;4;5;2;5;5;5;1;4;3;4;1;4;2;2;3;3;1;1;3;3;2;3;0;1;6;6;3;3;2;3;4;2;1;1;6;2;2;4;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;2;5;4;2,84615384615385;4,4;4,25;1
75;1;3;1;4;4;2;5;4;5;4;4;4;5;4;5;5;5;2;2;5;5;1;4;2;2;3;3;3;1;3;3;1;3;0;2;6;7;1;7;2;1;7;2;1;2;1;1;3;5;1;0;1;0;1;1;1;1;0;1;1;1;,888888888888889;1;1;1;1;1;1,69230769230769;4,8;3,25;3
78;1;4;1;5;5;5;5;5;4;4;3;4;4;3;5;5;4;3;3;5;5;1;3;2;2;3;3;1;1;3;3;2;3;0;2;7;7;1;7;6;5;4;1;1;1;1;1;6;7;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;2,76923076923077;4,6;4;1
104;1;4;1;5;3;2;5;3;3;2;5;5;3;2;4;1;4;2;5;3;5;1;3;2;2;3;3;1;1;3;3;1;3;0;2;3;7;1;7;1;1;6;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1,07692307692308;3,8;4,75;3
108;1;3;4;4;2;2;4;4;3;1;5;4;3;3;3;1;4;3;3;4;3;1;4;4;2;3;3;3;1;1;3;1;3;0;1;4;5;3;3;3;3;3;3;5;5;5;4;5;5;1;0;1;0;0;1;1;1;0;1;0;1;,666666666666667;1;1;3;5;5;4,15384615384615;3;3,5;2
109;1;3;1;4;5;4;4;4;4;4;4;4;4;4;4;4;4;2;3;4;4;1;2;2;2;3;3;1;1;3;3;1;3;1;3;4;7;3;6;4;2;2;2;2;4;5;2;2;4;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;2;6;3;4,2;3,5;2
