CASE;SERIAL;REF;QUESTNNR;MODE;R001_01;R001_02;R001_03;R001_04;R001_05;R001_06;R001_07;R001_08;R001_09;R001_10;R001_11;R001_12;R002_01;R002_02;R002_03;R002_04;R002_05;R002_06;R002_07;R002_08;R002_09;R002_10;R002_11;R002_12;R003_01;R003_02;R003_03;R003_04;R003_05;R003_06;R003_07;R003_08;R003_09;R003_10;R003_11;R003_12;R004_01;R004_02;R004_03;R004_04;R004_05;R004_06;R004_07;R004_08;R004_09;R004_10;R004_11;R004_12;R005_01;R005_02;R005_03;R005_04;R005_05;R005_06;R005_07;R005_08;R005_09;R005_10;R005_11;R005_12;R006_01;R006_02;R006_03;R006_04;R006_05;R006_06;R006_07;R006_08;R006_09;R006_10;R006_11;R006_12;R007_01;R007_02;R007_03;R007_04;R007_05;R007_06;R007_07;R007_08;R007_09;R007_10;R007_11;R007_12;R008_01;R008_02;R008_03;R008_04;R008_05;R008_06;R008_07;R008_08;R008_09;R008_10;R008_11;R008_12;CO01;CO02;DE02;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME012;TIME_SUM;MAILSENT;FINISHED;LASTPAGE;MAXPAGE;MISSING;MISSREL;DEG_MISS;DEG_TIME;DEGRADE;jctr_warmth;jctr_comp;jhol_warmth;jhol_comp;cctr_warmth;cctr_comp;chol_warmth;chol_comp;age_groups
79; ; ;as_rcic2;interview;3;5;4;4;3;4;4;4;4;4;4;4;3;2;3;3;3;3;3;4;3;3;3;3;4;2;3;3;4;4;3;4;4;3;2;3;2;3;3;3;3;4;4;4;5;4;3;3;5;5;4;4;4;4;4;5;5;3;4;4;3;2;3;3;3;3;3;4;3;2;3;3;3;2;3;2;2;3;2;4;3;2;2;4;3;2;2;2;2;4;3;4;4;3;2;2;2;1;2;2;9;66;62;59;31;35;33;23;26;20;18;384; ;1;12;12;0;0;0;18;18;4,5;4,5;2,75;3,25;2,5;3;2,25;3,75;2
84; ; ;as_rcic2;interview;4;3;3;4;3;3;2;3;3;4;3;3;2;3;3;3;2;2;2;2;2;3;2;3;3;3;4;2;4;2;3;3;3;3;3;4;3;2;2;1;2;3;3;2;4;3;2;2;3;3;4;4;3;3;3;3;3;2;4;4;3;2;3;3;3;3;4;2;4;3;2;3;3;2;2;2;2;2;2;2;3;3;3;2;2;2;2;2;2;3;3;3;2;3;3;2;2;1;2;3;10;19;18;18;33;11;21;16;14;11;6;180; ;1;12;12;0;0;0;45;45;3,5;3;2,75;3,25;2,25;2,25;2;2,75;1
87; ; ;as_rcic2;interview;3;2;3;2;2;4;4;3;3;3;3;3;3;3;3;3;3;3;3;2;3;4;3;3;2;2;2;2;2;3;3;2;2;3;3;2;3;2;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;3;3;3;4;2;2;3;4;4;3;3;3;3;3;2;2;3;3;2;2;2;2;2;2;2;3;2;2;3;2;3;2;2;2;2;2;3;2;4;3;2;2;2;2;1;2;49;23;51;38;43;34;36;44;69;51;38;16;407; ;1;12;12;0;0;0;0;0;2;3,25;3,5;2,5;2;2,25;2;3;2
95; ; ;as_rcic2;interview;5;5;5;5;5;5;5;5;5;5;5;5;1;1;1;1;1;4;5;5;5;5;1;5;5;4;5;4;4;5;5;5;5;5;5;5;1;1;1;1;1;5;1;1;5;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;2;2;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;3;1;3;1;1;5;5;5;5;5;3;5;2;1;2;20;15;53;24;32;28;36;33;34;24;34;37;370; ;1;12;12;0;0;0;3;3;5;5;2;2;4;4;2;5;2
99; ; ;as_rcic2;interview;4;5;4;5;4;5;5;5;4;4;3;5;4;4;4;4;5;5;5;5;5;4;5;5;3;3;3;5;3;5;4;5;4;3;3;5;3;4;4;3;3;4;3;4;5;4;4;4;5;5;-9;5;5;5;5;5;5;5;4;4;4;5;4;5;5;5;5;5;4;5;4;5;4;4;4;5;4;5;5;4;5;4;4;5;4;4;3;4;3;4;4;4;4;3;5;5;2;1;2;7;8;22;19;17;11;60;17;21;20;12;9;223; ;1;12;12;1;1;20;32;52;5;5;4,5;4,75;4,25;4,75;3,75;4;1
100; ; ;as_rcic2;interview;4;5;3;2;4;3;2;4;3;5;4;3;3;3;2;2;3;4;4;3;3;3;5;3;4;2;3;5;3;2;4;5;3;4;4;4;3;2;2;4;3;2;3;4;3;1;2;3;4;4;5;4;4;4;3;3;4;4;2;2;3;3;5;4;2;3;5;3;3;3;4;4;5;2;3;3;4;3;4;4;4;5;5;5;5;4;3;5;4;4;3;3;4;4;3;3;2;1;2;4;5;13;16;13;12;13;15;13;11;11;12;138; ;1;12;12;0;0;0;61;61;4,25;3,5;3,75;3,5;3,25;3,75;4,25;3,5;1
102; ; ;as_rcic2;interview;5;4;4;5;4;3;4;3;3;3;5;4;5;4;4;3;4;2;4;4;5;4;5;4;5;4;-9;4;5;4;4;4;3;5;4;4;1;2;1;1;1;3;2;3;5;2;2;5;2;2;2;1;2;5;5;5;5;4;1;4;3;4;3;3;4;2;3;4;3;3;4;4;2;2;2;2;2;3;3;3;2;2;2;3;3;2;2;4;2;3;3;3;2;3;3;4;2;1;2;10;10;25;28;26;16;12;18;16;20;12;13;206; ;1;12;12;1;1;20;26;45;1,75;5;3,25;3;2;2,75;2,75;2,75;1
104; ; ;as_rcic2;interview;5;5;5;4;5;3;5;3;4;5;5;5;4;3;3;3;4;4;4;4;5;4;3;4;3;2;2;2;2;2;3;4;3;2;3;2;2;2;2;2;2;3;3;4;4;2;3;1;5;4;4;4;4;4;4;4;4;3;5;5;2;3;4;4;3;3;3;4;3;3;3;3;3;3;4;3;3;4;4;3;3;3;3;4;3;2;2;2;3;3;3;4;3;3;3;2;2;1;2;4;8;20;22;21;17;18;18;18;21;12;6;185; ;1;12;12;0;0;0;37;37;4,25;4;3,25;3,25;3,25;3,5;2,25;3,25;1
105; ; ;as_rcic2;interview;3;4;3;4;4;3;4;4;3;4;3;3;2;3;4;4;3;2;3;3;3;3;3;3;3;2;-9;3;3;3;3;2;3;3;4;3;4;4;-9;3;2;4;4;4;3;4;4;3;4;4;4;4;4;4;3;3;3;4;3;3;4;3;3;2;2;3;3;4;4;3;3;3;3;3;2;4;3;3;3;4;4;3;4;4;4;3;4;4;3;4;4;4;4;3;4;4;2;1;2;5;5;12;10;8;9;9;10;11;12;13;6;110; ;1;12;12;2;2;40;87;126;4;3,25;3;3,5;3;3,5;3,75;4;1
120; ; ;as_rcic2;interview;4;4;4;4;4;3;4;4;4;4;4;4;3;4;4;4;4;4;4;2;3;4;4;3;3;4;4;4;4;4;4;4;4;4;4;3;4;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;3;4;4;4;3;4;4;4;4;4;3;4;4;4;4;4;3;4;3;4;4;4;4;4;3;3;3;3;3;4;2;2;2;3;3;3;3;3;2;3;3;2;2;1;2;7;18;23;45;18;26;14;10;15;19;20;6;221; ;1;12;12;0;0;0;29;29;4;3,75;4;4;3,75;3,25;2,25;2,75;2
