subject;group;panas_1;panas_2;panas_3;panas_4;panas_5;panas_6;panas_7;panas_8;panas_9;panas_10;panas_11;panas_12;panas_13;panas_14;panas_15;panas_16;panas_17;panas_18;panas_19;panas_20;expl_1;expl_2;expl_3;expl_4;expl_5;expl_6;expl_7;expl_8;expl_9;expl_10;wsc_1;wsc_2;wsc_3;wsc_4;wsc_5;wsc_6;wsc_7;wsc_8;wsc_9;wsc_10;wsc_11;wsc_12;wsc_13;wsc_14;wsc_15;wsc_16;wsc_17;wsc_18;wsc_19;wsc_20;wsc_21;wsc_22;wsc_23;wsc_24;wsc_25;wsc_26;wsc_27;wsc_28;wsc_29;wsc_30;mc_a;mc_b;mc_c;mc_d;mc_e;mc_f;sex;bildung;migration;religion;uv_jew;uv_hol;mc_a_correct;mc_b_correct;mc_d_correct;mc_e_correct;mc_c_correct;mc_f_correct;mc_krit;expl_3r;expl_4r;expl_6r;expl_8r;expl_9r;expl_like;panas_pa;panas_na;wsc_1_hol;wsc_2_hol;wsc_3_hol;wsc_4_hol;wsc_5_hol;wsc_6_hol;wsc_7_hol;wsc_8_hol;wsc_9_hol;wsc_10_hol;wsc_hol_sum;age_groups
1;1;3;3;2;4;3;4;3;4;4;5;3;1;1;1;1;1;1;1;2;1;3;2;6;6;3;4;5;2;2;6;Deponie;Endlos;Ermüdung;Gaskolben;Genographie;Holz;Konzentration;Kremmel;Vergangenheit;Vernichtung;Akten;Altersheim;Bewegung;Einweihung;Empfang;Erfahrung;Fortbildung;funktionalität;Gymnastik;Hinter;Kilogramm;Kreis;Lieber;Monolog;Nagetier;Personen;Regen;Rückhalt;Stein;Zusammenhalt;4;3;2;4;2;2;2;3;0;2;1;1;1;1;1;1;1;1;1;2;2;4;6;6;3,9;3,5;1,3;0;0;0;0;0;0;0;0;0;1;1;2
2;2;2;2;1;1;1;1;1;2;2;4;4;2;2;1;1;3;2;1;2;2;6;6;6;2;6;4;6;3;2;6;Deposition;Endlassung;Ermäßigung;Gaskammer;Genossenschaft;Holz;Konzert;Krematorium;Vergangenheit;Vernunft;Akten;Alter;Bewegung;Einwanderer;Empfang;Erfahrung;Fortsetzung;Funktion;Gymnasium;Hintern;Kilogramm;Kreide;Liebling;Monopoly;Nagetier;Person;Regenschirm;Rücksicht;Stein;Zusammenhang;4;3;1;4;2;2;2;3;0;1;0;1;1;1;1;1;1;1;1;2;6;4;5;6;5,3;1,7;2;0;0;0;1;0;0;0;1;0;0;2;3
5;1;2;2;1;3;1;3;2;4;3;3;3;1;1;1;1;1;1;1;1;1;3;2;6;5;3;5;4;2;1;6;Depot;Endlastung;Ermäßigung;Gaskammer;Genossenschaft;Holunder;Konzentration;Kremmel;Vergangenheit;vernuft;Akten;Altenheim;Bewegung;Einwand;Empfang;Erfahrung;Fortbewegung;Funktion;Gymnasium;Hinterland;Kilogramm;kreis;Liebling;Monotheismus;Nagel;Person;Regelwerk;Rückzug;Steigbügel;Zusammenhalt;4;3;2;4;2;2;2;3;0;1;1;1;1;1;1;1;1;1;1;2;3;3;6;7;3,9;2,4;1,2;0;0;0;1;0;0;0;0;0;0;1;2
6;2;2;3;2;3;2;3;3;4;4;4;1;1;1;1;1;2;1;2;1;1;5;5;3;4;3;2;4;4;2;3;t;ichkeit;äßigung;ocher;sse;z;ert;el;ngenheit;unft;nzeichen;r;gung;anderung;ang;hrung;setzung;turm;astik;en;wattstunde;de;e;pol;tier;on;nbogen;sicht;n;tz;4;3;1;4;2;2;2;3;0;2;0;1;1;1;1;1;1;1;1;5;4;6;4;6;4,5;3;1,2;0;0;0;0;0;0;0;0;0;0;0;1
8;4;2;3;1;2;2;4;2;1;2;2;2;1;3;2;2;1;1;1;1;1;1;1;6;6;2;5;2;5;5;4;Depot;Endlosschleife;Ermutigung;Gaskammer;Genologe;Holstentor;Konzentration;Kreml;Vergangenheit;Verneinung;Aktenkoffer;Altenheim;Bewegung;Einwohner;Empfänger;Erfahrung;Fortbildung;Funkstille;Gymnasium;Hintern;Kilometer;Kreis;Liebhaber;Monotonie;Nagel;Personennahverkehr;Regen;Rückgabe;Steigung;Zusage;4;3;1;2;2;3;1;3;0;1;0;0;1;1;0;1;1;1;1;2;2;3;3;3;2,3;2,1;1,5;0;0;0;1;0;0;0;0;0;0;1;2
9;1;3;4;2;2;3;2;3;2;2;4;3;1;2;1;1;1;2;3;3;2;4;4;1;1;4;1;4;1;1;4;Deportation;Endlösung;Ermordung;Gaskammer;Genozid;Holocaust;Konzentrationslager;Krematorium;Vergasung;Vernichtung;Aktenzeichen;Altersheim;Bewegung;Einwanderer;Empfängnis;Erfahrung;Fortschritt;Funkturm;Gymnasium;Hintergrund;Kilogramm;Kreide;Liebhaber;Monolog;Nagel;Person;Regel;Rücksicht;Stein;Zusammenhalt;4;3;2;4;2;2;1;3;0;0;1;1;1;1;1;1;1;1;1;7;7;7;7;7;5,5;2,7;1,9;1;0;1;1;1;1;1;1;1;1;9;3
10;2;3;4;2;2;3;1;2;4;4;4;1;1;1;1;1;1;1;1;1;1;5;6;2;2;6;2;6;1;1;5;Depolarisierung;Endlichkeit;Ermahnung;Gaskocher;Geno;Holkreuz;Konzentration;Krempel;Vergangenheit;Verneinung;Aktevierung;Alter;Bewegung;Einwand;Empfindung;Erfahrung;Fortführung;Funktion;Gymnasium;Hintern;Kilogramm;Kreislauf;Liebe;Monotonie;Nagellack;Persönlichkeit;Regen;Rücken;Steigung;Zusatz;4;3;1;4;1;2;1;3;0;2;0;1;1;1;1;0;1;1;1;6;6;6;7;7;6;2,9;1;0;0;0;0;0;0;0;0;0;0;0;3
11;3;3;4;3;3;1;3;3;3;4;4;3;2;1;2;2;1;1;2;4;2;4;5;2;5;4;1;6;1;1;5;Depositionieren;os;Ermittlung;ammer;Genorientiert;en;Konzentration;mel;ngenheit;ünftig;nzeichen;nheim;Bewegung;Einwand;Empfinden;hrungen;schritt;Funktionieren;asium;erlistigkeit;Kilometer;slauf;espaar;Monogamie;r;Personen;nwurm;sicht;nbruch;Zusammenhalt;4;3;2;4;4;3;1;3;0;0;1;0;1;1;1;0;1;1;1;6;3;7;7;7;5,4;3,1;2;0;0;0;1;0;0;0;0;0;0;1;3
12;4;3;5;2;3;3;1;3;4;4;5;2;1;4;1;1;1;2;3;3;3;5;5;6;2;5;4;6;5;1;5;sit;osigkeit;äßigung;ocher;zit;istik;ert;pel;ngenheit;unft;n;resheim;gung;ohner;ehlung;hrung;bewegung;tion;asium;erhof;gramm;sel;e;thonie;tier;on;n;sicht;n;mmenhalt;4;3;1;4;2;3;1;4;0;0;0;0;1;1;1;1;1;1;1;2;6;4;3;7;4,8;3,3;2,1;0;0;0;0;1;0;0;0;0;0;1;3
13;1;4;4;2;2;3;3;3;4;3;2;4;2;1;1;1;2;2;1;2;3;3;4;3;2;5;2;4;1;1;5;Depot;Endleistung;Ermäßigung;Gaskammer;Genom;Holz;Konzert;Krematorium;Vergangenheit;Vernunft;Aktenzeichen;Alter;Bewegung;Einwohner;Empfängnis;Erfahrung;Fortsetzung;Funktion;Gymnasium;Hinterwäldler;Kilogramm;Kreide;Liebhaber;Monotonie;Nagetier;Person;Regenschirm;Rücksichtnahme;Stein;Zusammenarbeit;4;3;2;4;2;2;2;3;0;0;1;1;1;1;1;1;1;1;1;5;6;6;7;7;5,2;3;1,9;0;0;0;1;0;0;0;1;0;0;2;2
