CASE;SERIAL;REF;QUESTNNR;MODE;R001_01;R001_02;R001_03;R001_04;R001_05;R001_06;R001_07;R001_08;R001_09;R001_10;R001_11;R001_12;R002_01;R002_02;R002_03;R002_04;R002_05;R002_06;R002_07;R002_08;R002_09;R002_10;R002_11;R002_12;R003_01;R003_02;R003_03;R003_04;R003_05;R003_06;R003_07;R003_08;R003_09;R003_10;R003_11;R003_12;R004_01;R004_02;R004_03;R004_04;R004_05;R004_06;R004_07;R004_08;R004_09;R004_10;R004_11;R004_12;R005_01;R005_02;R005_03;R005_04;R005_05;R005_06;R005_07;R005_08;R005_09;R005_10;R005_11;R005_12;R006_01;R006_02;R006_03;R006_04;R006_05;R006_06;R006_07;R006_08;R006_09;R006_10;R006_11;R006_12;R007_01;R007_02;R007_03;R007_04;R007_05;R007_06;R007_07;R007_08;R007_09;R007_10;R007_11;R007_12;R008_01;R008_02;R008_03;R008_04;R008_05;R008_06;R008_07;R008_08;R008_09;R008_10;R008_11;R008_12;CO01;CO02;DE02;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME012;TIME_SUM;MAILSENT;FINISHED;LASTPAGE;MAXPAGE;MISSING;MISSREL;DEG_MISS;DEG_TIME;DEGRADE;jhol_warmth;jhol_comp;chol_warmth;chol_comp;jctr_warmth;jctr_comp;cctr_warmth;cctr_comp;age_groups
83; ; ;as_rcic3;interview;2;3;2;3;2;3;3;3;3;3;2;3;3;3;3;3;3;4;3;4;4;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;3;2;2;3;3;3;3;3;2;2;3;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2;3;2;4;4;4;4;4;4;4;4;4;4;4;4;3;2;3;3;3;3;3;2;2;2;3;3;2;1;2;5;16;28;20;30;32;31;32;40;33;23;27;317; ;1;12;12;0;0;0;7;7;2;2,5;2;3;4;4;2,75;2,5;2
93; ; ;as_rcic3;interview;3;4;3;4;3;4;3;5;4;4;4;4;5;4;5;3;5;5;4;5;2;4;3;4;4;4;3;3;5;5;5;4;5;5;4;5;4;5;5;2;4;5;5;4;5;4;3;4;3;4;3;5;5;5;4;4;4;2;4;4;4;4;3;2;4;4;4;4;3;3;4;4;3;3;4;2;4;3;3;3;3;4;4;3;4;3;4;3;4;4;3;4;2;3;4;4;2;1;2;46;19;19;23;19;19;21;16;17;22;30;30;243; ;1;12;12;0;0;0;16;16;3,75;4,25;3,25;3,75;3;3;3,5;3,25;1
114; ; ;as_rcic3;interview;3;3;3;3;3;2;2;2;3;3;2;3;4;3;3;4;4;3;3;3;4;3;4;4;4;4;4;3;4;3;3;3;3;3;4;4;3;3;3;2;3;3;2;2;2;2;3;3;3;4;4;3;4;3;4;4;3;4;3;4;4;4;3;3;4;4;3;3;3;3;4;4;3;3;2;3;2;3;3;3;2;3;2;3;2;3;2;2;3;2;2;3;3;3;2;3;2;1;2;12;9;16;17;11;22;25;9;9;8;17;9;164; ;1;12;12;0;0;0;51;51;3,5;3,5;3,5;3,25;2,75;2,75;2,25;2,5;2
127; ; ;as_rcic3;interview;3;3;3;3;2;2;4;2;3;4;2;3;4;4;3;4;3;4;4;3;3;3;4;5;3;2;2;3;2;3;3;4;3;3;3;2;4;4;4;3;3;3;3;2;2;3;3;3;3;2;2;2;2;3;2;3;3;3;2;2;4;4;4;4;3;4;4;3;3;3;3;5;3;3;4;4;3;4;4;4;3;3;3;3;3;3;3;3;3;4;3;3;4;4;3;4;2;1;2;4;24;35;29;36;27;33;26;25;19;26;26;310; ;1;12;12;0;0;0;6;6;2,25;2,75;4;3,5;3,5;3,75;3;3,5;3
133; ; ;as_rcic3;interview;4;2;3;4;2;2;2;3;4;3;3;4;3;3;3;4;2;3;3;4;4;2;2;4;4;5;4;5;3;3;3;4;4;2;4;5;2;2;2;5;2;-9;3;2;3;1;2;5;4;4;4;5;2;3;3;4;3;2;3;5;2;3;4;4;2;3;2;3;3;2;2;4;4;4;3;5;3;3;3;4;5;2;3;5;4;1;1;3;2;3;2;4;3;1;2;4;2;1;1;28;18;37;37;31;29;28;30;26;26;21;21;332; ;1;12;12;1;1;20;1;20;4,25;3,25;3,25;2,75;4;3,75;2,25;3;3
142; ; ;as_rcic3;interview;3;2;3;3;2;3;3;1;2;2;3;3;5;3;4;4;3;4;4;5;3;5;3;3;2;4;4;3;3;4;3;4;4;4;3;2;2;2;2;2;1;3;3;4;1;3;1;1;2;3;2;3;2;3;3;4;3;4;2;4;5;4;4;4;4;4;4;4;5;4;3;4;3;4;3;3;3;3;3;3;3;3;3;3;2;1;1;1;1;3;1;4;1;3;1;1;2;1;1;6;13;31;30;32;32;28;38;27;35;23;10;305; ;1;12;12;0;0;0;7;7;2,5;3,25;4,25;4,25;3,25;3;1,25;2,25;2
143; ; ;as_rcic3;interview;4;4;5;4;4;3;3;3;3;3;5;4;2;2;2;2;2;4;4;4;5;3;2;5;2;3;2;3;2;2;3;5;5;4;2;4;4;5;5;3;4;2;3;2;2;4;4;5;4;4;5;3;4;3;4;4;4;3;5;4;1;2;2;2;1;4;4;5;5;5;2;4;2;3;3;3;2;4;4;5;5;4;3;4;3;4;2;3;2;2;2;2;2;2;4;3;2;1;2;4;14;31;36;46;29;38;33;32;34;14;15;326; ;1;12;12;0;0;0;9;9;4;3,75;1,75;4,5;2,75;4,5;3;2;1
146; ; ;as_rcic3;interview;3;3;3;3;3;3;3;3;3;3;3;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;1;1;2;29;28;10;32;17;15;11;14;11;29; ;198; ;0;11;11;0;0;0;48;48;3;3;3;3;3;3;3;3;3
147; ; ;as_rcic3;interview;3;2;5;4;3;3;4;2;3;2;4;3;5;4;2;4;3;3;2;3;4;3;3;3;4;2;4;4;3;3;4;4;3;4;4;4;3;3;3;3;2;3;3;2;3;2;3;2;4;4;3;3;4;3;3;3;4;4;4;4;4;3;4;4;3;4;4;4;4;3;2;3;3;4;2;2;4;3;4;4;5;4;4;5;4;4;4;3;3;4;3;3;4;3;4;3;2;1;2;3;10;20;15;11;9;11;11;11;9;20;13;143; ;1;12;12;0;0;0;61;61;3,5;3,25;3,75;4;2,75;4;3,75;3,5;1
152; ; ;as_rcic3;interview;5;4;4;5;4;5;4;5;3;3;4;5;2;2;3;2;2;2;2;2;3;2;3;3;3;3;4;3;3;3;4;4;4;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;3;3;4;4;5;5;3;4;5;5;4;5;2;3;3;3;3;3;3;3;3;3;3;2;3;3;4;4;3;3;4;4;3;4;3;3;3;3;3;4;4;3;4;4;3;3;4;4;2;1;2;3;6;12;7;6;4;9;8;8;8;7;6;84; ;1;12;12;0;0;0;132;132;3,5;4,25;2,75;3;3,5;3,5;3,25;3,5;2
