subject;group;panas_1;panas_2;panas_3;panas_4;panas_5;panas_6;panas_7;panas_8;panas_9;panas_10;panas_11;panas_12;panas_13;panas_14;panas_15;panas_16;panas_17;panas_18;panas_19;panas_20;expl_1;expl_2;expl_3;expl_4;expl_5;expl_6;expl_7;expl_8;expl_9;expl_10;expl_11;expl_12;expl_13;expl_14;expl_15;expl_16;wsc_1;wsc_2;wsc_3;wsc_4;wsc_5;wsc_6;wsc_7;wsc_8;wsc_9;wsc_10;wsc_11;wsc_12;wsc_13;wsc_14;wsc_15;wsc_16;wsc_17;wsc_18;wsc_19;wsc_20;wsc_21;wsc_22;wsc_23;wsc_24;wsc_25;wsc_26;wsc_27;wsc_28;wsc_29;wsc_30;mc_a;mc_b;mc_c;mc_d;mc_e;mc_f;sex;bildung;migration;religion;uv_jew;uv_hol;mc_a_correct;mc_b_correct;mc_d_correct;mc_e_correct;mc_c_correct;mc_f_correct;mc_krit;expl_9r;expl_10r;expl_12r;expl_14r;expl_15r;self_interest;expl_like;panas_pa;panas_na;wsc_1_hol;wsc_2_hol;wsc_3_hol;wsc_4_hol;wsc_5_hol;wsc_6_hol;wsc_7_hol;wsc_8_hol;wsc_9_hol;wsc_10_hol;wsc_hol_sum;age_groups
1;1;3;4;2;2;3;1;3;2;4;3;1;1;1;1;1;2;1;1;1;1;4;4;3;2;5;2;4;4;4;5;3;3;4;4;3;5;Deposition;Endlichkeit;Ermittler;Gaskammer;Genossenschaft;Holz;Konzenrtration;Krempel;Vergasung;Verneinung;Aktenzeichen;Alter;Bewegung;Einwandt;Empfindung;Erfahrung;Fortbildung;Funkgebühr;Gymnasium;Hintern;Kilogramm;Keisel;Liebe;Monopoly;Nagel;Person;Regenbogen;Rücksicht;Stein;Zusammenhang;4;3;2;4;2;2;1;3;0;2;1;1;1;1;1;1;1;1;1;4;3;5;4;5;3,33333333333333;4,1;2,7;1,1;0;0;0;1;0;0;0;0;1;0;2;3
2;2;3;3;4;4;4;4;3;3;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;6;1;1;7;1;7;1;1;7;Depolarisierend;Endlos;Ernmäßigung;Gaskammer;Genommen;Holen;Konzentration;Krempel;Vergangenheit;Vernunft;Aktenkoffer;Altentransporter;Bewegung;Einwilligung;Empfindung;Erfahrung;Fortsetzung;Funktion;Gymnasium;Hinter;Kilometer;Kreisel;Liebe;Monogenität;Nagellack;Person;Regenschirm;Rücksicht;Stein;Zusage;4;3;1;4;2;2;1;3;0;1;0;1;1;1;1;1;1;1;1;7;7;7;7;7;1;6,8;3,8;1;0;0;0;1;0;0;0;0;0;0;1;1
3;3;3;5;4;4;1;5;3;5;5;5;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;1;7;7;2;2;7;1;6;1;1;6;Deporation;Endlaufen;Ermutigung;Gaskammer;Genotyp;Holzbank;Konzentration;Krempel;Vergangenheit;Vernunft;Aktenzeichen;Altenheim;Bewegung;Einweihung;Empfindung;Erfahrungen;Fortschritt;Funktion;Gymnasium;Hintern;Kilogramm;Kreise;Liebe;Monotonie;Nagellack;Person;Regen;Rücken;Steine;Zusammenarbeit;4;3;2;4;2;3;2;3;0;0;1;0;1;1;1;1;1;1;1;6;6;7;7;7;1,5;6,6;4;1;0;0;0;1;0;0;0;0;0;0;1;3
5;1;3;3;2;3;3;2;3;4;4;3;2;1;2;1;1;2;2;2;2;2;3;2;4;3;2;3;4;4;4;4;5;4;5;3;2;4;Deposition;Endlosigkeit;Ermittlungen;Gaskammer;Genotyp;Holen;Konzert;Krematorium;Vergangenheit;Vernichtung;Aktenkoffer;Altersheim;Bewegung;Einweihung;Empfindung;Erfahrung;Fortbewegung;Funkgerät;Gymnasium;Hinterteil;Kilogramm;Kreissäge;Liebe;Monolingualität;Nagetier;Persönlichkeit;nschirm;Rücken;Stein;Zusage;4;3;2;4;2;2;1;3;0;2;1;1;1;1;1;1;1;1;1;4;4;4;5;6;2,83333333333333;4,5;3;1,7;0;0;0;1;0;0;0;1;0;1;3;2
6;2;3;3;1;1;1;1;1;3;3;3;4;2;1;1;1;2;1;3;2;1;2;2;1;4;2;2;3;3;2;2;3;2;4;2;1;4;Depot;Endlichkeit;Ermäßigung;Gaskammer;Genom;Hologramm;Konzentration;Krempel;Vergangenheit;Vernunft;Aktenverzeichnis;Alter;Bewegung;Einweg;Empfindung;Erfahrung;Fortbildung;Funkhaus;Gymnasium;Hintern;Kilogramm;Kreis;Liebe;Monogamie;Nagel;Person;Regenwurm;Rücken;Steigung;Zusammenhang;4;3;1;4;2;2;1;4;0;1;0;1;1;1;1;1;1;1;1;6;6;6;6;7;2,16666666666667;4,8;2;1,8;0;0;0;1;0;0;0;0;0;0;1;3
7;3;3;4;2;2;5;1;4;4;4;5;2;1;1;1;1;1;1;2;2;1;1;1;3;1;1;1;3;3;1;1;3;1;3;1;1;4;Depot;Endlos;Ermächtigung;Gaskammer;Genommen;Holz;Konzentration;0;Vergangenheit;Vernachlässigung;Akten;Altersheim;Bewegung;Einwanderung;Empfang;Erfahrung;Fortsetzung;Funktion;Gymnasium;Hinterhof;Kilowatt;Kreis;Liebe;Monoton;Nagel;Person;Regen;Rückmeldung;Stein;Zusammen;4;3;2;4;4;3;1;3;1;1;1;0;1;1;1;0;1;1;1;7;7;7;7;7;1,33333333333333;5,1;3,4;1,3;0;0;0;1;0;0;0;0;0;0;1;1
8;4;3;4;3;2;3;2;3;4;3;4;1;1;1;1;1;1;1;2;2;1;4;5;3;5;3;3;4;5;4;5;4;3;4;3;2;4;Deportation;Endlich;Ermittlungen;Gaskolben;0;Holen;Konzert;Krempel;Vergangenheit;Verneinung;Aktenzeichen;Altenheim;Bewegung;Einwanderer;Empfehlung;Erfahrung;Fortschritt;Funke;Gymnasium;Hintern;Kilogramm;Kreis;Liebe;Monopol;Nagelpfeile;Person;Regenschirm;Rücksichtslos;Stein;Zusammen;2;3;1;4;2;3;1;3;0;1;0;0;0;1;1;1;1;1;1;4;3;5;5;6;3,83333333333333;4,4;3,1;1,2;1;0;0;0;0;0;0;0;0;0;1;1
9;1;4;3;4;3;3;4;4;3;4;3;1;1;1;1;1;1;1;1;1;1;4;5;3;2;2;2;2;2;2;2;5;3;3;4;2;5;Deponens;Endlarvung;Ermittlung;Gaskammer;Genogramm;Holweide;Konzert;Kremel;Vergangenheit;Verneinung;Aktenordner;Altenheim;Bewegung;Einwand;Empfängnis;Erfahrung;Fortpflanzung;Funkstille;Gymnastik;Hintertürchen;Kilogramm;Kreis;Liebe;Monogamie;Nagetier;Person;Regen;Rückenmark;Steigbügel;Zusage;4;3;2;4;4;2;1;3;0;2;1;1;1;1;1;0;1;1;1;6;6;5;4;6;3;4,4;3,5;1;0;0;0;1;0;0;0;0;0;0;1;3
11;3;2;3;1;4;1;3;2;3;4;4;1;1;1;1;2;1;1;1;1;2;4;4;4;5;3;2;2;2;2;1;3;3;3;4;3;3;Depot;Endlichkeit;Ermittlung;Gaskammer;Genom;Hol;Konzentration;Krempel;Vergangenheit;Vernunft;Aktei;Alter;Bewegung;Einwanderer;Empfinden;Erfahrung;Fortsetzung;Funkradio;Gymnasium;hintergrund;Kilometer;Kreide;Liebschaft;Mongamie;Nagel;Person;Regen;Rückmeldung;Steine;Zusammenhang;4;3;2;4;2;3;1;3;0;1;1;0;1;1;1;1;1;1;1;6;7;5;4;5;3,66666666666667;4;2,7;1,2;0;0;0;1;0;0;0;0;0;0;1;1
12;4;2;3;1;3;2;1;1;4;4;4;1;1;1;1;1;1;1;1;1;1;2;2;3;1;2;1;6;6;1;5;4;1;6;2;1;6;rtation;osigkeit;utigung;ombination;m;land;entration;atorium;ngenheit;unft;ntasche;rsvorsorge;gung;anderer;ang;hrung;pflanzung;turm;asium;erhalt;meter;se;esbrief;log;tier;on;nbogen;en;gbügel;tz;4;3;1;4;2;3;1;3;0;9;0;0;1;1;1;1;1;1;1;7;3;7;6;7;1,83333333333333;5,8;2,5;1;1;0;0;0;0;0;0;1;0;0;2;3
