CASE;SERIAL;REF;QUESTNNR;MODE;R001_01;R001_02;R001_03;R001_04;R001_05;R001_06;R001_07;R001_08;R001_09;R001_10;R001_11;R001_12;R002_01;R002_02;R002_03;R002_04;R002_05;R002_06;R002_07;R002_08;R002_09;R002_10;R002_11;R002_12;R003_01;R003_02;R003_03;R003_04;R003_05;R003_06;R003_07;R003_08;R003_09;R003_10;R003_11;R003_12;R004_01;R004_02;R004_03;R004_04;R004_05;R004_06;R004_07;R004_08;R004_09;R004_10;R004_11;R004_12;R005_01;R005_02;R005_03;R005_04;R005_05;R005_06;R005_07;R005_08;R005_09;R005_10;R005_11;R005_12;R006_01;R006_02;R006_03;R006_04;R006_05;R006_06;R006_07;R006_08;R006_09;R006_10;R006_11;R006_12;R007_01;R007_02;R007_03;R007_04;R007_05;R007_06;R007_07;R007_08;R007_09;R007_10;R007_11;R007_12;R008_01;R008_02;R008_03;R008_04;R008_05;R008_06;R008_07;R008_08;R008_09;R008_10;R008_11;R008_12;CO01;CO02;DE02;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME012;TIME_SUM;MAILSENT;FINISHED;LASTPAGE;MAXPAGE;MISSING;MISSREL;DEG_MISS;DEG_TIME;DEGRADE;jhol_warmth;jhol_comp;chol_warmth;chol_comp;jctr_warmth;jctr_comp;cctr_warmth;cctr_comp;age_groups
80; ; ;as_rcic4;interview;3;3;2;2;2;2;3;4;4;4;2;3;4;2;4;3;3;2;2;2;1;3;3;3;1;1;2;2;2;3;2;2;4;3;1;2;4;4;4;4;4;5;4;4;2;5;3;4;5;4;4;3;3;4;3;2;4;4;3;3;3;3;3;2;3;4;3;4;5;3;3;3;2;2;3;2;3;2;2;4;5;2;3;2;1;3;2;2;2;3;3;4;4;5;2;3;2;1;1;12;14;37;32;25;46;28;23;28;26;21;18;310; ;1;12;12;0;0;0;3;3;4;3,25;2,75;4;2,25;3,25;2;3,5;3
82; ; ;as_rcic4;interview;2;5;1;3;1;3;5;5;-9;4;5;5;5;5;5;5;5;5;5;5;5;5;5;4;2;3;2;3;2;3;3;5;5;1;2;2;4;4;3;5;4;4;5;5;4;1;4;4;-9;5;5;5;5;5;1;5;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;3;4;4;5;4;5;5;3;4;3;5;5;5;5;5;5;5;5;5;1;5;3;2;1;1;4;19;26;22;20;12;27;16;83;49;22;13;255; ;1;12;12;2;2;40;19;59;5;3,25;5;5;3,75;4,75;5;5;2
86; ; ;as_rcic4;interview;4;4;4;3;4;4;4;4;3;5;5;5;4;3;3;4;4;3;4;4;-9;2;4;3;1;1;1;2;2;3;2;4;4;3;3;1;4;4;3;4;3;4;3;4;4;4;4;2;4;4;5;4;4;3;4;5;2;4;4;5;4;2;2;3;2;3;4;5;5;3;2;1;3;2;1;2;3;3;4;4;4;3;2;2;2;2;3;3;3;3;4;4;5;3;3;2;2;1;2;23;13;40;27;33;33;96;24;82;28;13;17;305; ;1;12;12;1;1;20;6;26;4,25;3,5;2,75;4,25;2;3,75;2,5;4;2
88; ; ;as_rcic4;interview;2;2;2;2;2;3;3;4;4;3;2;3;2;2;2;2;1;2;2;2;3;2;2;2;2;2;2;2;1;3;2;3;4;2;2;2;2;2;2;2;1;3;3;3;4;2;2;3;3;2;2;3;2;3;3;3;3;3;2;3;2;2;2;2;1;2;2;2;3;2;2;2;2;2;2;2;1;3;3;3;4;3;2;3;3;2;2;2;1;3;3;3;4;2;3;2;2;1;2;2;6;22;22;16;22;25;18;14;18;8;8;181; ;1;12;12;0;0;0;50;50;2,5;3;2;2,25;2;3,25;2,25;3,25;2
89; ; ;as_rcic4;interview;2;2;2;2;2;3;3;4;4;2;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;2;3;4;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;3;4;4;4;2;3;4;3;2;3;3;2;2;3;3;3;2;3;4;3;3;2;2;2;3;4;3;4;2;3;4;2;2;2;2;2;3;4;4;4;2;3;4;2;1;2;3;348;18;18;14;20;15;18;14;9;9;6;163; ;1;12;12;0;0;0;50;50;2;3,75;2,75;2,75;2,5;3,5;2;3,75;1
90; ; ;as_rcic4;interview;4;3;4;4;5;3;5;4;4;4;3;5;3;3;-9;3;4;3;4;5;4;2;4;4;5;2;5;4;4;3;5;5;4;4;4;3;3;3;4;4;3;4;3;5;5;4;3;3;5;5;4;4;4;4;4;4;5;3;3;4;4;2;4;3;3;3;3;5;5;4;3;2;2;3;4;4;3;3;3;4;5;3;3;2;4;3;3;4;3;4;4;4;3;3;3;2;2;1;1;52;13;20;20;20;16;19;46;19;59;16;6;262; ;1;12;12;1;1;20;24;44;4,5;4,25;3,25;4;3,25;3,75;3,5;3,75;1
91; ; ;as_rcic4;interview;2;2;2;2;2;5;5;3;5;5;2;4;3;3;4;2;3;2;3;5;4;4;2;2;5;5;4;4;5;5;4;4;5;4;4;5;4;4;3;4;3;4;4;5;5;3;4;4;5;5;5;5;5;3;3;3;3;4;4;5;3;2;2;2;2;2;2;5;5;5;2;2;2;1;1;2;3;2;1;2;5;3;1;1;3;2;2;2;2;3;3;3;5;5;1;2;2;1;1;13;22;31;30;27;21;49;20;25;23;28;19;308; ;1;12;12;0;0;0;4;4;5;3;2,25;3,5;1,5;2,5;2,25;3,5;3
101; ; ;as_rcic4;interview;2;2;2;2;2;4;3;4;4;2;3;2;2;2;3;2;2;4;3;3;4;2;3;2;3;3;3;3;3;4;3;4;4;2;4;4;2;3;3;2;4;-9;3;3;3;3;4;3;4;3;3;3;3;4;4;4;4;4;4;4;5;4;5;4;4;4;4;4;4;4;4;4;1;2;1;2;1;3;3;4;4;1;2;1;3;3;3;3;2;4;3;4;4;2;4;2;2;1;1;16;46;50;37;39;27;29;32;29;41;42;9;397; ;1;12;12;1;1;20;3;23;3,25;4;4,5;4;1,5;3,5;3;3,75;3
112; ; ;as_rcic4;interview;4;4;4;3;4;2;3;4;3;4;3;3;4;3;2;2;3;4;2;3;3;5;3;4;4;3;4;2;4;5;4;3;4;3;3;4;4;2;3;3;4;4;3;4;2;4;3;2;3;4;4;3;3;5;4;2;2;3;4;2;4;2;3;3;4;3;4;5;3;3;3;4;3;4;4;4;2;3;3;4;4;4;3;5;3;3;4;2;3;3;3;2;2;2;4;4;2;1;2;3;3;15;16;14;18;15;13;18;22;14;15;166; ;1;12;12;0;0;0;59;59;3,5;3,25;3;3,75;3,75;3,5;3;2,5;2
113; ; ;as_rcic4;interview;4;5;5;4;4;3;3;4;3;3;4;5;5;4;5;5;5;4;5;4;4;4;4;5;5;5;5;5;5;5;5;4;4;5;4;5;4;3;4;3;4;3;5;5;5;2;3;4;3;3;4;3;4;3;4;5;5;2;3;4;5;5;5;5;5;3;4;4;3;4;4;4;3;3;4;4;4;4;3;4;4;4;4;3;4;4;4;4;4;4;5;5;5;4;4;5;2;1;2;147;58;24;21;16;20;18;19;60;24;22;11;262; ;1;12;12;0;0;0;15;15;3,25;4,25;5;3,5;3,5;3,75;4;4,75;1
115; ; ;as_rcic4;interview;2;2;3;3;2;4;3;4;4;2;3;3;2;2;3;3;2;4;4;4;4;2;3;3;2;2;3;3;2;4;3;4;4;2;3;2;2;2;3;3;2;4;3;4;4;3;3;3;2;2;3;3;2;4;3;4;4;3;3;3;2;2;3;3;2;4;3;4;4;2;3;3;2;2;3;3;2;4;3;4;4;2;3;3;2;2;4;3;2;4;3;4;4;2;3;3;2;1;1;3;5;26;31;26;26;28;36;23;31;15;60;266; ;1;12;12;0;0;0;23;23;2,5;3,75;2,5;3,75;2,5;3,75;2,75;3,75;2
117; ; ;as_rcic4;interview;4;3;3;3;4;4;5;5;4;2;4;4;4;4;3;4;4;2;4;3;4;4;5;4;4;3;4;4;4;3;4;4;4;3;4;4;3;2;3;3;3;3;4;5;5;4;3;3;4;3;3;4;4;3;5;5;5;3;4;3;4;2;4;4;3;2;4;4;3;3;5;4;3;3;3;4;3;3;3;5;5;4;2;3;3;3;3;3;3;3;4;5;5;3;3;3;2;1;2;1;13;25;22;28;29;28;27;29;23;16;13;254; ;1;12;12;0;0;0;38;38;3,5;4,5;3,5;3,25;3,25;4;3;4,25;1
122; ; ;as_rcic4;interview;2;1;2;2;1;5;4;5;5;4;3;1;4;4;5;4;4;5;4;5;5;4;5;4;4;2;3;2;3;3;3;4;3;2;4;4;3;3;2;1;2;3;2;4;3;2;2;2;2;3;4;3;3;4;3;5;5;2;3;2;3;4;3;3;3;4;4;5;4;3;4;2;3;2;2;2;2;3;3;5;5;1;3;2;5;5;4;4;4;4;4;5;3;3;4;4;2;1;1;10;14;31;33;42;62;56;50;42;69;25;9;400; ;1;12;12;0;0;0;5;5;3;4,25;3,25;4,25;2,25;4;4,5;4;3
128; ; ;as_rcic4;interview;4;2;5;4;3;4;4;4;3;4;3;3;2;2;3;3;3;2;2;1;2;2;4;2;3;2;2;2;2;3;3;3;4;2;4;4;4;4;4;3;3;3;2;2;2;5;4;3;3;3;4;4;4;3;3;3;2;2;4;5;1;2;1;1;2;3;3;4;4;1;2;2;1;2;1;2;1;2;3;4;4;2;2;2;3;4;4;4;4;3;3;1;1;3;5;4;2;1;2;5;18;19;23;21;21;23;33;25;32;13;9;242; ;1;12;12;0;0;0;18;18;3,5;2,75;1,25;3,5;1,5;3,25;3,75;2;1
130; ; ;as_rcic4;interview;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;3;4;4;4;3;3;4;4;3;3;2;3;2;3;4;3;4;4;4;3;4;4;3;5;4;4;4;4;3;3;3;4;4;3;3;3;3;3;4;4;3;4;4;3;2;2;2;2;2;2;4;3;3;4;4;2;3;3;2;3;3;3;4;3;4;4;3;3;4;4;5;4;4;4;4;4;3;3;3;3;3;2;1;1;24;25;52;40;47;42;44;50;49;58;27;15;473; ;1;12;12;0;0;0;0;0;3;3,75;2;3,5;2,75;3,75;4,25;3,5;3
