subject;condition;instruct;as1;as2;as3;as4;as5;as6;as7;as8;as9;as10;as11;as12;as13;sex;as3r;as6r;as13r;as;age_groups
1;1;0;5;1;4;4;1;7;2;2;4;2;2;4;4;2;4;1;4;2,76923076923077;1
2;0;0;7;3;3;5;1;3;5;4;4;4;6;2;1;1;5;5;7;4,46153846153846;1
3;1;1;6;1;2;5;1;4;4;4;6;2;5;5;2;1;6;4;6;4,23076923076923;1
4;1;1;4;1;4;5;1;5;6;1;5;2;3;4;3;2;4;3;5;3,38461538461538;1
5;0;0;3;7;3; ;7;4;1;4;3;3;4;4;3;2;5;4;5;4,16666666666667;3
6;0;0;1;1;4;1;1;7;1;1;1;1;1;1;7;2;4;1;1;1,23076923076923;3
7;1;1;4;1;4;2;1;4;2;2;2;2;2;2;3;2;4;4;5;2,53846153846154;1
8;0;1;3;1;6;4;1;6;5;1;4;2;5;5;5;2;2;2;3;2,92307692307692;3
9;1;1;3;1;5;4;1;1;5;1;5;3;5;4;3;1;3;7;5;3,61538461538462;1
10;0;1;3;4;4;7;6;4;2;3;5;5;3;3;3;1;4;4;5;4,15384615384615;2
11;0;0;7;1;7;6;7;1;4;4;4;7;4;7;1;2;1;7;7;5,07692307692308;3
12;0;1;2;1;5;4;1;7;7;1;5;2;2;4;2;2;3;1;6;3;2
13;1;0;6;2;4;5;1;6;6;2;5;2;2;6; ;2;4;2; ;3,58333333333333;3
14;1;1;3;1;5;5;1;4;3;1;2;2;2;4;4;1;3;4;4;2,69230769230769;1
15;1;1;3;1;4;2;1;3;3;1;4;3;3;2;3;2;4;5;5;2,84615384615385;2
16;0;1;1;1;7;5;1;7;1;1;5;2;3;5;4;2;1;1;4;2,38461538461538;1
17;1;0;5;1;7;4;4;7;1;3;6;7;5;7;2;2;1;1;6;3,92307692307692;3
18;0;1;4;3;1;5;2;4;1;1;3;4;3;1;4;2;7;4;4;3,23076923076923;1
19;1;1;5;1;3;3;1;3;4;1;2;1;1;2;2;2;5;5;6;2,84615384615385;3
20;0;1;4;1;7;3;1;7;5;1;1;1;3;4;4;1;1;1;4;2,30769230769231;2
21;1;0;4;1;3;2;1;7;1;1;2;1;1;1;4;2;5;1;4;1,92307692307692;1
22;1;0;4;1;2;3;1;7;5;1;5;3;3;3;2;2;6;1;6;3,23076923076923;1
23;0;1;3;1;3;4;1;6;3;1;4;3;3;5;4;2;5;2;4;3;2
