subject;condition;instruct;as1;as2;as3;as4;as5;as6;as7;as8;as9;as10;as11;as12;as13;as14;as15;as16;as17;as18;as19;as20;as21;as22;as23;ni1;ni2;ni3;ni4;ni5;ni6;sh1;sh2;sh3;sh4;sex;religion;party;age_groups
1;0;1;5;4;2;1;4;1;5;6;1;1;2;2;1;6;7;1;1;2;1;1;1;1;7;5;1;5;1;3;1;7;4;7;7;2;1;3;2
2;1;1;5;5;6;3;5;4;5;2;6;4;5;5;4;6;5;4;5;6;5;3;6;1;5;4;2;3;1;4;2;2;4;3;2;2;1;2;1
3;0;0; ; ; ; ; ; ; ; ; ; ;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ; ; ;1;1;2;3
4;1;1;3;5;3;4;4;3;5;4;3;2;3;3;4;4;3;2;7;5;2;1;4;1;6;4;1;2;1;2;4;6;4;3;4;2;3;3;3
5;0;1;2;4;1;5;3;3;5;3;4;2;4;4; ;2;4;5;3;7;3;1;4;1;4;4;2;4;1;4;2;6;5;5;5;2;1; ;2
6;0;1;3;5;1;4;7;5;7;3;5;2;4;3;4;5;5;2;6;5;4;2;5;1;3;4;1;7;1;3;1;7;5;1;1;2;1;4;2
7;1;0;2;1;1;4;7;4;3;1;7;7;6;5;1;2;3;5;1;6;4;5;6;7;7;7;1;6;4;3;1;1;1;1;1;1;1;4;1
8;1;1;1;4;1;4;2;4;7;4;2;2;3;5;4;5;1;4;6;4;4;2;5;1;7;4;4;5;1;6;2;6;2;2;4;2;3;2;3
9;0;1;4;5;4;6;5;4;6;4;5;2;5;4;4;4;4;4;7;7;4;4;3;2;4;6;2;4;5;2;4;5;5;3;5;2;1; ;1
10;1;1;3;7;1;5;6;4;7;7;7;1;7;7;3;5;7;4;7;4;7;1;5;1;1;5;2;7;3;7;1;5;7;7;7;1;1; ;2
11;1;1;3;5;6;6;2;3;7;4;5;6;6;4;4;5;4;3;7;5;6;2;4;1;5;6;5;5;6;3;2;7;7;6;6;2;1;1;1
12;0;1;5;4;2;4;2;4;2;4;4;1;4;6;4;4;4;4;4;5;5;2;6;1;7; ;4;6;6;3;4;7;6;6;6;2;1; ;1
13;0;1;5;5;3;2;4;2;7;4;3;1;2;3;4;4;4;2;3;5;3;1;2;2;5;5;4;6;6;7;6;2;3;2;2;2;4;1;3
14;1;0;2;3;2;2;5;5;4;4;5;2;2;2;2;4;3;3;3;2;5;5;2;1;4;5;2;5;4;1;1;4;4;3;3;2;1;4;1
15;0;1;3;7;3;1;3;3;7;7;4;1;1;1;1;5;5;1;1;5;1;2;1;5;7;5;5;5;1;5;1;1;1;1;1;1;3;1;3
16;1;1;3;1;1;3;5;4;4;3;5;4;6;5;2;4;2;1;6;5;7;1;5;1;5;2;4;5;2;4;2;2;3;4;3;1;1;5;2
17;0;1;4;7;2;4;4;4;6;5;5;1;4;4;6;5;4;4;6;6;2;2;4;2;3;6;1;6;1;6;2;7;4;4;4;2;3;3;3
18;0;1;3;5;3;5;4;6;5;2;7;1;6;5;6;1;2;3;7;5;5;3;5;1;1;5;1;3;1;3;4;5;3;2;2;2;1;2;2
19;0;1;7;5;7;1;1;1;7;4;4;1;1;1;7;7;7;1;1;4;1;3;7;1;1;7;4;4;5;3;3;3;5;5;5;1;3;1;2
20;1;1;3;4;2;4;4;4;2;4;4;2;3;3;4;4;5;3;6;5;3;1;6;5;7;5;3;3;1;2;1;4;4;4;4;2;3;4;3
21;0;1;2; ;4;4;4;4;4;4;4;4;4;4;4;4;4;4;7;6;5;1;4;1;7;1;1;1;1;1;1;7;3;3;3; ; ; ; 
22;1;1;4;5;2;5;2;3;7;4;3;1;4;4;5;5;4;2;5;7;4;4;4;1;5;4;1;5;1;3;4;7;4;3;4;2;1; ;1
23;0;1;4;5;3;4;4;4;4;3;4;3;4;4;5;4;4;2;3;4;3; ; ;2;7;6;3;5;2;4;4;4;2;3;3;2;1; ;1
24;0;0;7;7;7;4;1;1;4;4;4;1;3;1;1;7;7;1;1;7;1;1;4;1;7;7;1;7;1;1;1;7;1;1;1;2;1;1;3
25;1;1;2;7;2;5;4;1;4;3;5;1;6;4;2;4;3;4;5;7;6;1;6;1;7;4;1;6;1;4;3;7;4;4;6;2;1;3;1
26;1;1;2;1;3;2;5;3;3;2;2;7;4;1;6;2;2;3;2;4;7;7;7;7;3;1;1;1;3;4;4;1;2;3;4;1;1;1;1
27;0;0;4;6;2;4;5;3;7;7;3;1;4;2;2;5;5;1;4;4;1;1;1;1;4;7;1;6;1;7;4;4;1;1;1;1;1; ;3
28;0;0;4;7;5;7;4;4;7;2;4;5;4;4;4;4;4;4;4;4;4;1;4;1;4;7;7;7;7;7;2;7;7;7;7;2;1;1;2
29;1;1;3;6;5;4;5;2;7;4;1;1;4;2;2;2;6;1;3;2;3;2;6;2;6;7;3;6;2;6;6;4;6;4;2;2;1;1;3
30;1;0;2;6;1;4;5;4;4;6;1;2;2;4;1;4;4;2;6;4;2;1;1;4;3;6;1;6;1;6;2;7;4;2;2;2;1;1;3
31;0;1;5;5;4;3;3;3;7;5;3;3;3;3;5;5;4;3;3;5;1;1;2;1;2;4;1;3;3;3;2;7;2;3;2;2;1; ;2
32;0;0;6;7;4;4;7;1;4;1;6;4;7;1;2;6;6;1;3;7;3;5;3;4;5;1;1;1;1;4;1;4;4;4;2;1;3;1;3
33;1;1;3;5;2;4;5;5;7;1;2;1;5;3;3;3;5;5;6;6;5;1;5;1;3;4;1;4;2;3;5;2;4;2;1;1;1;2;2
34;1;1;1;4;2;4;1;4;6;4;1;1;1;3;2;2;4;1;7;4;1;2;5;1;1;4;1;6;7;4;1;1;1;2;4;1;3;3;3
35;1;1;4;5;2;4;4;6;7;5;5;1;6;5;7;3;3;1;7;7;6;4;5;1;4;4;1;3;1;3;2;5;4;3;3;2;4;2;1
36;0;1;5;5;3;3;2;3;4;5;3;4;4;4;4;5;4;3;4;6;4;5;4;4;5;5;3;4;3;5;4;7;7;7;7;2;1;3;2
