CASE;SERIAL;subject;QUESTNNR;MODE;DO07_01;TIME001;TIME002;TIME004;TIME005;TIME_SUM;MAILSENT;FINISHED;LASTPAGE;MAXPAGE;MISSING;MISSREL;DEG_MISS;DEG_TIME;DEGRADE;sex;bildung;citizen;migr;empathy_1;empathy_2;empathy_3;empathy_4;empathy_5;empathy_6;empathy_7;empathy_8;empathy_9;empathy_10;empathy_11;empathy_12;empathy_13;empathy_14;empathy_15;empathy_16;empathy_17;empathy_18;empathy_19;empathy_20;empathy_21;empathy_22;empathy_23;empathy_24;empathy_25;empathy_26;support_1;support_2;support_3;support_4;support_5;support_6;ni_1;ni_2;ni_3;ni_4;ni_5;ni_6;ni_7;ni_8;ni_9;ni_10;ni_11;ni_12;ni_13;ni_14;ni_15;ni_16;group;empathy;distress;ni_a;ni_g;ZDO07_01;Zempathy;Zni_a;Zni_g;Zgroup;grnia;grnig;niag;grniag;age_groups;ZSco01;ZSco02;ZSco03;ZSco04
387; ;1;sek_AS_israel3;interview;10;37;8;57; ;102; ;1;4;4;0;0;0;12;12;2;3;1;0;6;1;6;4;1;7;6;5;5;5;7;6;5;5;5;5;5;4;5;1;4;3;5;1;2;1;2;6;2;6;2;6;5;5;3;1;2;1;1;2;5;5;3;1;2;1;6;2;1;4,16666666666667;5,5;3,375;2,25;-,697190382941823;,290514109754188;,127170758744121;-,348158836143124;1;,127170758744121;-,348158836143124;-,0442756233557911;-,0442756233557911;2;-,697190382941823;,290514109754188;,127170758744121;-,348158836143124
 ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;1;0;5;3;2;1;1;6;2;6;1;3;6;1;2;1;1;6;1;1;2;1;1;1;2;1;1;1;2;7;1;7;1;3;5;5;2;2;6;1;1;2;2;5;1;1;2;1;4;2;0;3;2,75;2,875;2,375; ;-,861466695398257;-,288253719820008;-,201091741565426;-1;,288253719820008;,201091741565426;,0579654425313176;-,0579654425313176;2; ;-,861466695398257;-,288253719820008;-,201091741565426
398; ;3;sek_AS_israel3;interview;50;20;10; ;219;114; ;1;5;5;0;0;0;8;8;1;4;1;0;7;1;7;4;1;7;7;7;7;7;7;7;7;4;1;7;7;1;4;1;1;5;4;4;4;7;7;7;1;7;1;4;6;4;6;3;6;3;2;7;7;5;1;3;3;5;7;4;1;4,5;6,625;4,75;4,25;2,10911052952841;,619651482654887;1,26958807479547;2,00491467710005;1;1,26958807479547;2,00491467710005;2,54541576502864;2,54541576502864;2;2,10911052952841;,619651482654887;1,26958807479547;2,00491467710005
397; ;4;sek_AS_israel3;interview;10;31;17;74; ;122; ;1;4;4;0;0;0;0;0;2;3;1;0;6;1;6;3;5;6;3;6;3;6;5;6;6;5;1;7;3;1;2;1;5;5;2;5;1;1;6;6;1;6;4;6;4;5;5;2;6;1;2;1;2;4;1;1;2;2;7;2;0;4,5;5;3,625;2,25;-,697190382941823;,619651482654887;,334882998026185;-,348158836143124;-1;-,334882998026185;,348158836143124;-,116592474836917;,116592474836917;2;-,697190382941823;,619651482654887;,334882998026185;-,348158836143124
 ; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;1;0;6;2;4;2;1;7;4;4;4;5;7;3;6;3;1;5;2;1;3;1;2;4;6;2;2;4;3;5;3;6;2;3;6;5;5;2;4;3;5;2;6;4;2;1;3;1;6;2;1;3,66666666666667;4,5;4,625;2,5; ;-,20319194959686;1,16573195515444;-,0540246469877272;1;1,16573195515444;-,0540246469877272;-,0629782573595318;-,0629782573595318;1; ;-,20319194959686;1,16573195515444;-,0540246469877272
391; ;6;sek_AS_israel3;interview;5;24;13;58; ;95; ;1;4;4;0;0;0;1;1;1;3;1;0;7;1;2;5;1;7;7;7;6;7;7;7;7;7;1;6;6;1;1;1;7;7;7;3;2;6;3;3;2;6;3;3;3;3;3;4;2;2;2;2;2;4;3;1;2;2;7;1;0;3,83333333333333;6,875;3;2,375;-1,0479779970006;-,0386232631465106;-,184397600178976;-,201091741565426;-1;,184397600178976;,201091741565426;,0370808345604753;-,0370808345604753;2;-1,0479779970006;-,0386232631465106;-,184397600178976;-,201091741565426
389; ;7;sek_AS_israel3;interview;10;54;14;103; ;171; ;1;4;4;0;0;0;0;0;1;3;1;0;5;2;4;5;1;4;4;5;4;6;4;5;6;2;1;7;3;1;3;1;3;2;5;1;1;4;5;5;1;6;1;5;5;3;1;1;4;1;1;1;2;2;1;1;2;1;1;2;1;3,5;4,5;2,125;1,5;-,697190382941823;-,367760636047209;-,911390437666201;-1,23056140360931;1;-,911390437666201;-1,23056140360931;1,12152189621063;1,12152189621063;1;-,697190382941823;-,367760636047209;-,911390437666201;-1,23056140360931
 ; ;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;4;1;0;4;1;3;2;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;6;3;2;4;3;1;6;4;6;4;5;1;5;2;4;7;4;3;3;1;7;1;0;2;1;5;2,875; ;-1,84887881410035;1,47730031407754;,387176636745368;-1;-1,47730031407754;-,387176636745368;,571976167067417;-,571976167067417;3; ;-1,84887881410035;1,47730031407754;,387176636745368
388; ;9;sek_AS_israel3;interview;5;49;21;96; ;166; ;1;4;4;0;0;0;0;0;1;4;1;9;4;4;5;3;4;5;5;5;5;5;5;3;5;3;4;5;4;4;4;4;4;3;4;3;3;4;5;6;4;6;2;5;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;4,16666666666667;4,5;1,25;1,125;-1,0479779970006;,290514109754188;-1,63838327515343;-1,67176268734241;1;-1,63838327515343;-1,67176268734241;2,73898802696735;2,73898802696735;3;-1,0479779970006;,290514109754188;-1,63838327515343;-1,67176268734241
 ; ;10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;1;0;5;4;4;2;2;7;1;5;3;3;6;3;6;3;1;3;4;1;1;1;3;4;3;1;1;3;2;6;3;6;1;6;5;3;1;1;1;1;1;1;1;3;1;1;1;1;2;1;0;4;3,75;1,625;1,5; ;,125945423303839;-1,32681491623033;-1,23056140360931;-1;1,32681491623033;1,23056140360931;1,63272722564617;-1,63272722564617;1; ;,125945423303839;-1,32681491623033;-1,23056140360931
