CASE;SERIAL;REF;QUESTNNR;MODE;DO07_01;TIME001;TIME002;TIME004;TIME005;TIME_SUM;MAILSENT;FINISHED;LASTPAGE;MAXPAGE;MISSING;MISSREL;DEG_MISS;DEG_TIME;DEGRADE
380; ;999;sek_AS_israel3;interview; ;12;1;8; ;21; ;1;4;4;67;67;197;295;492
386; ;999;sek_AS_israel3;interview;9;140;25;4; ;53; ;1;4;4;67;69;203;167;370
387; ;1;sek_AS_israel3;interview;10;37;8;57; ;102; ;1;4;4;0;0;0;12;12
388; ;9;sek_AS_israel3;interview;5;49;21;96; ;166; ;1;4;4;0;0;0;0;0
389; ;7;sek_AS_israel3;interview;10;54;14;103; ;171; ;1;4;4;0;0;0;0;0
391; ;6;sek_AS_israel3;interview;5;24;13;58; ;95; ;1;4;4;0;0;0;1;1
392; ;16;sek_AS_israel3;interview;10;25;21;50; ;96; ;1;4;4;0;0;0;4;4
394; ;18;sek_AS_israel3;interview;20;49;25;82; ;156; ;1;4;4;0;0;0;0;0
395; ;19;sek_AS_israel3;interview;25;26;19;63; ;108; ;1;4;4;0;0;0;0;0
396; ;15;sek_AS_israel3;interview;50;11;23; ;36;70; ;1;5;5;0;0;0;42;42
397; ;4;sek_AS_israel3;interview;10;31;17;74; ;122; ;1;4;4;0;0;0;0;0
398; ;3;sek_AS_israel3;interview;50;20;10; ;219;114; ;1;5;5;0;0;0;8;8
399; ;21;sek_AS_israel3;interview;0;54;17;152; ;223; ;1;4;4;0;0;0;0;0
400; ;22;sek_AS_israel3;interview;0;75;12;169; ;205; ;1;4;4;0;0;0;1;1
401; ;24;sek_AS_israel3;interview;25;20;34;171; ;204; ;1;4;4;0;0;0;3;3
402; ;26;sek_AS_israel3;interview;15;33;7;55; ;95; ;1;4;4;0;0;0;16;16
403; ;28;sek_AS_israel3;interview;25;20;23;157; ;200; ;1;4;4;0;0;0;3;3
404; ;29;sek_AS_israel3;interview;10;11;10;121; ;142; ;1;4;4;0;0;0;25;25
405; ;27;sek_AS_israel3;interview;25;22;18;24; ;64; ;1;4;4;0;0;0;28;28
406; ;30;sek_AS_israel3;interview;35;15;9;16; ;40; ;1;4;4;33;33;99;65;164
407; ;31;sek_AS_israel3;interview;10;21;17;24; ;62; ;1;4;4;33;33;99;28;127
408; ;36;sek_AS_israel3;interview;0;11;8;49; ;68; ;1;4;4;0;0;0;34;34
409; ;33;sek_AS_israel3;interview; ;13;18;102; ;133; ;1;4;4;33;31;93;14;107
413; ;38;sek_AS_israel3;interview; ;11;2;122; ;135; ;1;4;4;67;67;197;111;309
414; ;42;sek_AS_israel3;interview;10;21;19;117; ;157; ;1;4;4;0;0;0;2;2
415; ;41;sek_AS_israel3;interview;10;26;7;85; ;118; ;1;4;4;0;0;0;14;14
416; ;43;sek_AS_israel3;interview; ;4;2;1; ;7; ;1;4;4;100;100;296;342;638
420; ;52;sek_AS_israel3;interview;50;13;12; ;55;80; ;1;5;5;0;0;0;24;24
