"ID","est.ma","ci.lb.ma","ci.ub.ma","zval.ma","pval.ma","tau2","I2","lb.I2","ub.I2","Q","pval.Q","pval.right","pval.left","sd.sei","perc.sig"
1,-1.14,-1.325,-0.954,-12.061,0,0,0,0,0,10.61,0.389,0,10,0.151,90.909
2,0.522,0.456,0.597,-9.445,0,0,0,0,0,14.529,0.105,0,9,0.205,90
3,-1.078,-1.316,-0.84,-8.888,0,0,0,0,0,6.782,0.237,0,5,0.196,83.333
4,-0.586,-0.759,-0.413,-6.646,0,0,0,0,0,11.426,0.325,0,6,0.077,54.545
5,-0.64,-0.886,-0.394,-5.097,0,0,0,0,0,7.629,0.366,0,4,0.073,50
6,1.291,0.844,1.976,1.177,0.239,0,0,0,0,10.235,0.332,1,0,0.434,10
7,-1.256,-1.566,-0.945,-7.93,0,0,0,0,0,3.701,0.593,0,5,0.161,83.333
8,-0.427,-0.648,-0.205,-3.773,0,0,0,0,0,5.572,0.473,0,2,0.085,28.571
9,-0.682,-0.917,-0.447,-5.679,0,0,0,0,0,5.953,0.545,0,4,0.109,50
10,1.273,0.792,2.048,0.997,0.319,0,0,0,0,5.045,0.83,0,0,0.422,0
11,-0.117,-0.383,0.15,-0.858,0.391,0,0,0,0,6.149,0.407,0,0,0.075,0
12,-0.095,-0.387,0.197,-0.635,0.525,0,0,0,0,3.268,0.659,0,0,0.076,0
13,1.102,0.64,1.897,0.352,0.725,0,0,0,0,2.866,0.721,0,0,0.404,0
14,1.297,0.945,1.782,1.608,0.108,0,0,0,0,13.523,0.486,0,0,0.376,0
15,1.273,0.69,2.35,0.771,0.44,0,0,0,55.152,1.857,0.868,0,0,0.376,0
16,0.871,0.574,1.322,-0.649,0.517,0,0,0,0,6.497,0.483,0,0,0.356,0
17,1.452,1.148,1.836,3.113,0.002,0,0,0,0,27.955,0.467,2,0,0.393,6.897
18,1.123,0.668,1.89,0.438,0.661,0,0,0,0,2.898,0.822,0,0,0.532,0
19,-0.267,-0.563,0.03,-1.761,0.078,0,0,0,0,4.256,0.513,0,0,0.062,0
20,0.838,0.607,1.156,-1.078,0.281,0.057,36.907,0,97.611,7.925,0.16,0,1,0.279,16.667
21,1.355,0.982,1.869,1.851,0.064,0,0,0,0,5.394,0.863,1,0,0.538,9.091
22,-0.376,-0.642,-0.11,-2.771,0.006,0.062,42.706,0,90.443,13.963,0.083,0,3,0.182,33.333
23,0.755,0.596,0.957,-2.325,0.02,0.034,34.335,0,91.505,9.137,0.166,0,1,0.121,14.286
24,1.043,0.603,1.802,0.15,0.881,0,0,0,0,3.031,0.805,0,0,0.379,0
25,-1.152,-1.521,-0.782,-6.11,0,0.094,38.268,0,88.174,9.719,0.137,0,5,0.067,71.429
26,-1.021,-1.354,-0.689,-6.021,0,0,0,0,0,3.183,0.672,0,5,0.066,83.333
27,1.023,0.752,1.393,0.146,0.884,0,0,0,0,7.172,0.411,0,0,0.401,0
28,-0.295,-0.601,0.011,-1.888,0.059,0.053,32.44,0,90.238,8.881,0.18,0,1,0.105,14.286
29,1.19,0.928,1.525,1.373,0.17,0,0,0,0,2.278,0.892,0,0,0.601,0
30,0.821,0.664,0.978,10.266,0,0.001,2.831,0,83.307,6.175,0.404,6,0,0.08,85.714
31,0.688,0.501,0.875,7.211,0,0.017,28.453,0,91.029,8.386,0.211,5,0,0.107,71.429
32,-0.454,-0.654,-0.254,-4.443,0,0,0,0,63.344,6.877,0.737,0,3,0.076,27.273
33,-0.635,-0.833,-0.437,-6.287,0,0.061,37.137,0,69.409,25.452,0.062,0,6,0.087,35.294
34,-0.412,-0.618,-0.205,-3.913,0,0,0,0,74.544,5.157,0.641,0,4,0.087,50
35,-0.573,-0.813,-0.332,-4.665,0,0,0,0,64.05,5.584,0.589,0,2,0.096,25
36,-0.503,-0.74,-0.265,-4.147,0,0.049,35.563,0,78.728,13.967,0.123,0,4,0.108,40
37,-0.573,-0.728,-0.418,-7.262,0,0.003,3.053,0,63.332,12.378,0.416,0,5,0.108,38.462
38,-0.551,-0.743,-0.359,-5.622,0,0.059,35.739,0,66.942,26.455,0.067,0,5,0.085,27.778
39,-0.295,-0.552,-0.037,-2.246,0.025,0,0,0,44.756,1.543,0.908,0,0,0.058,0
40,-0.351,-0.574,-0.127,-3.073,0.002,0,0,0,88.411,4.776,0.444,0,3,0.088,50
41,-0.378,-0.687,-0.07,-2.402,0.016,0,0,0,0,10.078,0.073,0,1,0.114,16.667
42,-0.839,-1.065,-0.614,-7.286,0,0,0,0,0,4.392,0.734,0,3,0.135,37.5
43,0.259,0.018,0.5,2.105,0.035,0.019,18.205,0,85.748,7.335,0.291,1,0,0.085,14.286
44,0.153,-0.084,0.39,1.264,0.206,0.016,16.074,0,86.984,7.149,0.307,0,0,0.087,0
45,0.678,0.269,1.087,3.253,0.001,0,0,0,95.166,3.401,0.638,1,0,0.498,16.667
46,1.647,1.346,1.948,10.726,0,0,0,0,0,12.184,0.143,9,0,0.085,100
47,1.284,1.057,1.511,11.08,0,0,0,0,0,11.39,0.181,8,0,0.041,88.889
48,1.683,1.362,2.004,10.279,0,0,0,0,0,11.786,0.108,8,0,0.089,100
49,1.286,1.049,1.523,10.633,0,0,0,0,0,11.386,0.123,7,0,0.039,87.5
50,1.519,1.188,1.849,9.001,0,0,0,0,0,8.783,0.186,7,0,0.088,100
51,1.183,0.932,1.433,9.263,0,0,0,0,0,7.725,0.259,6,0,0.041,85.714
52,1.541,1.184,1.899,8.446,0,0,0,0,0,8.677,0.123,6,0,0.096,100
53,1.174,0.91,1.438,8.725,0,0,0,0,0,7.685,0.174,5,0,0.035,83.333
54,-0.253,-0.456,-0.05,-2.447,0.014,0.054,49.114,0,87.495,21.617,0.028,0,3,0.115,25
55,-0.878,-1.209,-0.546,-5.193,0,0.068,40.594,0,95.487,8.417,0.135,0,5,0.113,83.333
56,-0.417,-0.612,-0.223,-4.207,0,0.059,44.273,0,82.829,25.122,0.033,0,6,0.091,40
57,-0.161,-0.379,0.057,-1.448,0.148,0.035,44.283,0,89.224,10.769,0.096,0,2,0.089,28.571
58,-0.11,-0.314,0.094,-1.058,0.29,0.02,33.519,0,83.593,7.521,0.185,0,1,0.096,16.667
59,-0.445,-0.631,-0.259,-4.687,0,0.059,45.145,0,82.086,27.345,0.026,0,7,0.091,43.75
60,-0.207,-0.382,-0.033,-2.331,0.02,0.025,32.552,0,75.094,14.826,0.139,0,2,0.111,18.182
61,-0.709,-1.018,-0.4,-4.496,0,0.062,42.516,0,93.542,8.698,0.122,0,4,0.072,66.667
63,0.229,-0.033,0.491,1.716,0.086,0,0,0,0,7.574,0.372,0,0,0.064,0
64,0.624,0.278,0.969,3.542,0,0.088,48.061,0,92.493,9.627,0.087,3,0,0.054,50
65,0.051,-0.519,0.621,0.176,0.86,0,0,0,78.68,3.865,0.695,0,0,0.42,0
66,0.267,-0.28,0.815,0.957,0.339,0,0,0,15.19,2.459,0.964,0,0,0.512,0
67,-1.271,-1.542,-0.999,-9.178,0,0.031,23.74,0,85.659,7.868,0.248,0,7,0.098,100
68,-1.197,-1.397,-0.997,-11.728,0,0,0,0,68.52,9.55,0.481,0,10,0.097,90.909
