"ID","ksig","est.pu","ci.lb.pu","ci.ub.pu","L.0.pu","pval.pu","zval.pu","pval.pb.pu","est.pu.all","ci.lb.pu.all","ci.ub.pu.all","I2","side"
1,10,-1.125,-1.373,-0.905,-4.791,0,0.136,0.446,-1.125,-1.373,-0.905,0,"left"
2,9,0.565,0.449,0.811,-2.644,0.008,0.627,0.265,0.565,0.449,0.811,0,"left"
3,5,-1.03,-1.367,-0.708,-3.165,0.002,0.369,0.356,-1.03,-1.367,-0.708,0,"left"
4,6,-0.589,-0.87,-0.099,-2.204,0.027,-0.015,0.506,-0.589,-0.87,-0.099,0,"left"
5,4,-0.668,-1.228,0.119,-1.731,0.083,-0.094,0.538,-0.668,-1.228,0.119,0,"left"
6,1,0,NA,NA,1.65,0.099,1.656,0.049,0,0,0.8,0,"right"
7,5,-1.221,-1.587,-0.649,-2.835,0.005,0.179,0.429,-1.221,-1.587,-0.649,0,"left"
8,2,-0.336,-1.298,1.257,-0.624,0.533,0.191,0.424,-0.336,-1.298,1.257,0,"left"
9,4,-0.587,-1.18,1.141,-1.238,0.216,0.321,0.374,-0.587,-1.18,1.141,0,"left"
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE"
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE"
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE"
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE"
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE"
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE"
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE"
17,2,0,NA,NA,0.911,0.362,1.068,0.143,0.049,0,9.099,0,"right"
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE"
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE"
20,1,0.604,0.022,3549.047,-0.254,0.8,-0.181,0.572,0.604,0.022,3549.047,36.907,"left"
21,1,0,NA,NA,0.532,0.595,0.686,0.246,0.31,0,12.217,0,"right"
22,3,-0.326,-1.039,2.099,-0.616,0.538,-0.073,0.529,-0.326,-1.039,2.099,42.706,"left"
23,1,0.708,0.17,25.401,-0.399,0.69,-0.124,0.549,0.708,0.17,25.401,34.335,"left"
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE"
25,5,-1.322,-1.706,-0.906,-3.674,0,-0.82,0.794,-1.322,-1.706,-0.906,38.268,"left"
26,5,-0.193,-1.142,1.953,-0.273,0.785,1.595,0.055,-0.193,-1.142,1.953,0,"left"
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE"
28,1,0,NA,NA,1.288,0.198,1.441,0.075,2.938,-0.784,18.314,32.44,"left"
29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE"
30,6,0.747,0.45,0.951,-2.89,0.004,0.77,0.221,0.747,0.45,0.951,2.831,"right"
31,5,0.769,0.554,1.052,-3.743,0,-0.911,0.819,0.769,0.554,1.052,28.453,"right"
32,3,-0.215,-1.245,2.674,-0.305,0.76,0.394,0.347,-0.215,-1.245,2.674,0,"left"
33,6,-0.778,-1.267,-0.11,-2.132,0.033,-0.449,0.673,-0.778,-1.267,-0.11,37.137,"left"
34,4,0,NA,NA,0.826,0.409,2.004,0.023,0.343,-0.389,1.927,0,"left"
35,2,-0.427,-1.192,26.291,-0.128,0.898,0.132,0.448,-0.427,-1.192,26.291,0,"left"
36,4,-0.567,-1.02,0.639,-1.352,0.177,-0.272,0.607,-0.567,-1.02,0.639,35.563,"left"
37,5,-0.673,-0.937,-0.341,-2.546,0.011,-0.763,0.777,-0.673,-0.937,-0.341,3.053,"left"
38,5,-0.618,-1.262,0.27,-1.574,0.116,-0.133,0.553,-0.618,-1.262,0.27,35.739,"left"
39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE"
40,3,0,NA,NA,0.929,0.353,1.724,0.042,0.501,-0.45,3.241,0,"left"
41,1,-1.143,-2.288,0.852,-1.384,0.166,-1.109,0.866,-1.143,-2.288,0.852,0,"left"
42,3,-0.984,-1.477,-0.662,-2.823,0.005,-1.017,0.845,-0.984,-1.477,-0.662,0,"left"
43,1,0.62,-0.319,1.183,-1.465,0.143,-1.084,0.861,0.62,-0.319,1.183,18.205,"right"
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.074,"FALSE"
45,1,0,NA,NA,0.905,0.366,1.012,0.156,-6.584,-51.193,5.438,0,"right"
46,9,1.769,1.3,2.174,-4.395,0,-0.541,0.706,1.769,1.3,2.174,0,"right"
47,8,1.414,1.125,1.693,-4.804,0,-0.906,0.817,1.414,1.125,1.693,0,"right"
48,8,1.861,1.341,2.266,-4.093,0,-0.744,0.772,1.861,1.341,2.266,0,"right"
49,7,1.452,1.141,1.748,-4.529,0,-1.072,0.858,1.452,1.141,1.748,0,"right"
50,7,1.561,1.052,2.057,-3.676,0,-0.168,0.567,1.561,1.052,2.057,0,"right"
51,6,1.285,0.974,1.604,-4.134,0,-0.666,0.747,1.285,0.974,1.604,0,"right"
52,6,1.644,1.028,2.182,-3.313,0.001,-0.341,0.633,1.644,1.028,2.182,0,"right"
53,5,1.309,0.968,1.667,-3.81,0,-0.795,0.787,1.309,0.968,1.667,0,"right"
54,3,-0.631,-1.256,-0.308,-2.84,0.005,-2.287,0.989,-0.631,-1.256,-0.308,49.114,"left"
55,5,-0.846,-1.26,-0.448,-2.978,0.003,-0.014,0.506,-0.846,-1.26,-0.448,40.594,"left"
56,6,-0.668,-1.006,-0.354,-3.336,0.001,-1.607,0.946,-0.668,-1.006,-0.354,44.273,"left"
57,2,-0.342,-0.712,0.359,-1.504,0.133,-1.002,0.842,-0.342,-0.712,0.359,44.283,"left"
58,1,-0.357,-0.613,0.017,-1.631,0.103,-1.359,0.913,-0.357,-0.613,0.017,33.519,"left"
59,7,-0.684,-0.952,-0.406,-3.723,0,-1.75,0.96,-0.684,-0.952,-0.406,45.145,"left"
60,2,-0.477,-0.91,-0.204,-2.341,0.019,-1.85,0.968,-0.477,-0.91,-0.204,32.552,"left"
61,4,-0.649,-1.315,-0.127,-2.22,0.026,0.076,0.47,-0.649,-1.315,-0.127,42.516,"left"
63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE"
64,3,0.746,0.15,1.451,-2.21,0.027,-0.541,0.706,0.746,0.15,1.451,48.061,"right"
65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE"
66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE"
67,7,-1.294,-1.595,-1.009,-4.422,0,-0.392,0.653,-1.294,-1.595,-1.009,23.74,"left"
68,10,-1.202,-1.457,-0.931,-4.805,0,-0.037,0.515,-1.202,-1.457,-0.931,0,"left"
69,8,-1.107,-1.359,-0.811,-4.178,0,0.193,0.423,-1.107,-1.359,-0.811,0,"left"
70,7,-27.603,-32.55,-21.874,-4.444,0,0.109,0.456,-27.603,-32.55,-21.874,0,"left"
71,6,-26.295,-31.135,-20.181,-4.096,0,0.327,0.372,-26.295,-31.135,-20.181,0,"left"
72,6,-6.928,-9.319,-2.525,-2.39,0.017,1.049,0.147,-6.928,-9.319,-2.525,0,"left"
73,6,-6.928,-9.319,-2.525,-2.39,0.017,0.722,0.235,-6.928,-9.319,-2.525,0,"left"
74,5,-7.06,-9.608,-1.334,-2.1,0.036,0.74,0.23,-7.06,-9.608,-1.334,0,"left"
75,7,-6.016,-8.628,-2.758,-2.785,0.005,0.375,0.354,-6.016,-8.628,-2.758,23.227,"left"
76,7,-6.016,-8.628,-2.758,-2.785,0.005,0.169,0.433,-6.016,-8.628,-2.758,6.387,"left"
77,1,0,NA,NA,1.515,0.13,1.501,0.067,0,0,1.906,40.454,"right"
78,2,1.775,0.597,2.596,-2.199,0.028,-1.87,0.969,1.775,0.597,2.596,28.723,"right"
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE"
80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE"
81,2,0.911,-0.578,1.572,-1.483,0.138,-0.982,0.837,0.911,-0.578,1.572,0,"right"
82,2,0.662,-0.288,1.291,-1.576,0.115,-0.807,0.79,0.662,-0.288,1.291,0,"right"
83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE"
84,4,0.616,-0.35,1.2,-1.437,0.151,-0.28,0.61,0.616,-0.35,1.2,0,"right"
85,10,0.696,0.254,1.03,-2.65,0.008,-0.282,0.611,0.696,0.254,1.03,0,"right"
86,5,0.256,-0.902,0.888,-0.591,0.555,-0.168,0.567,0.256,-0.902,0.888,48.793,"right"
87,3,0.206,-1.275,0.896,-0.429,0.668,0.927,0.177,0.206,-1.275,0.896,0,"right"
88,2,0.375,-3.246,1.592,-0.409,0.683,-0.295,0.616,0.375,-3.246,1.592,39.429,"right"
89,4,0.885,-0.276,1.455,-1.716,0.086,0.03,0.488,0.885,-0.276,1.455,0,"right"
90,5,1.04,-0.185,1.433,-1.821,0.069,-0.236,0.593,1.04,-0.185,1.433,0,"right"
91,6,1.164,0.97,1.658,-4.22,0,-0.75,0.773,1.164,0.97,1.658,0,"right"
92,6,1.057,0.885,1.353,-4.174,0,-0.651,0.742,1.057,0.885,1.353,0,"right"
93,3,-0.564,-0.902,-0.057,-2.049,0.04,-0.991,0.839,-0.564,-0.902,-0.057,22.131,"left"
94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE"
97,10,-0.949,-1.22,-0.613,-3.786,0,-1.091,0.862,-0.949,-1.22,-0.613,43.331,"left"
98,1,-1.194,-2.303,0.678,-1.447,0.148,-1.303,0.904,-1.194,-2.303,0.678,48.125,"left"
103,1,-0.455,-1.296,1.364,-0.855,0.392,-0.777,0.781,-0.455,-1.296,1.364,48.468,"left"
105,6,-0.864,-1.285,-0.487,-3.327,0.001,-1.251,0.895,-0.864,-1.285,-0.487,47.863,"left"
106,7,1.89,1.56,2.256,-4.578,0,-0.397,0.654,1.89,1.56,2.256,22.577,"right"
