"ID","est.pp","se.pp","tval.pp","pval.pp","ci.lb.pp","ci.ub.pp","method"
1,-1.034,0.157,-2.871,0.018,-1.388,-0.68,"PEESE"
2,0.578,0.085,-3.016,0.017,0.476,0.703,"PEESE"
3,-1.014,0.212,-2.324,0.081,-1.603,-0.426,"PEESE"
4,-0.642,0.211,-2.03,0.073,-1.119,-0.164,"PEESE"
5,0.837,0.447,1.874,0.11,-0.256,1.93,"PET"
6,1,0.464,0,1,0.343,2.916,"PET"
7,-1.401,0.261,-2.939,0.042,-2.127,-0.676,"PEESE"
8,0.425,0.43,0.988,0.369,-0.68,1.53,"PET"
9,-0.12,0.365,-0.329,0.753,-1.013,0.773,"PET"
10,0.761,0.348,-0.787,0.454,0.341,1.697,"PET"
11,0.079,0.743,0.106,0.92,-1.831,1.989,"PET"
12,0.068,0.676,0.101,0.925,-1.809,1.945,"PET"
13,0.707,0.536,-0.646,0.553,0.16,3.129,"PET"
14,0.973,0.294,-0.091,0.929,0.516,1.838,"PET"
15,1.662,0.261,2.127,0.1,0.805,3.433,"PEESE"
16,0.613,0.445,-1.101,0.313,0.206,1.821,"PET"
17,1.116,0.241,0.457,0.651,0.681,1.83,"PET"
18,0.758,0.451,-0.614,0.566,0.238,2.414,"PET"
19,-0.333,0.907,-0.367,0.732,-2.851,2.186,"PET"
20,1.559,0.372,1.192,0.299,0.554,4.383,"PET"
21,1.365,0.261,1.195,0.263,0.757,2.461,"PET"
22,0.008,0.205,0.041,0.969,-0.475,0.492,"PET"
23,1.53,0.266,1.599,0.171,0.772,3.03,"PET"
24,1.64,0.452,1.094,0.324,0.513,5.247,"PET"
25,-1.469,1.295,-1.134,0.308,-4.799,1.861,"PET"
26,-1.488,0.44,-2.532,0.065,-2.708,-0.267,"PEESE"
27,1.125,0.32,0.369,0.725,0.514,2.465,"PET"
28,-0.337,0.408,-0.824,0.447,-1.386,0.713,"PET"
29,1.096,0.145,0.635,0.553,0.756,1.59,"PET"
30,0.84,0.147,3.228,0.023,0.463,1.217,"PEESE"
31,0.556,0.126,1.817,0.129,0.231,0.881,"PEESE"
32,-0.071,0.393,-0.18,0.861,-0.96,0.819,"PET"
33,-0.717,0.214,-2.206,0.043,-1.173,-0.26,"PEESE"
34,-0.41,0.307,-1.336,0.23,-1.161,0.341,"PET"
35,-0.677,0.255,-1.755,0.13,-1.301,-0.053,"PEESE"
36,-0.502,0.391,-1.286,0.234,-1.403,0.399,"PET"
37,-0.629,0.142,-2.724,0.02,-0.941,-0.318,"PEESE"
38,-0.701,0.209,-2.491,0.024,-1.144,-0.258,"PEESE"
39,-0.586,0.196,-2.27,0.086,-1.13,-0.043,"PEESE"
40,-0.308,0.397,-0.776,0.481,-1.409,0.793,"PET"
41,1.074,0.782,1.373,0.242,-1.098,3.245,"PET"
42,-0.805,0.155,-3.205,0.018,-1.183,-0.426,"PEESE"
43,0.593,0.255,1.812,0.13,-0.062,1.248,"PEESE"
44,0.44,0.591,0.744,0.49,-1.079,1.958,"PET"
45,-0.1,0.244,-0.409,0.704,-0.777,0.578,"PET"
46,-0.595,0.654,-0.91,0.393,-2.141,0.952,"PET"
47,-1.117,0.876,-1.275,0.243,-3.189,0.955,"PET"
48,-0.548,0.689,-0.795,0.457,-2.235,1.138,"PET"
49,-1.656,0.876,-1.89,0.108,-3.799,0.487,"PET"
50,-0.481,0.737,-0.652,0.543,-2.376,1.414,"PET"
51,-0.735,1.095,-0.671,0.532,-3.55,2.08,"PET"
52,-0.462,0.808,-0.571,0.598,-2.706,1.783,"PET"
53,-1.509,1.312,-1.15,0.314,-5.152,2.134,"PET"
54,-0.172,0.217,-0.792,0.447,-0.657,0.312,"PET"
55,0.319,0.543,0.587,0.589,-1.189,1.826,"PET"
56,-0.31,0.243,-1.279,0.223,-0.834,0.214,"PET"
57,-0.265,0.264,-1.004,0.362,-0.943,0.413,"PET"
58,-0.233,0.138,-1.583,0.189,-0.618,0.151,"PEESE"
59,-0.389,0.15,-1.463,0.166,-0.71,-0.068,"PEESE"
60,-0.247,0.119,-1.423,0.188,-0.516,0.023,"PEESE"
61,0.353,0.546,0.647,0.553,-1.164,1.87,"PET"
63,0.573,0.923,0.621,0.558,-1.686,2.833,"PET"
64,-0.017,1.123,-0.015,0.989,-3.134,3.1,"PET"
65,-0.56,0.534,-1.05,0.342,-1.933,0.812,"PET"
66,0.442,0.213,1.804,0.114,-0.061,0.945,"PEESE"
67,-0.529,0.381,-1.39,0.223,-1.508,0.45,"PET"
68,-1.009,0.195,-2.475,0.035,-1.45,-0.567,"PEESE"
69,-1.091,0.177,-3.294,0.013,-1.51,-0.673,"PEESE"
70,-26.099,4.792,-2.828,0.037,-38.418,-13.781,"PEESE"
71,-32.552,4.788,-4.443,0.011,-45.845,-19.259,"PEESE"
72,-7.794,1.23,-3.194,0.033,-11.209,-4.379,"PEESE"
73,-8.974,0.947,-5.461,0.001,-11.214,-6.734,"PEESE"
74,-8.679,1.02,-4.648,0.006,-11.301,-6.058,"PEESE"
75,-1.974,1.963,-1.005,0.361,-7.021,3.073,"PET"
76,-6.263,1.212,-2.766,0.022,-9.005,-3.522,"PEESE"
77,0.997,0.359,-0.01,0.993,0.414,2.4,"PET"
78,-0.362,0.446,-0.813,0.443,-1.416,0.691,"PET"
79,-0.102,0.05,-1.858,0.09,-0.211,0.008,"PEESE"
80,0.061,0.017,4.462,0.001,0.022,0.099,"PEESE"
81,-0.182,0.502,-0.362,0.73,-1.411,1.047,"PET"
82,1.507,1.285,1.173,0.294,-1.796,4.811,"PET"
83,0.759,0.431,1.776,0.136,-0.35,1.867,"PEESE"
84,-0.107,0.29,-0.369,0.716,-0.711,0.497,"PET"
85,0.024,0.409,0.057,0.955,-0.839,0.886,"PET"
86,-0.248,0.097,-2.55,0.023,-0.457,-0.039,"PET"
87,-0.951,0.685,-1.389,0.237,-2.854,0.951,"PET"
88,-0.185,0.122,-1.51,0.17,-0.467,0.098,"PET"
89,3.125,2.29,1.365,0.244,-3.233,9.482,"PET"
90,0.997,0.431,1.481,0.199,-0.112,2.106,"PEESE"
91,0.906,0.051,5.423,0.006,0.766,1.046,"PEESE"
92,0.889,0.12,3.429,0.019,0.58,1.197,"PEESE"
93,0.336,0.405,0.829,0.434,-0.622,1.293,"PET"
94,0.104,0.054,1.737,0.133,-0.027,0.236,"PEESE"
97,-0.179,0.562,-0.318,0.755,-1.377,1.019,"PET"
98,0.325,0.899,0.361,0.733,-1.986,2.635,"PET"
103,0.232,0.882,0.263,0.806,-2.218,2.682,"PET"
105,0.076,0.469,0.163,0.874,-0.985,1.138,"PET"
106,0.363,0.57,0.637,0.552,-1.102,1.828,"PET"
