"ID","A","pval.tes","O","E","k"
1,0.47,0.493,10,9.15,11
2,4.866,0.027,9,5.532,10
3,0.149,0.7,5,4.601,6
4,0.191,0.662,6,5.277,11
5,0.169,0.681,4,3.425,8
6,0.421,0.516,1,0.537,10
7,0.034,0.854,5,4.821,6
8,0.003,0.959,2,2.063,7
9,0.006,0.937,4,3.889,8
10,0.506,0.477,0,0.482,10
11,0.373,0.541,0,0.354,7
12,0.278,0.598,0,0.265,6
13,0.211,0.646,0,0.204,6
14,0.934,0.334,0,0.879,15
15,0.307,0.579,0,0.292,6
16,0.336,0.562,0,0.323,8
17,0.058,0.809,2,2.356,29
18,0.258,0.612,0,0.249,7
19,0.72,0.396,0,0.643,6
20,0.832,0.362,1,0.426,6
21,0.026,0.873,1,0.858,11
22,1.107,0.293,3,1.751,9
23,0.027,0.869,1,1.162,7
24,0.203,0.652,0,0.197,7
25,0.499,0.48,5,5.722,7
26,0.783,0.376,5,3.975,6
27,0.228,0.633,0,0.222,8
28,0.016,0.9,1,1.122,7
29,0.539,0.463,0,0.5,7
30,0.005,0.944,6,6.063,7
31,0.047,0.829,5,5.247,7
32,0.003,0.955,3,2.917,11
33,1.506,0.22,6,8.53,17
34,2.106,0.147,4,2.174,8
35,0.473,0.492,2,2.937,8
36,0.006,0.936,4,3.877,10
37,0.638,0.424,5,6.44,13
38,1.392,0.238,5,7.466,18
39,1.044,0.307,0,0.89,6
40,2.335,0.126,3,1.412,6
41,0,0.983,1,0.98,6
42,1.463,0.226,3,4.686,8
43,0.003,0.959,1,1.049,7
44,0.584,0.445,0,0.539,7
45,0.258,0.612,1,1.543,6
46,0.918,0.338,9,8.167,9
47,0.498,0.48,8,8.49,9
48,0.781,0.377,8,7.288,8
49,0.979,0.322,7,7.606,8
50,0.959,0.327,7,6.157,7
51,0.4,0.527,6,6.45,7
52,0.824,0.364,6,5.275,6
53,0.957,0.328,5,5.599,6
54,0.355,0.551,3,2.201,12
55,0.347,0.556,5,4.356,6
56,0.656,0.418,6,4.557,15
57,1.028,0.311,2,1.044,7
58,0.141,0.708,1,0.704,6
59,0.614,0.433,7,5.51,16
60,0.024,0.877,2,1.81,11
61,0.076,0.783,4,3.672,6
63,0.769,0.38,0,0.702,8
64,0,0.999,3,3.001,6
65,0.208,0.649,0,0.202,7
66,0.466,0.495,0,0.443,9
67,0.731,0.393,7,6.339,7
68,0.313,0.576,10,9.335,11
69,0.15,0.698,8,7.576,9
70,0.43,0.512,7,6.595,7
71,0.186,0.667,6,5.82,6
72,1.363,0.243,6,4.889,6
73,0.005,0.942,6,5.896,9
74,0.011,0.916,5,4.871,7
75,2.836,0.092,7,4.982,7
76,0.454,0.5,7,5.885,11
77,0.295,0.587,0,0.285,8
78,0.459,0.498,2,2.955,9
79,0.56,0.454,0,0.537,13
80,0.411,0.521,0,0.399,13
81,0.126,0.723,2,2.463,8
82,0.437,0.508,2,1.316,7
83,0.383,0.536,0,0.363,7
84,2.063,0.151,4,7.193,23
85,0.972,0.324,10,7.883,19
86,2.921,0.087,5,2.513,16
87,0.015,0.901,3,2.848,6
88,1.177,0.278,2,0.98,10
89,0.038,0.846,4,3.77,6
90,0.021,0.886,5,4.824,7
91,1.343,0.247,6,4.903,6
92,0.06,0.807,6,5.752,7
93,0.006,0.94,3,3.107,9
94,0.602,0.438,0,0.56,8
97,0.042,0.838,10,10.412,17
98,0.103,0.748,1,0.739,7
103,2.865,0.091,1,0.22,6
105,0.363,0.547,6,5.005,11
106,0.096,0.757,7,6.906,7
