"ID","est.trim","ci.lb.trim","ci.ub.trim","zval.trim","pval.trim","imp.k"
1,-1.14,-1.325,-0.954,-12.061,0,0
2,0.547,0.48,0.623,-9.065,0,4
3,-1.078,-1.316,-0.84,-8.888,0,0
4,-0.586,-0.759,-0.413,-6.646,0,0
5,-0.47,-0.69,-0.25,-4.183,0,3
6,1.291,0.844,1.976,1.177,0.239,0
7,-1.288,-1.591,-0.985,-8.327,0,1
8,-0.383,-0.599,-0.168,-3.483,0,1
9,-0.559,-0.772,-0.346,-5.143,0,3
10,1.179,0.742,1.874,0.698,0.485,2
11,-0.117,-0.383,0.15,-0.858,0.391,0
12,-0.095,-0.387,0.197,-0.635,0.525,0
13,1.022,0.605,1.727,0.082,0.935,1
14,1.163,0.859,1.574,0.977,0.329,4
15,1.665,1.002,2.768,1.967,0.049,3
16,0.801,0.535,1.198,-1.081,0.28,2
17,1.317,1.05,1.651,2.384,0.017,4
18,1.05,0.634,1.738,0.19,0.849,1
19,-0.267,-0.563,0.03,-1.761,0.078,0
20,0.838,0.607,1.156,-1.078,0.281,0
21,1.384,1.006,1.904,2,0.046,2
22,-0.264,-0.555,0.027,-1.776,0.076,2
23,0.829,0.636,1.081,-1.386,0.166,2
24,1.19,0.71,1.996,0.661,0.509,2
25,-1.152,-1.521,-0.782,-6.11,0,0
26,-1.021,-1.354,-0.689,-6.021,0,0
27,1.023,0.752,1.393,0.146,0.884,0
28,-0.295,-0.601,0.011,-1.888,0.059,0
29,1.19,0.928,1.525,1.373,0.17,0
30,0.863,0.717,1.009,11.593,0,2
31,0.659,0.457,0.861,6.397,0,1
32,-0.454,-0.654,-0.254,-4.443,0,0
33,-0.635,-0.833,-0.437,-6.287,0,0
34,-0.412,-0.618,-0.205,-3.913,0,0
35,-0.573,-0.813,-0.332,-4.665,0,0
36,-0.503,-0.74,-0.265,-4.147,0,0
37,-0.695,-0.87,-0.52,-7.79,0,4
38,-0.6,-0.787,-0.414,-6.315,0,2
39,-0.402,-0.621,-0.183,-3.598,0,3
40,-0.351,-0.574,-0.127,-3.073,0.002,0
41,-0.212,-0.497,0.072,-1.462,0.144,2
42,-0.839,-1.065,-0.614,-7.286,0,0
43,0.302,0.048,0.556,2.327,0.02,1
44,0.189,-0.05,0.429,1.549,0.121,1
45,0.603,0.214,0.991,3.039,0.002,2
46,1.339,1.078,1.6,10.046,0,4
47,1.165,0.957,1.373,10.971,0,2
48,1.426,1.144,1.708,9.914,0,3
49,1.154,0.938,1.37,10.488,0,2
50,1.339,1.036,1.642,8.651,0,2
51,1.183,0.932,1.433,9.263,0,0
52,1.169,0.865,1.473,7.531,0,3
53,1.085,0.838,1.332,8.597,0,1
54,-0.253,-0.456,-0.05,-2.447,0.014,0
55,-0.878,-1.209,-0.546,-5.193,0,0
56,-0.417,-0.612,-0.223,-4.207,0,0
57,-0.161,-0.379,0.057,-1.448,0.148,0
58,-0.306,-0.548,-0.064,-2.481,0.013,3
59,-0.445,-0.631,-0.259,-4.687,0,0
60,-0.368,-0.568,-0.169,-3.62,0,4
61,-0.709,-1.018,-0.4,-4.496,0,0
63,0.229,-0.033,0.491,1.716,0.086,0
64,0.624,0.278,0.969,3.542,0,0
65,-0.085,-0.63,0.46,-0.304,0.761,2
66,0.361,-0.168,0.89,1.337,0.181,2
67,-1.109,-1.395,-0.823,-7.604,0,3
68,-1.117,-1.342,-0.891,-9.712,0,2
69,-1.132,-1.343,-0.921,-10.521,0,0
70,-27.878,-32.682,-23.075,-11.375,0,0
71,-30.024,-34.252,-25.796,-13.917,0,3
72,-8.21,-10.249,-6.171,-7.891,0,0
73,-8.036,-9.891,-6.18,-8.489,0,1
74,-8.017,-10.07,-5.964,-7.655,0,0
75,-5.862,-7.79,-3.934,-5.958,0,3
76,-6.378,-7.992,-4.764,-7.744,0,0
77,1.089,0.731,1.621,0.418,0.676,2
78,0.693,0.358,1.028,4.059,0,0
79,-0.105,-0.32,0.109,-0.961,0.337,0
80,0.056,-0.115,0.226,0.642,0.521,6
81,0.426,0.226,0.626,4.173,0,0
82,0.392,0.122,0.662,2.845,0.004,0
83,0.275,0.02,0.529,2.117,0.034,2
84,0.421,0.289,0.554,6.242,0,6
85,0.593,0.434,0.752,7.307,0,2
86,0.13,-0.038,0.299,1.52,0.128,6
87,0.5,0.281,0.72,4.463,0,1
88,0.103,-0.078,0.285,1.115,0.265,2
89,0.894,0.584,1.205,5.644,0,0
90,0.988,0.714,1.262,7.073,0,0
91,1.023,0.855,1.191,11.924,0,2
92,1.001,0.837,1.166,11.935,0,0
93,-0.352,-0.534,-0.171,-3.805,0,1
94,0.108,0,0.216,1.963,0.05,2
97,-0.801,-1.017,-0.585,-7.263,0,0
98,-0.264,-0.625,0.097,-1.432,0.152,0
103,-0.074,-0.433,0.286,-0.402,0.688,0
105,-0.687,-0.971,-0.403,-4.736,0,0
106,1.789,1.464,2.114,10.8,0,1
