"ID","tau","pval.begg"
1,-0.236,0.359
2,-0.644,0.009
3,-0.067,1
4,-0.018,1
5,-0.429,0.179
6,0.022,1
7,0.333,0.469
8,-0.333,0.381
9,-0.286,0.399
10,0.378,0.156
11,-0.048,1
12,-0.333,0.469
13,-0.067,1
14,-0.238,0.239
15,-0.067,1
16,0.143,0.72
17,-0.086,0.511
18,-0.048,1
19,0.2,0.719
20,-0.467,0.272
21,-0.055,0.879
22,-0.389,0.18
23,-0.524,0.136
24,0.143,0.773
25,0.2,0.539
26,0.2,0.719
27,-0.214,0.548
28,0.048,1
29,0.238,0.562
30,-0.333,0.381
31,0.238,0.562
32,-0.2,0.445
33,-0.088,0.655
34,-0.214,0.548
35,-0.143,0.72
36,-0.2,0.484
37,0.103,0.675
38,-0.079,0.649
39,0.467,0.272
40,-0.067,1
41,-0.467,0.272
42,-0.071,0.905
43,-0.429,0.239
44,-0.143,0.773
45,0.6,0.136
46,0.5,0.075
47,0.444,0.119
48,0.429,0.179
49,0.643,0.031
50,0.619,0.069
51,0.524,0.136
52,0.467,0.272
53,0.733,0.056
54,-0.152,0.545
55,-0.2,0.719
56,-0.029,0.923
57,-0.048,1
58,-0.067,1
59,-0.033,0.894
60,0.018,1
61,-0.6,0.136
63,-0.143,0.72
64,0.2,0.719
65,0.619,0.069
66,-0.111,0.761
67,-0.333,0.381
68,-0.091,0.761
69,0.111,0.761
70,0.048,1
71,0.467,0.272
72,-0.2,0.719
73,0.389,0.18
74,0.238,0.562
75,-0.333,0.381
76,0.309,0.218
77,-0.357,0.275
78,0.556,0.045
79,-0.179,0.435
80,-0.128,0.59
81,0.143,0.72
82,-0.143,0.773
83,-0.429,0.239
84,0.368,0.014
85,0.298,0.08
86,0.65,0
87,0.6,0.136
88,0.467,0.073
89,-0.2,0.719
90,0.143,0.773
91,0.6,0.136
92,0.143,0.773
93,-0.389,0.18
94,-0.286,0.399
97,-0.059,0.776
98,0.048,1
103,-0.067,1
105,-0.294,0.212
106,0.429,0.239
