"ID","zval.egg","pval.egg"
1,-1.11,0.267
2,-1.897,0.058
3,-0.7,0.484
4,0.506,0.613
5,-2.233,0.026
6,0.709,0.478
7,0.596,0.551
8,-1.584,0.113
9,-1.334,0.182
10,1.149,0.251
11,-0.296,0.767
12,-0.22,0.826
13,0.697,0.486
14,1.122,0.262
15,-0.877,0.381
16,0.874,0.382
17,1.241,0.215
18,0.67,0.503
19,0.076,0.939
20,-1.822,0.068
21,-0.026,0.98
22,-1.732,0.083
23,-2.309,0.021
24,-0.774,0.439
25,0.146,0.884
26,0.936,0.349
27,-0.38,0.704
28,0.112,0.911
29,0.443,0.658
30,-0.132,0.895
31,1.118,0.264
32,-0.828,0.408
33,0.208,0.835
34,-0.004,0.997
35,0.529,0.597
36,-0.178,0.859
37,0.558,0.577
38,0.527,0.598
39,0.744,0.457
40,-0.18,0.857
41,-2.191,0.028
42,-0.071,0.943
43,-1.373,0.17
44,-0.572,0.567
45,1.598,0.11
46,2.781,0.005
47,2.436,0.015
48,2.757,0.006
49,2.732,0.006
50,2.304,0.021
51,1.721,0.085
52,2.311,0.021
53,1.987,0.047
54,-0.553,0.581
55,-2.146,0.032
56,-0.488,0.625
57,0.178,0.859
58,0.879,0.379
59,-0.302,0.762
60,0.365,0.715
61,-1.969,0.049
63,-0.419,0.675
64,0.612,0.54
65,0.966,0.334
66,-0.655,0.512
67,-1.843,0.065
68,-1.086,0.278
69,-0.267,0.79
70,-0.132,0.895
71,0.933,0.351
72,-0.272,0.786
73,0.69,0.49
74,0.328,0.743
75,-2.08,0.037
76,-0.117,0.907
77,-0.825,0.409
78,2.226,0.026
79,0.114,0.909
80,-0.655,0.513
81,1.538,0.124
82,-1.14,0.254
83,-1.622,0.105
84,1.544,0.123
85,1.743,0.081
86,4.327,0
87,1.271,0.204
88,2.664,0.008
89,-1.291,0.197
90,-0.342,0.732
91,2.494,0.013
92,1.131,0.258
93,-1.77,0.077
94,-0.723,0.47
97,-0.764,0.445
98,-0.822,0.411
103,-0.039,0.969
105,-1.676,0.094
106,2.115,0.034
