"ID","est.sel","ci.lb.sel","ci.ub.sel","zval.sel","pval.sel","tau2.sel"
1,-1.106,-1.308,-0.903,-10.7,0,0
2,0.665,0.409,1.081,-1.646,0.1,0.038
3,-1.054,-1.312,-0.797,-8.03,0,0
4,-0.492,-0.82,-0.165,-2.947,0.003,0.013
5,-0.538,-1.204,0.129,-1.582,0.114,0
6,1.249,0.645,2.418,0.658,0.51,0.08
7,-1.236,-1.498,-0.974,-9.242,0,0
8,-0.437,-0.61,-0.265,-4.97,0,0
9,-0.667,-1.143,-0.19,-2.741,0.006,0
10,1.247,NA,NA,NA,NA,0
11,-0.202,-0.404,0,-1.963,0.05,0.031
12,-0.138,-0.409,0.132,-1.003,0.316,0
13,1.07,0.603,1.899,0.232,0.817,0
14,1.377,0.979,1.936,1.836,0.066,0.082
15,1.245,0.774,2.003,0.904,0.366,0
16,0.815,NA,NA,NA,NA,0
17,1.916,1.115,3.295,2.352,0.019,0.154
18,1.201,0.5,2.885,0.41,0.682,0
19,-0.262,-0.559,0.034,-1.732,0.083,0
20,0.934,0.716,1.219,-0.501,0.616,0
21,1.326,0.926,1.899,1.538,0.124,0
22,-0.183,-0.391,0.025,-1.722,0.085,0
23,0.516,0.18,1.477,-1.233,0.218,0.112
24,1.003,0.684,1.47,0.014,0.989,0
25,-1.258,-1.631,-0.884,-6.601,0,0.014
26,-0.621,-1.636,0.394,-1.199,0.231,0.049
27,0.953,0.751,1.21,-0.394,0.693,0.034
28,-0.318,-0.607,-0.028,-2.151,0.031,0
29,1.184,NA,NA,NA,NA,0
30,0.823,0.659,0.988,9.796,0,0
31,0.685,0.491,0.879,6.924,0,0.003
32,-0.445,-0.706,-0.183,-3.329,0.001,0
33,-0.826,-1.117,-0.535,-5.57,0,0.05
34,-0.165,NA,NA,NA,NA,0
35,-0.728,-1.093,-0.364,-3.915,0,0
36,-0.485,-0.843,-0.127,-2.653,0.008,0.045
37,-0.664,-0.868,-0.461,-6.408,0,0
38,-0.748,-1.052,-0.444,-4.818,0,0.056
39,-0.45,-0.63,-0.271,-4.918,0,0
40,-0.083,-0.631,0.466,-0.295,0.768,0
41,-0.922,-2.236,0.392,-1.375,0.169,0.279
42,-0.975,-1.18,-0.771,-9.351,0,0
43,0.277,-0.023,0.577,1.808,0.071,0.004
44,NA,NA,NA,NA,NA,NA
45,0.866,NA,NA,NA,NA,0
46,1.51,1.225,1.794,10.4,0,0.203
47,1.337,1.057,1.617,9.359,0,0.02
48,1.557,1.243,1.871,9.712,0,0.238
49,1.363,1.063,1.662,8.927,0,0.025
50,1.328,1.029,1.628,8.688,0,0.18
51,1.237,0.947,1.526,8.374,0,0
52,1.327,0.979,1.676,7.464,0,0.26
53,1.259,0.951,1.568,8.004,0,0
54,-0.215,-0.482,0.053,-1.575,0.115,0.033
55,-0.758,-0.961,-0.555,-7.318,0,0
56,-0.322,-0.584,-0.059,-2.404,0.016,0.035
57,-0.062,-0.304,0.179,-0.506,0.613,0.014
58,-0.082,-0.335,0.172,-0.632,0.527,0.016
59,-0.35,-0.615,-0.085,-2.59,0.01,0.042
60,-0.213,-0.461,0.035,-1.685,0.092,0.026
61,-0.62,-1.035,-0.204,-2.924,0.003,0
63,0.223,0.006,0.441,2.012,0.044,0
64,0.629,0.132,1.126,2.482,0.013,0.051
65,0.108,-0.423,0.64,0.399,0.69,0
66,0.385,-0.228,0.997,1.231,0.218,0
67,-1.204,-1.49,-0.917,-8.236,0,0.021
68,-1.161,-1.389,-0.933,-9.981,0,0
69,-1.106,-1.349,-0.863,-8.93,0,0
70,NA,NA,NA,NA,NA,NA
71,-26.779,-34.205,-19.353,-7.068,0,0
72,-7.297,-9.261,-5.333,-7.283,0,0
73,-7.753,-9.999,-5.506,-6.764,0,0
74,-7.926,-10.322,-5.529,-6.482,0,0
75,-5.2,-9.422,-0.978,-2.414,0.016,2.927
76,-5.92,-8.174,-3.667,-5.148,0,1.246
77,0.873,0.714,1.067,-1.329,0.184,0
78,1.189,0.2,2.178,2.357,0.018,0.162
79,-0.096,-0.26,0.068,-1.144,0.253,0
80,NA,NA,NA,NA,NA,NA
81,0.658,0.079,1.237,2.228,0.026,0.065
82,0.266,-0.135,0.667,1.301,0.193,0.021
83,0.209,-0.254,0.672,0.885,0.376,0.062
84,0.722,0.098,1.346,2.268,0.023,0
85,0.486,0.217,0.755,3.538,0,0.01
86,0.089,-0.013,0.192,1.705,0.088,0
87,0.528,0.265,0.791,3.942,0,0
88,0.062,-0.056,0.18,1.031,0.302,0
89,0.717,-0.012,1.447,1.927,0.054,0.093
90,0.859,0.205,1.514,2.573,0.01,0.077
91,1.05,0.894,1.206,13.214,0,0
92,0.994,0.823,1.165,11.398,0,0
93,-0.43,-0.754,-0.107,-2.606,0.009,0.018
94,0.078,-0.032,0.188,1.385,0.166,0
97,-0.82,-1.147,-0.494,-4.92,0,0.081
98,-0.305,-1.361,0.751,-0.566,0.571,0.078
103,0.061,-0.215,0.336,0.431,0.666,0
105,-0.559,-0.924,-0.193,-2.995,0.003,0.034
106,1.828,1.546,2.111,12.682,0,0.027
