"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
-1.24,-0.4,-0.16,-0.21,-0.22,-0.43,-0.32,-0.44,-0.38,-0.22
0.29,0.44,0.67,1.32,1.29,1.18,1.2,1.16,0.34,-0.1
-0.14,-0.14,0.35,0.06,0.47,-0.27,-0.03,0.04,0.06,0.29
0.72,1.53,0.95,0.28,0.14,0.21,0.61,0.45,0.4,0.13
1.49,1.89,2.1,2.2,1.47,0.84,0.58,0.2,0.19,0.05
-1.88,-1.76,-0.74,-0.97,-0.59,-0.65,-0.48,-0.35,0.02,0.03
0.54,0.44,1.11,0.83,0.77,0.72,0.8,0.95,0.74,0.32
-0.22,-0.24,-0.15,0.04,0.35,-0.05,0.03,0.03,0.06,0.14
-0.72,-0.76,-0.83,-0.86,-0.66,-0.61,-0.56,-0.3,-0.36,-0.25
0.14,0.16,0.35,0.14,-0.01,0.01,0.27,0.48,0.57,0.31
-0.24,-0.13,-0.13,-0.21,-0.23,-0.21,-0.19,-0.1,-0.09,-0.04
-0.25,-0.04,-0.03,-0.07,0.19,0.15,0.21,0.19,0.15,0.07
