"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
-23.47,-18.61,-12.7,-9.78,-6.91,-5.46,-4.23,-3.73,-2.2,-1.22
-24.3,-16.54,-11.87,-7.63,-4.97,-3.37,-2.73,-0.86,-1.31,-1.15
-20.91,-12.53,-10.45,-8.55,-5.21,-4.45,-3.63,-2.19,-1.59,-0.75
-18.53,-13.15,-9.45,-7.81,-4.68,-3.48,-2.88,-1.86,-1.22,-0.91
-14.78,-8.47,-5.5,-3.86,-2.49,-1.97,-2.14,-1.74,-0.85,-0.45
-16.25,-12.91,-8.23,-6.74,-4.76,-4.09,-3.36,-2.48,-1.2,-0.62
-11.06,-7.72,-5.04,-3.53,-2.73,-1.68,-1.02,-0.41,-0.32,-0.11
-11.26,-7.14,-6.07,-5.14,-2.97,-2.36,-1.9,-1.06,-0.85,-0.36
-8.55,-5.7,-4.67,-3.81,-2.96,-2.43,-1.83,-1.31,-1.1,-0.56
-6.42,-4.38,-3.22,-2.5,-1.58,-1.51,-0.95,-0.4,-0.05,0.14
-3.56,-2.42,-1.96,-1.75,-1.33,-0.83,-0.76,-0.47,-0.25,-0.19
-2.07,-1.57,-1.18,-0.97,-0.38,-0.34,-0.25,-0.12,-0.05,0.01
