"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
14.96,6.47,2.53,3.2,-1.11,0.2,-0.01,0.05,-0.05,-0.53
14.07,5.34,4.01,2.75,-1.13,0.88,-0.39,-0.21,-1.07,-0.78
11.85,6.6,4.87,2.97,0.23,1,0.08,0.09,-0.1,0.05
11.37,5.92,3.32,1.66,0.29,1.14,0.74,0.34,0.55,0.17
11.82,6,5.26,2.99,1.15,1.57,0.58,0.3,0.61,-0.06
7.55,2.6,1.7,0.86,-0.77,0.19,-0.41,-0.26,0.16,0.68
7.36,3.74,2.86,1.96,0.44,0.18,0.53,0.8,0.65,0.31
6.11,1.98,1.61,1.22,0.35,-0.08,-0.46,0.18,0.06,0.33
3.91,1.77,0.68,0.42,-1,-0.6,-0.79,-0.53,-0.59,-0.48
3.08,1.16,0.67,0.71,-0.28,-0.1,0.01,-0.14,0.04,0.07
1.29,0.43,0.19,-0.09,-0.42,-0.2,-0.19,-0.18,-0.09,-0.04
-0.08,0.41,0.22,0.18,0.1,0.24,0.39,0.32,0.46,0.3
