"mu","sigma","tau","mean","median_ms","median_paper","skew_rep","skew_paper","median_match","skew_match"
300,20,300,600,509,509,92,92,TRUE,TRUE
300,50,300,600,512,512,88,88,TRUE,TRUE
350,20,250,600,524,524,76,76,TRUE,TRUE
350,50,250,600,528,528,72,72,TRUE,TRUE
400,20,200,600,540,540,60,60,TRUE,TRUE
400,50,200,600,544,544,55,55,TRUE,TRUE
450,20,150,600,555,555,45,45,TRUE,TRUE
450,50,150,600,562,562,38,38,TRUE,TRUE
500,20,100,600,572,572,29,29,TRUE,TRUE
500,50,100,600,579,579,21,21,TRUE,TRUE
550,20,50,600,588,588,12,12,TRUE,TRUE
550,50,50,600,594,594,6,6,TRUE,TRUE
