"name","disorder","overall","psycho_tot","SMD_post","SMD_post_neg","vSMD_post","SMCR_neg","vSMCR"
"Averbeck et al. (2012)","depression",1,0,-0.51,0.51,0.19,0.51,0.19
"den  Boer and Westenberg (1992)","depression",0,0,0.3749,-0.3749,0.3392,-0.3343,0.2196
"Epperson et al. (1996)","depression",0,0,-2.1315,2.1315,0.448,0.7434,0.1951
"Labuschange et al. (2012)","depression",0,0,0.2444,-0.2444,0.1119,0.1948,0.1777
"den  Boer and Westenberg (1992)","anxiety",1,0,-1.0486,1.0486,0.3792,0.8149,0.2307
"Epperson et al. (1996)","anxiety",1,0,-0.5696,0.5696,0.2973,0.477,0.1908
"Gibson (2012)","anxiety",0,0,0.1837,-0.1837,0.212,-0.3518,0.1443
"Guastella et al. (2009)","anxiety",1,0,0.3168,-0.3168,0.1623,-0.3853,0.1492
"Labuschange et al. (2012)","anxiety",1,0,0.108,-0.108,0.1113,0.8874,0.1044
"MacDonald et al. (2012)","anxiety",1,0,0.4099,-0.4099,0.1201,-0.6453,0.0774
"McRae-Clark et al. (2013)","anxiety",1,0,-0.1453,0.1453,0.2507,0.279,0.1531
"Pedersen et al. (2011)","anxiety",0,0,-0.6007,0.6007,0.211,0.3385,0.1445
"Pedersen et al. (2013)","anxiety",1,0,-0.4594,0.4594,0.4025,-0.9501,0.6234
"Anagnostou et al. (2012)","repetitive",1,0,-0.5077,0.5077,0.2179,0.3827,0.1542
"Anagnostou et al. (2012)","repetitive",0,0,0.4566,-0.4566,0.2166,-0.1851,0.1803
"Dadds et al. (2014)","repetitive",0,0,-0.0188,0.0188,0.1053,-0.4336,0.0659
"Dadds et al. (2014)","repetitive",1,0,-0.2325,0.2325,0.106,-0.2086,0.0804
"Epperson et al. (1996)","repetitive",0,0,-0.5696,0.5696,0.2973,0.477,0.1908
"Davis et al. (2014)","psychotic",0,0,0.3246,-0.3246,0.17,-0.0913,0.1023
"Feifel et al. (2010)","psychotic",1,1,-0.4037,0.4037,0.136,0.3468,0.0943
"Gibson (2012)","psychotic",1,1,-0.5539,0.5539,0.2192,0.2528,0.1566
"Lee et al. (2013)","psychotic",0,0,-0.5581,0.5581,0.1492,-0.0034,0.0866
"Modabbernia et al. (2013)","psychotic",1,1,-0.8442,0.8442,0.1089,0.7749,0.0839
"Pederson et al. (2011)","psychotic",1,1,-0.2965,0.2965,0.2042,0.5789,0.1487
"Davis et al. (2014)","psychopathology",1,1,-0.4255,0.4255,0.1716,-0.3163,0.131
"Feifel et al. (2010)","psychopathology",0,0,-0.2192,0.2192,0.1341,0.34,0.0891
"Gibson (2012)","psychopathology",0,0,-0.3099,0.3099,0.2136,-0.0448,0.1573
"Lee et al. (2013)","psychopathology",1,1,0.8976,-0.8976,0.158,-0.3984,0.095
"Modabbernia et al. (2013)","psychopathology",0,0,-0.499,0.499,0.1031,0.4028,0.0653
"Pedersen et al. (2011)","psychopathology",0,0,-0.2361,0.2361,0.2034,0.5559,0.1404
