"kind","level","ES","SE","z","p","ci.lb","ci.ub"
"SMCR","disorderanxiety",0.0861,0.1673,0.5147,0.6067,-0.242,0.414
"SMCR","disorderdepression",0.2902,0.2677,1.0843,0.2782,-0.234,0.815
"SMCR","disorderpsychopathology",0.1033,0.1824,0.5664,0.5711,-0.254,0.461
"SMCR","disorderpsychotic",0.3069,0.1825,1.6814,0.09268,-0.051,0.665
"SMCR","disorderrepetitive",-0.0597,0.2066,-0.2889,0.7726,-0.465,0.345
"SMCR","tau^2",0.092,0.062,1.4687,0.014,0.006,0.287
"SMD","disorderanxiety",0.0823,0.1753,0.4695,0.6387,-0.261,0.426
"SMD","disorderdepression",0.2773,0.2693,1.03,0.303,-0.25,0.805
"SMD","disorderpsychopathology",0.1417,0.1941,0.7301,0.4653,-0.239,0.522
"SMD","disorderpsychotic",0.4138,0.1945,2.1278,0.03336,0.033,0.795
"SMD","disorderrepetitive",0.1493,0.2172,0.6876,0.4917,-0.276,0.575
"SMD","tau^2",0.069,0.069,0.9912,0.0561,0,0.401
