num,first_author,has_data_link,has_code_link,has_any_link,links,da_text,ca_text
2019-02,Kristal,True,True,True,https://osf.io/39rja/ https://osf.io/39rja,Coarsened data and modified materials are available at https://osf.io/39rja/ . Data and materials have been modified to protect the identity of the partner organization and its employees. Additional m,All analyses reported in this study used the statistical software R (v.3.6.1). All R files are available publicly at https://osf.io/39rja/ .
2019-03,Gagnepain,True,True,True,https://github.com/rsagroup/rsatoolbox,"All raw behavioural and imaging data are archived at the GIP Cyceron Centre in Caen. The collective memory corpus is archived at the INAthèque (Bibliothèque Nationale de France) in Paris, which has th",The text processing and topic analysis of the collective memory and Wikipedia corpora were conducted using TXM ( http://textometrie.ens-lyon.fr/ ) and MALLET ( http://mallet.cs.umass.edu/topics.php ) 
2019-04,Van de Vliert,False,False,False,,"As indicated in the Methods, all data are available for visual inspection ( Supplementary Information ) and empirical analysis. SPSS data files for preindustrial and contemporary societies can be down",The SPSS analysis scripts used in studies 1–5 are provided in the Supplementary Methods . The author is prepared to provide clarifications if needed.
2019-05,Earle,False,False,False,,All data are publicly accessible online. Data from Sample 1 can be found at https://electionstudies.org/ . Data from Sample 2 can be found at http://www.gss.norc.org/Get-The-Data . Data from Sample 3 ,
2019-06,Oh,True,True,True,https://osf.io/v2j43 https://osf.io/v2j43/ https://github.com/markallenthornton/affectr,All data and stimuli are available on Open Science Framework: https://osf.io/v2j43/ .,
2019-07,Ruck,True,True,True,https://github.com/damianruck/Cultural_foundations_of_modern_democracies,"All raw data are publicly available from the following sources: World Values Survey ( http://www.worldvaluessurvey.org/wvs.jsp ), European Values Survey ( https://europeanvaluesstudy.eu ), Madison Pro",Code used to generate regression results and plots can be found in the Github repository: https://github.com/damianruck/Cultural_foundations_of_modern_democracies .
2019-09,Bellmund,False,False,False,,The data that support the findings of this study are available from the corresponding authors on reasonable request.,The custom code that supports the findings of this study is available from the corresponding authors on reasonable request.
2019-10,Lees,True,True,True,https://osf.io/zhysa https://osf.io/zhysa/,All data that supported the findings of this study are publicly available in CSV format on the Open Science Framework: https://osf.io/zhysa/ .,All analyses reported in this study used the statistical software R (v.3.6.1). All R files are publicly available on the Open Science Framework: https://osf.io/zhysa/ .
2019-11,Schad,False,False,False,,"Source data are available for Figs. 1–6 and Supplementary Figs. 2–12 . Data sharing will be based on acceptance by the study team that: (1) a valid and timely scientific question, based on a written p",Experimental code is freely available on request to the corresponding author. Analysis code will be provided with data access.
2019-12,Ben Simon,False,False,False,,The data that support the findings of this study are available from the corresponding authors upon request.,
