"Quantity","Manuscript","Reimplementation","Verdict"
"FE applications (N)","3,002","3002","OK"
"FS respondents","480","480 distinct IDs","OK"
"Response rate","16%","480/3002 = 0.1599","OK"
"FS vignette ratings","3,840 (8x480)","3840 rows; 8 per respondent","OK"
"FE mean invitation prob (SD)","0.54 (0.50)","0.5410 (0.4984)","OK"
"FS mean invitation prob (SD)","0.59 (0.49)","0.5932 (0.4913)","OK"
"FE occupational field N","655/398/1261/688","655/398/1261/688","OK"
"FE occupational field prop","0.22/0.13/0.42/0.23","0.218/0.133/0.420/0.229","OK"
"FS occupational field N","512/560/1944/824","512/560/1944/824","OK"
"FS occupational field prop","0.13/0.15/0.50/0.22","0.133/0.146/0.506/0.215","ROUNDING"
"FS hiring resp. N (alone/joint/colleagues)","632/2984/224","632/2984/224","OK"
"SDB scale mean (SD)","0 (1)","~0 (1)","OK"
"Survey-att tilltudes scale mean (SD)","0 (1)","~0 (1)","OK"
"Avg processing time per vignette (SD)","30.78 (11.63)","30.7848 (11.6254)","OK"
"FE ethnic effect (migration=1)","-0.07 (***)","-0.0703","OK"
"FS ethnic effect (migration=1)","-0.001 (ns)","-0.0012","OK"
"Ethnicity disparity (interaction)","b=0.070, SE=0.023","b=0.0697, SE=0.0226","OK"
"FE education dropout effect","+2.8 pp (ns)","+0.0278","OK"
"FS education 3vs2 effect","-0.05 (5pp)","-0.0502","OK"
"Education disparity (interaction)","b=-0.080, SE=0.026","b=-0.0801, SE=0.0259","OK"
"FS intermediate-HS disadvantage (1vs2)","12.2 pp","-0.1216","OK"
"SDB cut-offs (p33/p66)","-0.29 / 0.53","-0.289 / 0.528","OK"
"SDB group N","1600/1272/968","1600/1272/968","OK"
"Response-time cut-offs (p33/p66)","24.50 / 33.25","24.5 / 33.25","OK"
"Response-time group N","1280/1264/1296","1280/1264/1296","OK"
"Survey-attitudes cut-offs (p33/p66)","-0.26 / 0.42","-0.264 / 0.418","OK"
"Survey-attitudes group N","1720/936/1184","1720/936/1184","OK"
"% found profiles realistic","61%","0.6104 (type 3/4)","OK"
