"effect_size_id","cat","outcome","exposure","k","pooled_r","cilb95","ciub95","n_pooled","i2","Value","Statistical.Test"
"54015_001","#N/A","Aggression: General","Video games: Violent content",27,0.214,0.166,0.262,15443,89.3,-999,"Correlation"
"57223_001","#N/A","Aggression: General","Video games: Violent content",20,0.087,0.063,0.112,11675,37.8,-999,"-999"
"57223_003","#N/A","Aggression: General","Video games: Violent content",11,0.097,0.062,0.131,6675,45.7,-999,"-999"
"57223_004","#N/A","Aggression: General","Video games: Violent content",8,0.072,0.034,0.11,4809,35.3,0.07,"correlation"
"59725_001","education","Learning: Computational thinking","Computer use: Programming exercises",12,0.276,0.176,0.375,1175,68,-999,"-999"
"34306_032","education","Learning: Educational achievement problems","Internet use: Cyberbullying victimization",7,0.149,0.128,0.171,7768,0,0.14,"Pearson's r"
"61455_001","education","Learning: General","Computer use: Test taking (compared to pen & paper)",42,-0.03,-0.056,-0.005,59340,89.1,-0.06,"Cohen's d"
"20223_015","education","Learning: General","e-Books: Narration",50,0.108,0.046,0.169,2288,57,0.19,"g+"
"42168_002","education","Learning: General","Intervention: Augmented reality",15,0.335,0.247,0.422,1474,69,0.677,"hedge's g"
"50271_001","education","Learning: General","Intervention: Education (touch screen)",79,0.213,0.15,0.276,5810,85.2,0.46,"Cohen's d"
"55554_001","education","Learning: General","Intervention: Literacy (Abracadabra)",15,0.089,0.06,0.118,52377,89.6,0.18,"standardised mean difference "
"55554_004","education","Learning: General","Intervention: Literacy (Abracadabra)",12,0.091,0.058,0.124,44550,90.9,0.19,"standardised mean difference "
"55554_005","education","Learning: General","Intervention: Literacy (Abracadabra)",3,0.08,0.014,0.146,7827,75.6,0.12,"standardised mean difference "
"57313_001","education","Learning: General","Screen use: Video (vs face-to-face)",122,-0.26,-0.315,-0.205,3436,75.2,-0.53,"Hedge's g"
"57313_002","education","Learning: General","Screen use: Video (vs face-to-face)",88,-0.306,-0.365,-0.247,2433,69.8,-0.63,"Hedge's g"
"57313_003","education","Learning: General","Screen use: Video (vs face-to-face)",34,-0.15,-0.269,-0.031,1003,80.3,-0.25,"Hedge's g"
"57313_004","education","Learning: General","Screen use: Video (vs face-to-face)",73,-0.27,-0.344,-0.196,1879,77.6,-0.58,"Hedge's g"
"61489_001","education","Learning: General","Video games: Educational (instructional support)",16,0.151,0.054,0.248,1287,66.6,0.19,"Cohen's d"
"59233_001","education","Learning: Languages","Intervention: Augmented reality",40,0.263,0.171,0.355,2966,89.4,-999,"-999"
"59233_003","education","Learning: Languages","Intervention: Augmented reality",25,0.199,0.068,0.331,2078,92.9,1.23,"Hedge's g"
"60309_001","education","Learning: Literacy and numeracy","Screen use: Educational apps",36,0.099,0.073,0.125,5447,0,0.3,"Hedge's g"
"60309_004","education","Learning: Literacy and numeracy","Screen use: Educational apps",15,0.113,0.07,0.156,2011,0,0.35,"Hedge's g"
"60309_005","education","Learning: Literacy and numeracy","Screen use: Educational apps",18,0.088,0.054,0.122,3255,0,0.17,"Hedge's g"
"59233_005","education","Learning: Motivation","Intervention: Augmented reality",30,0.282,0.151,0.413,1197,95.9,-999,"-999"
"61452_004","education","Learning: Motivation","Video games: Educational",10,0.164,0.017,0.311,1183,84.8,0.32,"d"
"59754_002","education","Learning: Motivation","Video games: Educational (with competition)",15,0.261,0.172,0.349,9318,82,0.51,"Hedge's g"
"34306_034","education","Learning: School attendance problems","Internet use: Cyberbullying victimization",9,0.196,0.184,0.208,25242,0,0.2,"Pearson's r"
"61434_001","education","Learning: Second language","Screen use: General (mobile phone for language learning)",7,0.255,0.127,0.383,1192,79.2,0.52,"d"
"47783_016","education","Literacy: General","Intervention: Education (general)",7,0.138,-0.038,0.314,1228,90.1,0.15,"Correlation coefficient"
"60309_002","education","Literacy: General","Screen use: Educational apps",12,0.121,0.062,0.179,1095,0,0.31,"Hedge's g"
"47783_001","education","Literacy: General","Screen use: General",38,-0.144,-0.198,-0.091,18318,90.9,-0.14,"Correlation coefficient"
"47783_022","education","Literacy: General","Screen use: General (coviewing)",12,0.148,0.016,0.281,6083,96,0.16,"Correlation coefficient"
"47783_015","education","Literacy: General","TV programs and movies: Educational",13,0.131,0.029,0.233,1955,81.3,0.13,"Correlation coefficient"
