"effect_size_id","outcome","exposure","k","pooled_r","cilb95","ciub95","n_pooled","i2","Combined.N","Value"
"47569_001","Learning: General","Screen use: General",NA,NA,NA,NA,NA,NA,5947,-0.29
"47733_001","Learning: General","Screen use: General (mobile phone)",NA,NA,NA,NA,NA,NA,135131,-0.12
"57313_001","Learning: General","Screen use: Video (vs face-to-face)",122,-0.260318715310759,-0.315159475375324,-0.205477955246193,3436,75.1921178921126,3436,-0.53
"57313_002","Learning: General","Screen use: Video (vs face-to-face)",88,-0.306074447436652,-0.364745838502109,-0.247403056371194,2433,69.7646596100342,2433,-0.63
"57313_003","Learning: General","Screen use: Video (vs face-to-face)",34,-0.15014466663988,-0.268815586639439,-0.0314737466403197,1003,80.2747566665279,1003,-0.25
"57313_004","Learning: General","Screen use: Video (vs face-to-face)",73,-0.270224236622286,-0.344477279178503,-0.19597119406607,1879,77.5940644822893,1879,-0.58
"57313_005","Learning: General","Screen use: Video (vs face-to-face)",21,-0.148685500440499,-0.239563760283099,-0.0578072405979003,810,44.4634074051415,810,-0.27
"57313_006","Learning: General","Screen use: Video (vs face-to-face)",16,-0.474290702747476,-0.598062064224084,-0.350519341270868,399,68.5455658370119,399,-1
"57313_007","Learning: General","Screen use: Video (vs face-to-face)",12,-0.113726308153674,-0.244474842759921,0.0170222264525732,348,37.0168352443072,348,-0.16
"34220_002","Learning: General","TV programs and movies: General",NA,NA,NA,NA,NA,NA,87025,-0.05
"47569_002","Learning: General","TV programs and movies: General",NA,NA,NA,NA,NA,NA,94876,-0.19
"61489_001","Learning: General","Video games: Educational (instructional support)",16,0.15115482481846,0.0544518114740322,0.247857838162889,1287,66.5823669895494,697,0.19
"61489_002","Learning: General","Video games: Educational (instructional support)",13,0.0660763937286298,-0.0718762356918098,0.204029023149069,471,60.7429540961442,210,0.18
"47569_005","Learning: General","Video games: General",NA,NA,NA,NA,NA,NA,7928,-0.15
