"claim","id","r_paper","r_reimpl","cilb_p","cilb_re","ciub_p","ciub_re","k_p","k_re","n_p","n_re","I2","p_re","MATCH"
"ebook_learn","20223_015",0.11,0.108,0.05,0.046,0.17,0.169,50,50,2288,2288,57,0.000589,TRUE
"num_math","37653_002",0.27,0.271,0.21,0.211,0.33,0.331,85,85,36793,36793,97.1,1.27e-18,TRUE
"num_vid","41430_001",0.32,0.321,0.21,0.21,0.43,0.433,25,25,2008,2008,88.1,1.59e-08,TRUE
"ar_learn","42168_002",0.33,0.335,0.25,0.247,0.42,0.422,15,15,1474,1474,69,7.47e-14,TRUE
"sm_sex","47429_003",0.21,0.209,0.14,0.136,0.28,0.281,14,14,23096,23096,96.2,1.83e-08,TRUE
"gen_learn","47569_001",-0.11,-0.113,-0.24,-0.236,0.01,0.01,18,18,13100,13100,98.5,0.0708,TRUE
"tv_learn","47569_002",-0.1,-0.095,-0.15,-0.152,-0.04,-0.039,18,18,62135,62135,97.5,0.000918,TRUE
"vid_learn","47569_005",-0.08,-0.079,-0.12,-0.118,-0.04,-0.039,10,10,4276,4276,40,0.000101,TRUE
"advergame","47594_001",0.18,0.179,0.1,0.104,0.25,0.254,15,15,3842,3842,81.9,2.91e-06,TRUE
"lit_general","47783_001",-0.14,-0.144,-0.2,-0.198,-0.09,-0.091,38,38,18318,18318,90.9,9.45e-08,TRUE
"edutv_lit","47783_015",0.13,0.131,0.03,0.029,0.23,0.233,13,13,1955,1955,81.3,0.0121,TRUE
"coview","47783_022",0.15,0.148,0.02,0.016,0.28,0.281,12,12,6083,6083,96,0.0283,TRUE
"touch_learn","50271_001",0.21,0.213,0.15,0.15,0.28,0.276,79,79,5810,5810,85.2,3.73e-11,TRUE
"sm_dep","53160_001",0.12,0.122,0.05,0.054,0.19,0.19,12,12,93740,93740,97.5,0.000465,TRUE
"inet_dep","60496_003",0.25,0.245,0.22,0.223,0.27,0.267,118,118,527696,527696,98.5,1.74e-101,TRUE
"tv_sleep","6524_005",-0.06,-0.056,-0.1,-0.102,-0.01,-0.01,10,10,9798,9798,78,0.0182,TRUE
"adv_food","6739_002",0.23,0.233,0.1,0.096,0.37,0.37,13,13,1756,1756,90.4,0.000841,TRUE
"tv_body","8556_119",0.06,0.062,0.03,0.028,0.1,0.097,12,12,3196,3196,0,0.000399,TRUE
