"effect_size_id","ok","k","pooled_r","cilb95","ciub95","cilb999","ciub999","i2","tau2","n_pooled","review_id","Study.Level.Available.","Value","Value...CI.lower.bound","Value...CI.upper.bound","p.value","Statistical.Test","k..number.of.effects.informing.this.test.","Combined.N","Exposure...Author.Description","exposure","Outcome...Author.Description","cat","Outcome.Level.2","Outcome.Level.3","outcome","Benefit.or.Risk.","Moderator.Level.Recoded","Moderator.Category.Recoded","Use.Moderator","I2.calculated","Value_raw_SE","Value_raw_SD"
"54015_001",TRUE,27,0.213745380720681,0.165641799675025,0.261848961766337,0.132985672603716,0.294505088837646,89.266803525205,0.0133195719604033,15443,54015,TRUE,-999,-999,-999,"-999","Correlation",-999,-999,"Violent video games","Video games: Violent content","Physically agressive behavior","#N/A","#N/A","#N/A","Aggression: General","Risk","Overall","Overall",TRUE,-999,NA,NA
"57223_001",TRUE,20,0.0872528562011851,0.0627205751935045,0.111785137208866,0.0460663205928852,0.128439391809485,37.7862029521574,0.00105277483771198,11675,57223,TRUE,-999,-999,-999,"-999","-999",20,11675,"Violent video games","Video games: Violent content","Aggressive behavior","#N/A","#N/A","#N/A","Aggression: General","Risk","Overall","Overall",TRUE,-999,NA,NA
"57223_003",TRUE,11,0.0967696390301768,0.0621538004955819,0.131385477564772,0.0386541109237651,0.154885167136588,45.7003667943236,0.00142295332385312,6675,57223,TRUE,-999,-999,-999,"-999","-999",11,6675,"Violent video games","Video games: Violent content","Aggressive behavior","#N/A","#N/A","#N/A","Aggression: General","Risk","Correlational","Study Type",TRUE,-999,NA,NA
"57223_004",TRUE,8,0.0721182970311732,0.0337633497411147,0.110473244321232,0.00772528759915649,0.13651130646319,35.2555846743094,0.00098742254517905,4809,57223,TRUE,0.07,0.04,0.11,"-999","correlation",8,4809,"Violent video games","Video games: Violent content","Aggressive behavior","#N/A","#N/A","#N/A","Aggression: General","Risk","Longitudinal","Study Type",TRUE,63.7,NA,NA
"57223_005",TRUE,1,0.108,-0.0325322194852681,0.248532219485268,-0.127935470498291,0.343935470498291,0,0,191,57223,TRUE,-999,-999,-999,"-999","-999",1,191,"Violent video games","Video games: Violent content","Aggressive behavior","#N/A","#N/A","#N/A","Aggression: General","Risk","Experimental","Study Type",TRUE,-999,NA,NA
"59754_003",TRUE,5,0.426037656954258,0.284786518192095,0.567288795716421,0.188895213717148,0.663180100191369,69.4022128057368,0.0175644740588312,439,59754,TRUE,0.93,0.53,1.32,"0.01","Hedge's g",5,439,"Game based learning","Video games: Educational (with competition)","Behavior","education","education_other","education_other_behavior","Learning: Behavior","Benefit","Overall","Overall",TRUE,76,NA,NA
"59725_001",TRUE,12,0.275840262021892,0.176232858949887,0.375447665093897,0.108612279748616,0.443068244295168,68.018775337919,0.0194741870602048,1175,59725,TRUE,-999,-999,-999,"-999","-999",12,1175,"Programming exercises","Computer use: Programming exercises","Computational thinking","education","education_learning","education_learning_computational thinking","Learning: Computational thinking","Benefit","Overall","Overall",TRUE,-999,NA,NA
"59725_002",TRUE,8,0.328821361752012,0.211292522956991,0.446350200547032,0.131505600428483,0.52613712307554,53.6173750289672,0.0149529624891603,493,59725,TRUE,0.687,0.435,0.939,"<0.001","Hedge's g",8,493,"Programming exercises","Computer use: Programming exercises","Computational thinking","education","education_learning","education_learning_computational thinking","Learning: Computational thinking","Benefit","Secondary","Grade Level",TRUE,77.507,NA,NA
"59725_003",TRUE,4,0.189300662298738,0.0186780561976591,0.359923268399818,-0.0971526862326477,0.475754010830124,78.7312384124743,0.0226241935784689,682,59725,TRUE,0.409,0.084,0.734,"<0.05","Hedge's g",4,682,"Programming exercises","Computer use: Programming exercises","Computational thinking","education","education_learning","education_learning_computational thinking","Learning: Computational thinking","Benefit","Primary","Grade Level",TRUE,91.914,NA,NA
"34306_032",TRUE,7,0.149316799847271,0.127567762291693,0.171065837402849,0.112802971008908,0.185830628685633,0,0,7768,34306,TRUE,0.14,0.08,0.19,"-999","Pearson's r",7,7768," ","Internet use: Cyberbullying victimization","  ","education","education_learning","education_learning_general","Learning: Educational achievement problems","Risk","overall","overall",TRUE,NA,NA,NA
