"pfem_new2","lag1_mfcombined10","chgvotelagged","year","femaleleader2_lag","cabinet_party2_lag","lag1womenpar","tier1_avemag2","prop2f","natquota","weurope","party","country"
9,1.7179487,-16.9,2006,0,1,33.900002,4.2600002,"3",0,1,42420,42
25.799999,1.4254049,2.9659996,2017,0,0,33.299999,4.69,"3",0,1,42420,42
15.000001,1.6122448,1.0299997,2008,0,0,32.200001,4.2600002,"3",0,1,42420,42
22,1.0530523,6.500001,2013,0,0,27.299999,4.2600002,"3",0,1,42420,42
20,1.4571429,-0.61199951,1999,0,0,23.5,4.2600002,"3",0,1,42420,42
33.333332,1.255814,-4.2269998,2014,0,0,39.299999,13.64,"3",1,1,21917,21
21.700001,1.6428572,1.2270002,2013,0,0,20.799999,7.7399998,"3",0,0,80710,80
27.299999,2.4817276,-2.0660005,2014,0,0,24.6,7.7399998,"3",0,0,80710,80
6.5573769,1.4370198,-12.632998,2016,1,0,15.2,14,"3",1,0,81711,81
14.6,0.86499995,2.6389999,2011,0,1,20.9,14,"3",1,0,81711,81
33.333336,1.4347826,4.1830001,1990,1,0,30.700001,7.9400001,"3",0,1,13951,13
20,1.0326087,1.2530003,2007,1,0,36.900002,13.5,"3",0,1,13720,13
32,1.0820158,0.6069994,2011,1,0,38,13.5,"3",0,1,13720,13
40.540001,1.25,-1.5569992,2015,1,0,39.099998,13.5,"3",0,1,13720,13
27.272728,1.243094,-2.52,1994,1,0,33,7.9400001,"3",0,1,13951,13
37.5,1.6612903,4.5900002,2005,1,0,38,7.9400001,"3",0,1,13720,13
14.28571,1.1441351,2.6509991,2015,0,1,19.799999,8.4200001,"3",0,0,83611,83
18.18182,1.3517941,-6.7449989,2011,0,1,20.799999,8.4200001,"3",0,0,83611,83
28.200001,1.4641509,2.4810002,2011,0,0,41.5,13.3,"3",0,1,14820,14
20,0.8318584,-3.2780001,2007,0,0,37.5,13.3,"3",0,1,14820,14
31.6,1.3955836,15.002999,2015,0,0,42.5,13.3,"3",0,1,14820,14
50,3.9230771,-6.8309999,2012,0,0,18.200001,1,"2",1,1,31720,31
28.6,1.52,9.3069992,2017,1,0,26.9,1,"2",1,1,31720,31
20,4.5454545,-2.8779998,2015,0,1,21,5.1399999,"3",1,1,34730,34
11.8,18.470589,-0.052000046,2015,0,0,21,5.1399999,"3",1,1,34720,34
33.299999,1.6054053,-3.0919995,2015,0,0,21,5.1399999,"3",1,1,34730,34
9,1.2352941,-6.1340003,2006,0,1,9.8000002,23.73,"3",0,1,32720,32
18,1.9558823,-3.6569996,2006,0,1,9.8000002,23.73,"3",0,1,32710,32
20,1.7992127,0.57000017,2008,0,0,17.299999,23.73,"3",0,1,32720,32
10.2,1.1267806,1.4540005,2001,0,0,11.1,1,"2",0,1,32720,32
4.3000002,1.4991708,2.1870003,2001,0,0,11.1,1,"2",0,1,32710,32
4,1.1797754,8.1149998,1996,0,0,15.1,1,"2",0,1,32710,32
0,1.8348081,3.5629997,2013,0,0,21.299999,23.73,"3",0,1,32720,32
31,1.3571428,-4.2119999,2018,0,0,31.4,1,"3",1,1,32720,32
6,2.5673759,-0.8840003,1992,0,0,12.9,19.690001,"3",0,1,32710,32
0,0.3843717,1.3999996,2004,0,0,16.700001,15,"3",0,1,23951,23
0,0.67506295,-1.8199997,2013,0,0,20,15,"3",0,1,23951,23
0,1.0462428,-0.45300007,2009,0,0,23.299999,15,"3",0,1,23951,23
20,1.253202,9.5599995,2012,0,0,40.700001,150,"3",0,1,22722,22
30,1.584906,-5.3669996,2017,0,0,38.700001,150,"3",0,1,22722,22
15.384616,1.5092808,9.0249996,2001,0,0,36.400002,8.2600002,"3",0,1,12951,12
26.923077,1.5702891,-6.5650005,2017,1,1,39.599998,8.894,"3",0,1,12951,12
15.7,1.7320261,-0.6590004,2005,0,0,35.799999,7.8899999,"3",0,1,12951,12
24.299999,1.2623457,7.415,2009,0,0,37.900002,7.8899999,"3",0,1,12951,12
20.68,1.7677138,0.85400009,2013,1,0,39.599998,7.8899999,"3",0,1,12951,12
17.5,0.83368194,17.486,2007,0,1,20.4,11.22,"3",0,0,92436,92
20.200001,0.98338419,5.1240005,2011,0,0,20.4,11.22,"3",0,0,92436,92
13.09,1.4495678,0.56700015,2000,0,0,7.3000002,7.79,"3",0,0,93712,93
11.11111,1.601974,2.658,2010,0,1,20,150,"3",0,0,96710,96
20,6.3392854,-0.52999973,2016,0,0,18.700001,150,"3",0,0,96710,96
25,1.0417755,-6.802,2000,0,0,14.4,11,"3",0,0,97710,97
20,2.6816819,1.8909998,2008,0,0,12.2,11,"3",1,0,97710,97
14.29,2.2352941,1.161,2004,0,0,12.2,11,"3",0,0,97710,97
29,1.7362806,7.1570005,2018,0,0,44.700001,10.69,"3",0,1,11710,11
16.9,1.2866818,-2.3409996,2015,0,1,28.5,7.69,"3",0,1,43810,43
5.4545455,2.6495237,7.5610008,2003,0,1,22.5,7.69,"3",0,1,43810,43
12.9,1.3570708,3.9099998,2007,0,1,25,7.69,"3",0,1,43810,43
11.1,1.2677103,2.4469986,2011,0,0,28.5,7.69,"3",0,1,43810,43
