"claim_id","quantity","manuscript","recomputed","verdict","note"
"ABS-1","Headline employment effect DHS","0.046 pp; stated 6.9%","coefficient/mean-of-outcome = 6.76%","approx","pp-to-% conversion using Table 3 'Mean of outcome' as base"
"ABS-2","Headline employment effect Afrobarometer","0.077 pp; stated 13.2%","coefficient/mean-of-outcome = 13.28%","check","pp-to-% conversion using Table 3 'Mean of outcome' as base"
"ABS-3","Headline employment effect SA-QLFS","0.022 pp; stated 3.1%","coefficient/mean-of-outcome = 3.06%","check","pp-to-% conversion using Table 3 'Mean of outcome' as base"
"T1-1","Table 1 baseline diff: speed","30.17","30.17","check","difference = connected-unconnected; t sign matches diff sign: TRUE"
"T1-2","Table 1 baseline diff: daily","-0.03","-0.03","check","difference = connected-unconnected; t sign matches diff sign: TRUE"
"T1-3","Table 1 baseline diff: weekly","-0.05","-0.05","check","difference = connected-unconnected; t sign matches diff sign: TRUE"
"T1-4","Table 1 baseline diff: dhs_empl","-0.01","-0.01","check","difference = connected-unconnected; t sign matches diff sign: TRUE"
"T1-5","Table 1 baseline diff: dhs_skill","-0.01","-0.01","check","difference = connected-unconnected; t sign matches diff sign: TRUE"
"T1-6","Table 1 baseline diff: afro_empl","-0.03","-0.03","check","difference = connected-unconnected; t sign matches diff sign: TRUE"
"T1-7","Table 1 baseline diff: sa_empl","0.06","0.06","check","difference = connected-unconnected; t sign matches diff sign: TRUE"
"T1-8","Table 1 baseline diff: sa_skill","0.07","0.06","check","difference = connected-unconnected; t sign matches diff sign: TRUE"
"T1-9","Table 1 baseline diff: hours","-0.11","-0.12","check","difference = connected-unconnected; t sign matches diff sign: TRUE"
"T1-10","Table 1 baseline diff: wants","-0.04","-0.04","check","difference = connected-unconnected; t sign matches diff sign: TRUE"
"T1-11","Table 1 baseline diff: formal","0.07","0.07","check","difference = connected-unconnected; t sign matches diff sign: TRUE"
"T1-12","Table 1 baseline diff: informal","0","0","check","difference = connected-unconnected; t sign matches diff sign: TRUE (diff rounds to 0.00 here; nonzero |t|~0.67 reflects a small underlying value below display precision)"
"T1-13","Table 1 baseline diff: eth_emp","-6.93","-6.93","check","difference = connected-unconnected; t sign matches diff sign: TRUE"
"T1-14","Table 1 baseline diff: eth_skill","0.45","0.45","check","difference = connected-unconnected; t sign matches diff sign: TRUE"
"T1-15","Table 1 baseline diff: net_entry","0.15","0.15","check","difference = connected-unconnected; t sign matches diff sign: TRUE"
"T1-16","Table 1 baseline diff: light","2.21","2.21","check","difference = connected-unconnected; t sign matches diff sign: TRUE"
"PCT-1","% claim: speed c1","35%","35.4%","check","asinh/log coefficient interpreted as percent change"
"PCT-2","% claim: speed c2","36%","36.2%","check","asinh/log coefficient interpreted as percent change"
"PCT-3","% claim: speed c3","38%","38%","check","asinh/log coefficient interpreted as percent change"
"PCT-4","% claim: daily c4","8%","8.2%","check","asinh/log coefficient interpreted as percent change"
"PCT-5","% claim: daily c5","12%","12.4%","check","asinh/log coefficient interpreted as percent change"
"PCT-6","% claim: weekly c6","12%","12.3%","check","asinh/log coefficient interpreted as percent change"
"PCT-7","% claim: weekly c7","14%","14.2%","check","asinh/log coefficient interpreted as percent change"
"PCT-8","% claim: SA hours","10%","10.1%","check","asinh/log coefficient interpreted as percent change"
"PCT-9","% claim: SA firm net entry","23%","22.7%","check","asinh/log coefficient interpreted as percent change"
"PCT-10","% claim: Eth emp","16%","15.6%","check","asinh/log coefficient interpreted as percent change"
"PCT-11","% claim: Eth productivity","13%","12.7%","check","asinh/log coefficient interpreted as percent change"
"PCT-12","% claim: incomes c1","2.4%","2.4%","check","asinh/log coefficient interpreted as percent change"
"PCT-13","% claim: incomes c2","3.3%","3.3%","check","asinh/log coefficient interpreted as percent change"
"N-1","DHS empl N","","","check","Consistency across tables observed: T3=59,914; T4=59,914; T6=59,914; A1=59,914 (N differing across tables reflects different missingness / sample restrictions, which is expected and not contradictory)"
"N-2","Afro empl N","","","check","Consistency across tables observed: T3=7,918; A1=7,918; A2=7,900/7,062/5,871; T6=7,902; T4=7,900 (N differing across tables reflects different missingness / sample restrictions, which is expected and not contradictory)"
"N-3","SA-QLFS empl N","","","check","Consistency across tables observed: T3=280,641; T4=280,641; T6=277,737 (N differing across tables reflects different missingness / sample restrictions, which is expected and not contradictory)"
"N-4","DHS mean","","","check","Consistency across tables observed: T3=0.68; Table1 all=0.68 (N differing across tables reflects different missingness / sample restrictions, which is expected and not contradictory)"
"N-5","Afro mean","","","check","Consistency across tables observed: T3=0.58; Table1 all=0.58 (N differing across tables reflects different missingness / sample restrictions, which is expected and not contradictory)"
"N-6","SA mean","","","check","Consistency across tables observed: T3=0.72; Table1 all=0.72 (N differing across tables reflects different missingness / sample restrictions, which is expected and not contradictory)"
"N-7","DHS skilled N","","","check","Consistency across tables observed: T5=59,966 (N differing across tables reflects different missingness / sample restrictions, which is expected and not contradictory)"
"N-8","DHS skilled mean","","","check","Consistency across tables observed: T5=0.58; Table1 all=0.58 (N differing across tables reflects different missingness / sample restrictions, which is expected and not contradictory)"
"N-9","SA skilled mean","","","check","Consistency across tables observed: T5=0.50; Table1 all=0.50 (N differing across tables reflects different missingness / sample restrictions, which is expected and not contradictory)"
