"ap_payoff","av_payoff","block","category","category_withnoise","condition","correct","counterbalance","dim0","dim1","dim2","dim3","fullinfo","imagenum","indiv_value","individuate","intervention","obscure","obscureNum","obscureNumPhys","physdim0","physdim1","physdim2","physdim3","response","reward","rt","score_post","stimnum","swapdim0","swapdim1","swapdim2","swapdim3","test","trial","uniqueid","exclude"
-3,0,0,0,0,"full_info","False",5,0,0,0,0,1,12,-1,0,0,0,-1,-1,2,3,1,0,1,-3,9527,-3,0,1,1,0,0,0,0,50,0
1,0,0,1,1,"full_info","True",5,0,1,1,0,1,6,-1,0,0,0,-1,-1,2,3,1,0,1,1,3956,-2,6,1,1,0,0,0,1,50,0
1,0,0,1,1,"full_info","True",5,1,0,1,0,1,10,-1,0,0,0,-1,-1,2,3,1,0,1,1,4492,-1,5,1,1,0,0,0,2,50,0
1,0,0,1,1,"full_info","True",5,1,1,1,1,1,3,-1,0,0,0,-1,-1,2,3,1,0,1,1,3780,0,15,1,1,0,0,0,3,50,0
1,0,0,1,1,"full_info","False",5,0,1,0,1,1,5,-1,0,0,0,-1,-1,2,3,1,0,0,0,3276,0,10,1,1,0,0,0,4,50,0
-3,0,0,0,0,"full_info","True",5,0,1,0,0,1,4,-1,0,0,0,-1,-1,2,3,1,0,0,0,6476,0,2,1,1,0,0,0,5,50,0
1,0,0,1,1,"full_info","True",5,0,0,1,1,1,15,-1,0,0,0,-1,-1,2,3,1,0,1,1,900574,1,12,1,1,0,0,0,6,50,0
1,0,0,1,1,"full_info","False",5,0,0,0,1,1,13,-1,0,0,0,-1,-1,2,3,1,0,0,0,3318,1,8,1,1,0,0,0,7,50,0
-3,0,0,0,0,"full_info","True",5,1,0,0,0,1,8,-1,0,0,0,-1,-1,2,3,1,0,0,0,4165,1,1,1,1,0,0,0,8,50,0
-3,0,0,0,0,"full_info","True",5,1,1,0,0,1,0,-1,0,0,0,-1,-1,2,3,1,0,0,0,2574,1,3,1,1,0,0,0,9,50,0
1,0,0,1,1,"full_info","True",5,0,0,1,0,1,14,-1,0,0,0,-1,-1,2,3,1,0,1,1,2628,2,4,1,1,0,0,0,10,50,0
1,0,0,1,1,"full_info","False",5,1,1,0,1,1,1,-1,0,0,0,-1,-1,2,3,1,0,0,0,3221,2,11,1,1,0,0,0,11,50,0
1,0,0,1,1,"full_info","False",5,1,0,0,1,1,9,-1,0,0,0,-1,-1,2,3,1,0,0,0,3762,2,9,1,1,0,0,0,12,50,0
1,0,0,1,1,"full_info","True",5,1,1,1,0,1,2,-1,0,0,0,-1,-1,2,3,1,0,1,1,3524,3,7,1,1,0,0,0,13,50,0
1,0,0,1,1,"full_info","True",5,1,0,1,1,1,11,-1,0,0,0,-1,-1,2,3,1,0,1,1,2164,4,13,1,1,0,0,0,14,50,0
1,0,0,1,1,"full_info","True",5,0,1,1,1,1,7,-1,0,0,0,-1,-1,2,3,1,0,1,1,9700,5,14,1,1,0,0,0,15,50,0
-3,0,1,0,0,"full_info","True",5,1,1,0,0,1,0,-1,0,0,0,-1,-1,2,3,1,0,0,0,20363,5,3,1,1,0,0,0,16,50,0
-3,0,1,0,0,"full_info","True",5,1,0,0,0,1,8,-1,0,0,0,-1,-1,2,3,1,0,0,0,1564,5,1,1,1,0,0,0,17,50,0
1,0,1,1,1,"full_info","True",5,1,0,1,0,1,10,-1,0,0,0,-1,-1,2,3,1,0,1,1,1661,6,5,1,1,0,0,0,18,50,0
1,0,1,1,1,"full_info","True",5,0,0,1,1,1,15,-1,0,0,0,-1,-1,2,3,1,0,1,1,1795,7,12,1,1,0,0,0,19,50,0
1,0,1,1,1,"full_info","True",5,0,1,1,0,1,6,-1,0,0,0,-1,-1,2,3,1,0,1,1,1509,8,6,1,1,0,0,0,20,50,0
1,0,1,1,1,"full_info","False",5,1,0,0,1,1,9,-1,0,0,0,-1,-1,2,3,1,0,0,0,1949,8,9,1,1,0,0,0,21,50,0
1,0,1,1,1,"full_info","True",5,0,0,1,0,1,14,-1,0,0,0,-1,-1,2,3,1,0,1,1,1604,9,4,1,1,0,0,0,22,50,0
1,0,1,1,1,"full_info","True",5,1,1,1,0,1,2,-1,0,0,0,-1,-1,2,3,1,0,1,1,1524,10,7,1,1,0,0,0,23,50,0
1,0,1,1,1,"full_info","True",5,0,1,1,1,1,7,-1,0,0,0,-1,-1,2,3,1,0,1,1,1468,11,14,1,1,0,0,0,24,50,0
1,0,1,1,1,"full_info","False",5,1,1,0,1,1,1,-1,0,0,0,-1,-1,2,3,1,0,0,0,1644,11,11,1,1,0,0,0,25,50,0
1,0,1,1,1,"full_info","False",5,0,1,0,1,1,5,-1,0,0,0,-1,-1,2,3,1,0,0,0,2740,11,10,1,1,0,0,0,26,50,0
