"ap_payoff","av_payoff","block","category","condition","correct","counterbalance","dim0","dim1","dim2","dim3","fullinfo","imagenum","indiv_value","individuate","obscure","obscureNum","obscureNumPhys","physdim0","physdim1","physdim2","physdim3","response","reward","rt","score_post","stimnum","swapdim0","swapdim1","swapdim2","swapdim3","test","trial","uniqueid","exclude"
1,0,0,1,"full_info","True",0,0,0,1,0,"True",2,-1,"False","False",-1,-1,1,0,3,2,1,1,9898,1,4,1,0,1,0,"False",0,18,0
1,0,0,1,"full_info","True",0,1,1,1,1,"True",5,-1,"False","False",-1,-1,1,0,3,2,1,1,193074,2,15,1,0,1,0,"False",1,18,0
-4,0,0,0,"full_info","True",0,1,1,0,0,"True",9,-1,"False","False",-1,-1,1,0,3,2,0,0,16203,2,3,1,0,1,0,"False",2,18,0
1,0,0,1,"full_info","True",0,1,0,1,0,"True",0,-1,"False","False",-1,-1,1,0,3,2,1,1,9697,3,5,1,0,1,0,"False",3,18,0
1,0,0,1,"full_info","False",0,0,0,0,1,"True",14,-1,"False","False",-1,-1,1,0,3,2,0,0,10550,3,8,1,0,1,0,"False",4,18,0
1,0,0,1,"full_info","True",0,1,0,1,1,"True",4,-1,"False","False",-1,-1,1,0,3,2,1,1,10886,4,13,1,0,1,0,"False",5,18,0
1,0,0,1,"full_info","True",0,1,0,0,1,"True",12,-1,"False","False",-1,-1,1,0,3,2,1,1,11484,5,9,1,0,1,0,"False",6,18,0
-4,0,0,0,"full_info","True",0,0,1,0,0,"True",11,-1,"False","False",-1,-1,1,0,3,2,0,0,15087,5,2,1,0,1,0,"False",7,18,0
1,0,0,1,"full_info","False",0,0,1,1,0,"True",3,-1,"False","False",-1,-1,1,0,3,2,0,0,17102,5,6,1,0,1,0,"False",8,18,0
1,0,0,1,"full_info","True",0,0,1,0,1,"True",15,-1,"False","False",-1,-1,1,0,3,2,1,1,5029,6,10,1,0,1,0,"False",9,18,0
-4,0,0,0,"full_info","True",0,0,0,0,0,"True",10,-1,"False","False",-1,-1,1,0,3,2,0,0,3057,6,0,1,0,1,0,"False",10,18,0
-4,0,0,0,"full_info","True",0,1,0,0,0,"True",8,-1,"False","False",-1,-1,1,0,3,2,0,0,3259,6,1,1,0,1,0,"False",11,18,0
1,0,0,1,"full_info","False",0,1,1,1,0,"True",1,-1,"False","False",-1,-1,1,0,3,2,0,0,4682,6,7,1,0,1,0,"False",12,18,0
1,0,0,1,"full_info","True",0,1,1,0,1,"True",13,-1,"False","False",-1,-1,1,0,3,2,1,1,4562,7,11,1,0,1,0,"False",13,18,0
1,0,0,1,"full_info","True",0,0,1,1,1,"True",7,-1,"False","False",-1,-1,1,0,3,2,1,1,4383,8,14,1,0,1,0,"False",14,18,0
1,0,0,1,"full_info","True",0,0,0,1,1,"True",6,-1,"False","False",-1,-1,1,0,3,2,1,1,3171,9,12,1,0,1,0,"False",15,18,0
1,0,1,1,"full_info","True",0,0,1,1,1,"True",7,-1,"False","False",-1,-1,1,0,3,2,1,1,2589,10,14,1,0,1,0,"False",16,18,0
1,0,1,1,"full_info","True",0,1,0,1,1,"True",4,-1,"False","False",-1,-1,1,0,3,2,1,1,3123,11,13,1,0,1,0,"False",17,18,0
1,0,1,1,"full_info","False",0,0,1,0,1,"True",15,-1,"False","False",-1,-1,1,0,3,2,0,0,4413,11,10,1,0,1,0,"False",18,18,0
1,0,1,1,"full_info","True",0,1,1,0,1,"True",13,-1,"False","False",-1,-1,1,0,3,2,1,1,3399,12,11,1,0,1,0,"False",19,18,0
-4,0,1,0,"full_info","True",0,1,0,0,0,"True",8,-1,"False","False",-1,-1,1,0,3,2,0,0,4934,12,1,1,0,1,0,"False",20,18,0
1,0,1,1,"full_info","True",0,1,0,0,1,"True",12,-1,"False","False",-1,-1,1,0,3,2,1,1,51129,13,9,1,0,1,0,"False",21,18,0
1,0,1,1,"full_info","True",0,0,0,1,1,"True",6,-1,"False","False",-1,-1,1,0,3,2,1,1,3094,14,12,1,0,1,0,"False",22,18,0
-4,0,1,0,"full_info","True",0,1,1,0,0,"True",9,-1,"False","False",-1,-1,1,0,3,2,0,0,2997,14,3,1,0,1,0,"False",23,18,0
1,0,1,1,"full_info","False",0,1,1,1,0,"True",1,-1,"False","False",-1,-1,1,0,3,2,0,0,3252,14,7,1,0,1,0,"False",24,18,0
1,0,1,1,"full_info","True",0,1,1,1,1,"True",5,-1,"False","False",-1,-1,1,0,3,2,1,1,3843,15,15,1,0,1,0,"False",25,18,0
-4,0,1,0,"full_info","True",0,0,0,0,0,"True",10,-1,"False","False",-1,-1,1,0,3,2,0,0,4347,15,0,1,0,1,0,"False",26,18,0
-4,0,1,0,"full_info","True",0,0,1,0,0,"True",11,-1,"False","False",-1,-1,1,0,3,2,0,0,3144,15,2,1,0,1,0,"False",27,18,0
1,0,1,1,"full_info","True",0,0,0,0,1,"True",14,-1,"False","False",-1,-1,1,0,3,2,1,1,2926,16,8,1,0,1,0,"False",28,18,0
1,0,1,1,"full_info","True",0,1,0,1,0,"True",0,-1,"False","False",-1,-1,1,0,3,2,1,1,3161,17,5,1,0,1,0,"False",29,18,0
1,0,1,1,"full_info","True",0,0,1,1,0,"True",3,-1,"False","False",-1,-1,1,0,3,2,1,1,2749,18,6,1,0,1,0,"False",30,18,0
1,0,1,1,"full_info","True",0,0,0,1,0,"True",2,-1,"False","False",-1,-1,1,0,3,2,1,1,2722,19,4,1,0,1,0,"False",31,18,0
-4,0,2,0,"full_info","True",0,1,0,0,0,"True",8,-1,"False","False",-1,-1,1,0,3,2,0,0,4892,19,1,1,0,1,0,"False",32,18,0
1,0,2,1,"full_info","True",0,1,0,1,0,"True",0,-1,"False","False",-1,-1,1,0,3,2,1,1,3875,20,5,1,0,1,0,"False",33,18,0
1,0,2,1,"full_info","True",0,0,1,0,1,"True",15,-1,"False","False",-1,-1,1,0,3,2,1,1,3068,21,10,1,0,1,0,"False",34,18,0
1,0,2,1,"full_info","True",0,0,0,0,1,"True",14,-1,"False","False",-1,-1,1,0,3,2,1,1,2839,22,8,1,0,1,0,"False",35,18,0
1,0,2,1,"full_info","True",0,1,1,1,0,"True",1,-1,"False","False",-1,-1,1,0,3,2,1,1,4309,23,7,1,0,1,0,"False",36,18,0
1,0,2,1,"full_info","True",0,1,1,1,1,"True",5,-1,"False","False",-1,-1,1,0,3,2,1,1,2552,24,15,1,0,1,0,"False",37,18,0
1,0,2,1,"full_info","True",0,1,1,0,1,"True",13,-1,"False","False",-1,-1,1,0,3,2,1,1,3532,25,11,1,0,1,0,"False",38,18,0
-4,0,2,0,"full_info","True",0,1,1,0,0,"True",9,-1,"False","False",-1,-1,1,0,3,2,0,0,3334,25,3,1,0,1,0,"False",39,18,0
1,0,2,1,"full_info","True",0,0,1,1,0,"True",3,-1,"False","False",-1,-1,1,0,3,2,1,1,3733,26,6,1,0,1,0,"False",40,18,0
1,0,2,1,"full_info","True",0,1,0,1,1,"True",4,-1,"False","False",-1,-1,1,0,3,2,1,1,3386,27,13,1,0,1,0,"False",41,18,0
-4,0,2,0,"full_info","True",0,0,1,0,0,"True",11,-1,"False","False",-1,-1,1,0,3,2,0,0,4319,27,2,1,0,1,0,"False",42,18,0
-4,0,2,0,"full_info","True",0,0,0,0,0,"True",10,-1,"False","False",-1,-1,1,0,3,2,0,0,3413,27,0,1,0,1,0,"False",43,18,0
1,0,2,1,"full_info","True",0,0,1,1,1,"True",7,-1,"False","False",-1,-1,1,0,3,2,1,1,3029,28,14,1,0,1,0,"False",44,18,0
1,0,2,1,"full_info","True",0,1,0,0,1,"True",12,-1,"False","False",-1,-1,1,0,3,2,1,1,3805,29,9,1,0,1,0,"False",45,18,0
1,0,2,1,"full_info","True",0,0,0,1,0,"True",2,-1,"False","False",-1,-1,1,0,3,2,1,1,4093,30,4,1,0,1,0,"False",46,18,0
1,0,2,1,"full_info","True",0,0,0,1,1,"True",6,-1,"False","False",-1,-1,1,0,3,2,1,1,3641,31,12,1,0,1,0,"False",47,18,0
1,0,3,1,"full_info","True",0,1,1,1,0,"True",1,-1,"False","False",-1,-1,1,0,3,2,1,1,4476,32,7,1,0,1,0,"False",48,18,0
-4,0,3,0,"full_info","True",0,0,1,0,0,"True",11,-1,"False","False",-1,-1,1,0,3,2,0,0,3730,32,2,1,0,1,0,"False",49,18,0
-4,0,3,0,"full_info","True",0,1,1,0,0,"True",9,-1,"False","False",-1,-1,1,0,3,2,0,0,3323,32,3,1,0,1,0,"False",50,18,0
1,0,3,1,"full_info","True",0,0,1,1,0,"True",3,-1,"False","False",-1,-1,1,0,3,2,1,1,6254,33,6,1,0,1,0,"False",51,18,0
1,0,3,1,"full_info","True",0,0,1,1,1,"True",7,-1,"False","False",-1,-1,1,0,3,2,1,1,3136,34,14,1,0,1,0,"False",52,18,0
1,0,3,1,"full_info","True",0,1,1,1,1,"True",5,-1,"False","False",-1,-1,1,0,3,2,1,1,4293,35,15,1,0,1,0,"False",53,18,0
1,0,3,1,"full_info","True",0,1,0,1,1,"True",4,-1,"False","False",-1,-1,1,0,3,2,1,1,3444,36,13,1,0,1,0,"False",54,18,0
1,0,3,1,"full_info","True",0,1,0,1,0,"True",0,-1,"False","False",-1,-1,1,0,3,2,1,1,6301,37,5,1,0,1,0,"False",55,18,0
1,0,3,1,"full_info","True",0,0,0,1,1,"True",6,-1,"False","False",-1,-1,1,0,3,2,1,1,6400,38,12,1,0,1,0,"False",56,18,0
1,0,3,1,"full_info","True",0,0,0,1,0,"True",2,-1,"False","False",-1,-1,1,0,3,2,1,1,5315,39,4,1,0,1,0,"False",57,18,0
1,0,3,1,"full_info","True",0,0,1,0,1,"True",15,-1,"False","False",-1,-1,1,0,3,2,1,1,4101,40,10,1,0,1,0,"False",58,18,0
-4,0,3,0,"full_info","True",0,1,0,0,0,"True",8,-1,"False","False",-1,-1,1,0,3,2,0,0,4478,40,1,1,0,1,0,"False",59,18,0
1,0,3,1,"full_info","True",0,1,0,0,1,"True",12,-1,"False","False",-1,-1,1,0,3,2,1,1,3077,41,9,1,0,1,0,"False",60,18,0
1,0,3,1,"full_info","True",0,1,1,0,1,"True",13,-1,"False","False",-1,-1,1,0,3,2,1,1,3198,42,11,1,0,1,0,"False",61,18,0
1,0,3,1,"full_info","True",0,0,0,0,1,"True",14,-1,"False","False",-1,-1,1,0,3,2,1,1,3880,43,8,1,0,1,0,"False",62,18,0
-4,0,3,0,"full_info","True",0,0,0,0,0,"True",10,-1,"False","False",-1,-1,1,0,3,2,0,0,2997,43,0,1,0,1,0,"False",63,18,0
1,0,4,1,"full_info","True",0,0,0,1,0,"True",2,-1,"False","False",-1,-1,1,0,3,2,1,1,2985,44,4,1,0,1,0,"False",64,18,0
1,0,4,1,"full_info","True",0,1,1,0,1,"True",13,-1,"False","False",-1,-1,1,0,3,2,1,1,3003,45,11,1,0,1,0,"False",65,18,0
-4,0,4,0,"full_info","True",0,0,1,0,0,"True",11,-1,"False","False",-1,-1,1,0,3,2,0,0,4110,45,2,1,0,1,0,"False",66,18,0
1,0,4,1,"full_info","True",0,0,1,1,1,"True",7,-1,"False","False",-1,-1,1,0,3,2,1,1,6945,46,14,1,0,1,0,"False",67,18,0
1,0,4,1,"full_info","True",0,1,0,0,1,"True",12,-1,"False","False",-1,-1,1,0,3,2,1,1,3553,47,9,1,0,1,0,"False",68,18,0
1,0,4,1,"full_info","True",0,0,0,1,1,"True",6,-1,"False","False",-1,-1,1,0,3,2,1,1,4464,48,12,1,0,1,0,"False",69,18,0
1,0,4,1,"full_info","True",0,1,1,1,1,"True",5,-1,"False","False",-1,-1,1,0,3,2,1,1,3104,49,15,1,0,1,0,"False",70,18,0
-4,0,4,0,"full_info","True",0,1,0,0,0,"True",8,-1,"False","False",-1,-1,1,0,3,2,0,0,3124,49,1,1,0,1,0,"False",71,18,0
-4,0,4,0,"full_info","True",0,1,1,0,0,"True",9,-1,"False","False",-1,-1,1,0,3,2,0,0,3722,49,3,1,0,1,0,"False",72,18,0
-4,0,4,0,"full_info","True",0,0,0,0,0,"True",10,-1,"False","False",-1,-1,1,0,3,2,0,0,3150,49,0,1,0,1,0,"False",73,18,0
1,0,4,1,"full_info","True",0,1,1,1,0,"True",1,-1,"False","False",-1,-1,1,0,3,2,1,1,4295,50,7,1,0,1,0,"False",74,18,0
1,0,4,1,"full_info","True",0,0,1,0,1,"True",15,-1,"False","False",-1,-1,1,0,3,2,1,1,3013,51,10,1,0,1,0,"False",75,18,0
1,0,4,1,"full_info","True",0,1,0,1,0,"True",0,-1,"False","False",-1,-1,1,0,3,2,1,1,4420,52,5,1,0,1,0,"False",76,18,0
