"ap_payoff","av_payoff","block","category","category_withnoise","condition","correct","counterbalance","dim0","dim1","dim2","dim3","fullinfo","imagenum","indiv_value","individuate","intervention","obscure","obscureNum","obscureNumPhys","physdim0","physdim1","physdim2","physdim3","response","reward","rt","score_post","stimnum","swapdim0","swapdim1","swapdim2","swapdim3","test","trial","uniqueid","exclude"
-3,0,0,0,0,"full_info","False",4,1,1,0,0,1,14,-1,0,0,0,-1,-1,1,3,0,2,1,-3,12697,-3,3,0,0,0,1,0,0,112,0
1,0,0,1,1,"full_info","True",4,0,1,1,1,1,9,-1,0,0,0,-1,-1,1,3,0,2,1,1,2395,-2,14,0,0,0,1,0,1,112,0
-3,0,0,0,0,"full_info","True",4,1,0,0,0,1,6,-1,0,0,0,-1,-1,1,3,0,2,0,0,2831,-2,1,0,0,0,1,0,2,112,0
1,0,0,1,1,"full_info","False",4,0,0,1,1,1,1,-1,0,0,0,-1,-1,1,3,0,2,0,0,1647,-2,12,0,0,0,1,0,3,112,0
1,0,0,1,1,"full_info","True",4,1,1,1,0,1,15,-1,0,0,0,-1,-1,1,3,0,2,1,1,1619,-1,7,0,0,0,1,0,4,112,0
1,0,0,1,1,"full_info","False",4,0,0,0,1,1,0,-1,0,0,0,-1,-1,1,3,0,2,0,0,1259,-1,8,0,0,0,1,0,5,112,0
1,0,0,1,1,"full_info","False",4,1,0,0,1,1,2,-1,0,0,0,-1,-1,1,3,0,2,0,0,1988,-1,9,0,0,0,1,0,6,112,0
1,0,0,1,1,"full_info","True",4,0,1,0,1,1,8,-1,0,0,0,-1,-1,1,3,0,2,1,1,1338,0,10,0,0,0,1,0,7,112,0
1,0,0,1,1,"full_info","False",4,0,0,1,0,1,5,-1,0,0,0,-1,-1,1,3,0,2,0,0,1408,0,4,0,0,0,1,0,8,112,0
-3,0,0,0,0,"full_info","True",4,0,1,0,0,1,12,-1,0,0,0,-1,-1,1,3,0,2,0,0,1814,0,2,0,0,0,1,0,9,112,0
