"antennae","body","changingstrategy","condition","counterbalance","dangerpercent","difficulty","education","engagement","finalscore","gender","howtoimprove","instructionloops","legs","major","numdimchecked","penpaper","strategy","uniqueid","wings","exclude","rightdimensions","trapdimensions"
0,0,"no","full_info",4,35,4,"somecollege",7,0.8,"male","na",0,0,"mathscience",1,"no","na",1,1,0,0,1
0,0,"No","contingent",4,40,2,"somecollege",9,1.48,"female","No comment",0,1,"noresp",2,"no","I looked mostly at the differences in the legs and wings.",67,1,0,1,0
1,0,"Yes, once I figured out the pattern I stopped getting stung.","contingent",0,50,3,"bachelors",10,1.2,"female","No, I really enjoyed this, thank you!",0,0,"mathscience",2,"no","Yes, I always avoided bees that had both single wings and antennae. I always harvested  bees that either lacked antennae and/or had double wings (this may not be clear-- I harvested if I saw either of these characteristics: no antennae / double wings).",62,1,0,1,0
1,0,"No.  I was fortunate in that I only needed to risk harvesting about 3 or 4 unknowns before I knew the variable which should be avoided.","contingent",1,50,1,"somecollege",8,1.36,"male","No",0,0,"socialscience",1,"no","I used deduction.",16,0,0,0,1
0,1,"No","contingent",5,63,0,"highschool",8,0.36,"female","No",2,0,"noresp",2,"no","None",25,1,0,0,0
1,1,"no","contingent",3,40,2,"highschool",10,0.88,"female","good surveyl. it was fun",0,1,"noresp",4,"no","if they had 2 or more of the telling signs, i assumed they were hostile",99,1,0,0,0
0,1,"No","contingent",2,10,7,"somecollege",10,1.42,"female","Thank you!",0,0,"humanities",2,"no","Just trying to pay attention to features that were dangerous and made a mental note of it.",8,1,0,1,0
0,1,"no nothing changed","full_info",2,25,2,"somegrad",5,1.8,"female","",1,0,"other",2,"no","I did not have a particular strategy just guessing until i could figure it out",56,1,0,1,0
1,1,"No","full_info",1,10,2,"bachelors",8,1.46,"male","No",2,0,"engineering",2,"noresp","Harvested until I figured out the pattern.",19,0,0,1,0
1,0,"No.","full_info",3,15,8,"somecollege",10,1.1,"male","None.",0,1,"socialscience",2,"no","At first I just tried to learn the characteristics of the dangerous bees. Then I tried to apply what I learned. I kept getting it wrong, but eventually, I got it.",39,0,0,1,0
1,1,"no","full_info",5,40,4,"highschool",10,1,"male","fun survey",2,1,"noresp",4,"no","if the bees had all of the attributes, then i thought they would sting me",11,1,0,0,0
1,0,"n/a","full_info",0,20,7,"somecollege",8,1.02,"male","n/a",0,0,"noresponse",1,"no","n/a",17,0,0,0,1
0,1,"After getting dangerous bees twice, it felt pointless to keep trying considering it would take 20 good bees to just make back the 20 cent.","contingent",2,90,10,"highschool",3,-0.22,"female","n/a",0,0,"noresponse",2,"no","n/a",60,1,0,1,0
0,0,"Yes, I just started avoiding every one so as not to lose any more money. At first I thought I might be learning some pattern, but apparently not, so I just went into life-saving mode and avoided everything.","full_info",3,50,10,"somecollege",5,-0.2,"male","",0,0,"other",0,"no","I thought I had picked out a few friendly patterns, but then they started stinging me. Apparently I'm an idiot.",74,0,0,0,0
0,1,"Just got a bit better a identifying dangerous bees with practice","full_info",5,30,1,"highschool",8,1.26,"male","No",0,1,"noresp",2,"no","Just watched for bees with spots and two legs for the most part",72,0,0,1,0
1,1,"Not sure, I kept getting money for the bees I was sure about.","contingent",4,40,9,"masters",10,0.16,"female","Nope",1,0,"socialscience",3,"no","I tried to remember just  few key bees, I was overwhelmed to be honest.",100,1,0,0,0
0,1,"No.","contingent",1,30,10,"somecollege",5,0.16,"female","No.",0,1,"socialscience",2,"no","I just tried to remember which bees were which.",31,0,0,0,0
0,1,"","full_info",4,31,6,"highschool",7,-0.56,"male","",2,0,"noresp",2,"no","",41,1,0,0,0
0,1,"No","contingent",3,20,7,"bachelors",8,0.46,"male","No",0,0,"socialscience",2,"no","Just trying to recall the images that stung or did not sting",59,1,0,0,0
1,1,"I was a little more confident in my decisions the second time around.","contingent",0,60,8,"somecollege",10,0.38,"female","It was a lot of fun.",0,1,"business",3,"no","I harvested from all the bees at first to see what features I needed to look out for.  I noticed that a combination of six legs, no antenna, and spots were characteristics of dangerous bees.",83,0,0,0,0
0,1,"After i lost twice on bees with spots I avoided all with spots.","contingent",5,50,5,"bachelors",10,1.16,"female","nope!",0,0,"humanities",1,"no","I only focused on stripes and spots.",94,0,0,0,1
0,0,"No","full_info",2,20,9,"somecollege",7,-0.08,"male","No",1,0,"noresp",1,"no","N/A",65,1,0,0,1
1,1,"Not at all.  ","full_info",1,10,0,"bachelors",10,1.16,"male","You make me a proud NYU Alum by making one of the best surveys I've ever taken on MTurk.  In my opinion, I've lost engagement with other studies and they just dragged on. This study is excellent in keeping attention and engagement.  What happens is that responses remain relevant.",0,0,"business",2,"no","In the end of the day, I just tried really hard to memorize which bees were dangerous based on the bees' features.  ",50,0,0,1,0
0,1,"n/a","full_info",0,20,7,"highschool",9,0,"male","n/a",0,0,"other",1,"no","n/a",44,0,0,0,1
