"changingstrategy","condition","counterbalance","dangerpercent","degree","difficulty","education","engagement","finalscore","gender","howtoimprove","instructionloops","major","numdimchecked","pastemployer","pastposition","penpaper","skill","strategy","uniqueid","exclude","rightdimensions","trapdimensions"
"no","full_info",0,25,0,2,"somecollege","10",164,"female","no",0,"business",2,0,1,"no",1,"I figured out that computer programming was only good when it wasnt paired with market research. Graphic design was always good no matter what it was paired with. I totally disregarded the top two qualifications after the first couple of applicants.",18,0,1,0
"no","occluded",2,50,0,4,"bachelors","8",99,"female","no",0,"mathscience",1,1,0,"no",0,"I rejected anyone with Hudson as previous employer - used trial and error to determine that this was the criteria",59,0,0,1
"No","individuated",2,15,0,3,"masters","9",146,"male","n/a",0,"business",2,1,0,"no",1,"I just tried to find the combination that created unsuitable candidates.",51,0,1,0
"No","occluded",0,60,0,8,"bachelors","10",94,"female","",1,"business",2,0,1,"no",1,"n/a",1,0,1,0
"I kept thinking I'd figured it out, but then I would get confused again :(","occluded",3,30,1,10,"bachelors","5",26,"female","no",0,"mathscience",3,0,1,"no",1,"I was trying to figure out what categories were important for determining whether someone was suitable/unsuitable, and whether they were related to each other.",117,0,0,0
"I found nothing to change.","contingent",0,40,0,2,"bachelors","9",118,"male","Thank you!",0,"humanities",2,0,1,"no",1,"I didn't have a particular strategy. I simply tested the waters and tried to determine what worked in my favor.",34,0,1,0
"When I got -4 I was more cautious and paid attention more.","individuated",5,45,0,5,"bachelors","9",125,"male","Not at this time.",1,"humanities",1,1,0,"no",0,"Found out a method that worked with employment and stuck with it, probably missed some.",99,0,0,1
"","occluded",5,55,1,8,"bachelors","7",107,"male","",4,"engineering",2,1,0,"no",0,"Mostly just focused on degree.",25,1,1,0
"yes, i changed the way I played once I found the pattern.","full_info",4,10,1,5,"somecollege","10",136,"male","",1,"business",2,0,0,"no",1,"At first I wasn't sure, but once I figured out the pattern - aka Economics mixed with Computer programming was the only one that made it go negative - it got easy.",60,0,1,0
"None","individuated",1,45,0,2,"highschool","10",95,"female","None",0,"noresp",1,0,1,"no",0,"Seeing their field of study, market research or product development",44,0,0,1
"No. Once I got my strategy down, I just stuck to it. ","individuated",3,40,1,4,"somecollege","10",118,"female","no",0,"other",3,0,1,"no",1,"I figured the developer (not market research) was the more sought after job experience. Each one of these I accepted got approved and after awhile I didn't question that job title. I had to play around with the market research title, since I don't take that to be a very sought after position. But since so many applicants had market research, I wanted to take a few chances. So I tried market research engineering degree, no. Then with computer programming. I got a couple of yeses, but a few nos, so I knew there was more to the criteria than that. So I tried market research with one place of business, still no. Then I tried the combination of market research, computer programmer, and business degree and got a yes. So I knew always to hire that combination plus the developer (or whatever the other one was besides market researcher.) I could have experimented some more but .04 was too much to lose, so I just stuck with this strategy. ",68,0,0,0
"no","occluded",4,40,0,3,"highschool","7",113,"male","no",1,"noresp",1,0,0,"no",1,"graphics editing seemed to be the key",97,0,0,1
"","full_info",3,43,1,1,"somecollege","10",161,"female","",1,"business",2,0,1,"no",0,"",95,0,1,0
