paper_id	pdf_filename	location	type	filename	description	source	sharing
88xa	Savani_PsychologSci_2010_88xa	Original Materials	File	Savani_PsychologSci_2010_88xa_extracted_claims.html	This contains a table documenting the specific claim from this paper that is being tested	COS Generated file	public
88xa	Savani_PsychologSci_2010_88xa	Original Materials	File	Savani_PsychologSci_2010_88xa_file_list.tsv	This is the full list of files, the file you are looking at right now	COS Generated file	public
88xa	Savani_PsychologSci_2010_88xa	Original Materials	File	Savani_PsychologSci_2010_88xa_extracted_RRP_text.md	This contains text extracted from the paper which will be relevant for conducting a replication or reproduction of the target claim	COS Generated file	article
88xa	Savani_PsychologSci_2010_88xa	Methods and Materials	File	author_notes_methods.txt	Information from the author which is relevant to conducting the study/collecting data	author	public
88xa	Savani_PsychologSci_2010_88xa	Methods and Materials	File	Instructions Choice.doc	Instructions given to participants in the choice condition	author	public
88xa	Savani_PsychologSci_2010_88xa	Methods and Materials	File	Instructions Touch.doc	Instructions given to participants in the touch condition	author	public
88xa	Savani_PsychologSci_2010_88xa	Methods and Materials	File	Style.drt	Style file needed to run the experiment in DirectRT	author	public
88xa	Savani_PsychologSci_2010_88xa	Methods and Materials	File	Video1.csv	CSV file needed to run the expeirment in DirectRT	author	public
88xa	Savani_PsychologSci_2010_88xa	Data	File	author_notes_data.txt	Information from the author about the dataset from the original study	author	public
88xa	Savani_PsychologSci_2010_88xa	Data	File	Data by Subject KS.xlsx	Data in 1-row-per-subject form, with analytic DV (number of clicks) calculated per sobject	author	public
88xa	Savani_PsychologSci_2010_88xa	Data	File	Data by Trial.xls	Raw data as outputted from DirectRT (outputs to Excel?), with the addition of 1 column	author	public
88xa	Savani_PsychologSci_2010_88xa	Analysis	File	author_notes_analysis.txt	Information from the author concerning the processing and analysis of the data for the focal SCORE claim	author	public
88xa	Savani_PsychologSci_2010_88xa	Analysis	File	Results 2019.docx	STATA output from the Data By Subject excel file which shows the recalculation of the ANOVA performed by the authors	author	public
88xa	Savani_PsychologSci_2010_88xa	Methods and Materials	Website	https://www.youtube.com/watch?v=F2LVsAdXRkI	The stimulus video which all participants watch during the study	authnor	public
88xa	Savani_PsychologSci_2010_88xa	Original Materials	File	author_communications.txt	RS NEEDS TO PROVIDE A DESCRIPTION OF THIS FILE	NA	NA
88xa	Savani_PsychologSci_2010_88xa	Original Materials	File	Savani_PsychologSci_2010_88xa_extracted_RRP_text.html	RS NEEDS TO PROVIDE A DESCRIPTION OF THIS FILE	NA	NA
88xa	Savani_PsychologSci_2010_88xa	Analysis	File	~$sults 2019.docx	RS NEEDS TO PROVIDE A DESCRIPTION OF THIS FILE	NA	NA
