Country,country,MajorLanguage,AvgFemalePitch,AvgMalePitch,Fertility,Homicide,Urban,GDP,Mortality,Gini,YLCD,LExp,GII,HDI,HPrev,GFSI,RelationalMobility,SOI_Women
Brazil,BR,Portuguese,205.4819,132.0284,1.73,27.383,86.824,1.84,6.452,53.9,0.139217545,75.13,0.408,0.765,0.93,70.1,0.203,27.13
Canada,CA,English,191.4673,120.4947273,1.439,1.756,81.482,1.736,7.7,33.3,0.05567436,81.76,0.08,0.929,-1.31,82.4,0.175,27.3
Chile,CL,Spanish,241.7471,131.8086,1.649,4.405,87.643,0.282,6.163,44.4,0.081427815,79.82,0.247,0.851,-0.45,75.5,0.109,
China,CN,Mandarin Chinese,232.8393,128.0722,1.69,0.527,60.308,14.343,7.1,38.5,0.037785915,76.64,0.168,0.761,1.03,71,,
Colombia,CO,Spanish,241.7471,131.8086,1.807,25.344,81.104,0.324,5.562,50.4,0.101326681,78.35,0.428,0.767,0.27,69.4,0.199,
Denmark,DK,Danish,247.0814,117.9327,1.75,1.008,87.994,0.3501,9.5,28.7,0.065004689,80.59,0.038,0.94,-0.98,81,,
El Salvador,SV,Spanish,241.7471,131.8086,2.039,52.019,72.746,0.027,7.04,38.6,0.108324313,73.25,0.383,0.673,0.3,60.7,,
Germany,DE,German,223.1531,161.1761,1.56,0.948,77.376,3.861,11.5,31.9,0.04813842,80.42,0.084,0.947,-0.87,81.5,-0.011,34.44
India,IN,Hindi,210.9266,138.7858,2.222,3.079,34.472,2.869,7.234,37.8,0.260231103,69.31,0.488,0.645,0.94,58.9,,
Iran,IR,Western Farsi,218.8747,118.241,2.137,2.499,75.391,0.4539,4.843,40.8,0.079283793,76.66,0.459,0.783,-0.15,,,
Korea,KR,Korean,232.8393,130.7147,0.977,0.604,81.43,1.647,5.8,31.6,0.101144006,82.2,0.064,0.916,-0.11,73.6,-0.007,16.22
Madgascar,MG,Plateau Malagasy,233.3433,117.5853,4.077,,37.861,0.014,6.055,42.6,0.462412127,64.19,,0.528,0.63,37.9,,
Mexico,MX,Spanish,241.7471,131.8086,2.129,29.071,80.444,1.269,6.01,45.4,0.098212055,75.87,0.322,0.779,0.28,69.4,0.359,25.99
Netherlands,NL,Dutch,239.1403,131.3669,1.62,0.586,91.876,0.907,8.9,28.5,0.052476029,81.28,0.043,0.944,-0.87,82,0.197,31.56
NewZealand,NZ,English,191.4673,120.4947273,1.71,1.04,86.615,0.2069,6.86,,0.045533724,81.31,0.123,0.931,-0.98,78.8,0.083,38.79
Nicaragua,NI,Spanish,241.7471,131.8086,2.404,7.186,58.76,0.013,5.061,46.2,0.108641013,74.62,0.428,0.66,,54.2,,
Peru,PE,Spanish,241.7471,131.8086,2.254,7.909,78.099,0.227,5.503,42.8,0.203226155,79.08,0.395,0.777,0.23,63.3,,21.23
Scotland,GB,English,191.4673,120.4947273,1.74,1.205,83.652,2.829,9.3,34.8,0.077109994,80.65,0.118,0.932,-1.31,79.1,0.044,29.6
Singapore,SG,Mandarin Chinese,232.8393,128.0722,1.14,0.156,100,0.372,5,,0.226995729,82.81,0.065,0.938,0.31,87.4,-0.137,
Spain,ES,Spanish,241.7471,131.8086,1.31,0.621,80.565,1.393,9.1,34.7,0.050889391,82.33,0.07,0.904,-0.05,75.5,0.128,25.17
Uganda,UG,Ganda,209.5805,123.6861,4.955,10.524,24.361,0.035,6.554,42.8,0.544540268,64.47,0.535,0.544,1.05,46.2,,
USA,US,English,191.4673,120.4947273,1.73,4.957,82.459,21.433,8.6,41.4,0.051612638,78.56,0.204,0.926,-0.89,83.7,0.182,29.24
