handle,author_id,name,party,N_tweets,followers_count,following_count,tweet_count,created_at,congress,type,NG_unreliable_share,NG_score_mean,accuracy_mean,transparency_mean,independent_unreliable_share,avg_belief_score,avg_truth_score,avg_belief_score_2010_to_2013,avg_truth_score_2010_to_2013,avg_belief_score_2019_to_2022,avg_truth_score_2019_to_2022,LIWC_analytic_mean,LIWC_authentic_mean,LIWC_moral_mean,VADER_neg_mean,VADER_pos_mean,VADER_neu_mean,VADER_compound_mean,ideology_mean,ideology_std,ideology_count,state,pf_score
RepCori,1002630999052865536,Congresswoman Cori Bush,Democrat,1471,116684,297,1866,2018-06-01 19:20:32+00:00,118.0,official,0.0,91.925,3.9625,2.775,0.0,-0.0008804480991194245,0.0020627995845779817,,,-0.0008804480991194245,0.0020627995845779817,76.86549286199865,25.171638341264448,0.9825968728755949,0.0828150917743032,0.13642760027192385,0.7807620666213461,0.16596757307953774,0.1020910534157008,,1.0,MO,
RepFitzgerald,1004891731,Rep. Scott Fitzgerald,Republican,2043,11409,820,2936,2012-12-11 21:01:37+00:00,118.0,official,0.004016064257028112,90.99799196787149,3.989247311827957,2.817204301075269,0.03225806451612903,-0.018740753630707718,0.0019214428752517534,-0.03804090566549133,0.006911602651190456,0.032401094134616365,0.026272132991491455,86.87770435633871,30.90593734703867,0.38405775819872734,0.04338766519823789,0.14205041605482135,0.8145580029368575,0.23864116495349977,0.553606019436705,,1.0,WI,
RepLipinski,1009269193,Former Rep. Daniel Lipinski,Democrat,3524,19355,2459,4350,2012-12-13 17:03:06+00:00,116.0,official,0.0,93.53063241106719,4.454545454545454,2.9783549783549783,0.0,-0.03753423162944156,-0.01696046152006966,-0.06727137876522707,-0.04633762194860494,-0.023416082461312944,-0.002644640382724686,84.29313280363223,30.01438422247446,0.6040692395005675,0.04462996594778661,0.16239897843359818,0.7929716231555051,0.3667418274687855,0.471657023591997,0.05587357578848138,8.0,IL,
CaptClayHiggins,1011053278304591872,Clay Higgins,Republican,58,5308,160,70,2018-06-25 01:07:40+00:00,116.0,official,1.0,49.5,1.0,1.0,1.0,0.04706781609659884,-0.01750819541455971,,,0.051251946016640126,-0.014431520204975581,64.12189655172413,26.054655172413796,1.5389655172413794,0.0891551724137931,0.1520344827586207,0.7588448275862069,0.15685172413793105,0.282968927601934,0.04144374442208762,8.0,MO,
SenBillCassidy,1017500185356853248,"U.S. Senator Bill Cassidy, M.D.",Republican,4841,55902,1472,6942,2018-07-12 20:05:23+00:00,116.0,official,0.026785714285714284,89.79547991071429,3.733732876712329,2.6601027397260273,0.08561643835616438,0.02943229136238228,0.03194750606830629,,,0.02881396170405315,0.03132933744094714,77.20612396694216,24.077568181818183,0.5590971074380165,0.07269345176616401,0.1476389175790126,0.779670935757075,0.2270152447841355,0.7842682585825996,0.05231988028255508,9.0,LA,0.05
RepWexton,1017819745880543238,Rep. Jennifer Wexton,Democrat,4066,33691,1330,4871,2018-07-13 17:15:12+00:00,118.0,official,0.0011806375442739079,93.32792207792208,4.052413793103448,2.882758620689655,0.001379310344827586,0.011841543540497672,0.014201895837848868,,,0.011820339085400164,0.014186980259979448,81.4021151008362,27.10269798327595,0.6000811608460402,0.06651426463354648,0.14818691588785046,0.7852946384653221,0.3112762174126906,0.26605550276694395,0.03140552679098809,3.0,VA,
AugustPfluger,1021216905795899392,August Pfluger,Republican,2098,5556,259,2286,2018-07-23 02:14:18+00:00,117.0,official,0.04216073781291173,83.10540184453228,3.3333333333333335,2.3534798534798536,0.11904761904761904,0.035058374877863376,0.010112982455839848,,,0.035058374877863376,0.010112982455839848,74.74748331744519,22.578493803622496,0.7966825548141087,0.06419256434699713,0.1763298379408961,0.7594756911344138,0.32839809342230697,,,,TX,
DickBlumenthal,102477372,Richard Blumenthal,Democrat,57,4931,589,320,2010-01-06 20:56:57+00:00,115.0,campaign,0.0,96.875,4.0,2.857142857142857,0.0,0.05571099083666686,0.0402726279080158,-0.0013515287268308362,0.07134596874136104,0.06571373674844264,0.038415376797441704,79.63999999999999,33.22456140350877,0.5175438596491229,0.053789473684210526,0.18721052631578947,0.7590175438596491,0.43338245614035087,0.08510652639917309,0.05374529180292873,9.0,CT,
RepTimBurchett,1028854804087492613,Rep. Tim Burchett,Republican,1596,28376,635,1858,2018-08-13 04:04:35+00:00,118.0,official,0.04310344827586207,81.8146551724138,3.515463917525773,2.4329896907216493,0.12371134020618557,-0.013605481424787172,-0.01255268122908941,,,-0.013493699689538249,-0.012482488320254278,82.58672932330828,31.297750626566415,0.6787092731829574,0.05777255639097744,0.13929010025062655,0.8029417293233082,0.24748013784461154,0.6355829476805046,0.05713951743089792,3.0,TN,
Lancegooden,1029094268542099457,Lance Gooden,Republican,2752,217217,200,3150,2018-08-13 19:56:08+00:00,117.0,official,0.1297071129707113,82.00836820083683,3.2925764192139737,2.3580786026200875,0.20087336244541484,0.02908845886942182,0.010403315424166447,,,0.02908845886942182,0.010403315424166447,78.93494549418605,27.61485828488372,0.6114934593023256,0.09847056686046511,0.08153815406976744,0.8199941860465115,-0.06875410610465116,0.6753594887407282,0.031463564390613985,6.0,NJ,
RepMarkTakano,1037321378,Mark Takano,Democrat,5014,59541,615,6666,2012-12-26 14:58:17+00:00,118.0,official,0.0013850415512465374,94.84383656509695,3.955040871934605,2.843324250681199,0.0013623978201634877,0.029040696628081,0.024528751511146363,-0.006254874667959463,-0.006341633527124822,0.01726177939798228,0.016945943397028717,75.68918627842042,25.99445751894695,0.9728978859194255,0.07744276027124053,0.13638811328280814,0.786172516952533,0.17243456322297568,,,,CA,
RepBalderson,1037341536592310272,Congressman Troy Balderson,Republican,2038,6884,703,2995,2018-09-05 14:07:50+00:00,118.0,official,0.008583690987124463,93.19527896995709,3.9022988505747125,2.810344827586207,0.028735632183908046,-0.0007730735921504523,0.013571101824204764,,,-0.0005024427829688887,0.01442701185496966,81.7999558390579,26.0049116781158,0.4932580961727184,0.05107899901864573,0.16872571148184495,0.7801864573110893,0.37044067713444556,0.6470609924243536,0.13556305255284137,4.0,OH,0.5
RepCloudTX,1039879658400112640,Congressman Michael Cloud,Republican,561,22211,1195,922,2018-09-12 14:13:25+00:00,118.0,official,0.05970149253731343,78.61194029850746,3.1066666666666665,2.2266666666666666,0.18666666666666668,0.02417848491485827,0.03608429536306319,,,0.024642590117158542,0.03649340467137336,81.57711229946524,25.52868092691622,0.8436185383244207,0.0866078431372549,0.10782352941176471,0.8055811051693405,0.04354723707664884,0.6538729258530067,0.07018570068944967,4.0,TX,
RepDanKildee,1045110018,Rep. Dan Kildee,Democrat,7299,51357,1508,9712,2012-12-29 15:05:47+00:00,118.0,official,0.005215123859191656,94.52444589308996,4.1298076923076925,2.921474358974359,0.003205128205128205,0.0010040204378367512,0.006618918753226287,-0.042025494136177836,-0.04005671409973286,0.0041597281365539545,0.017313978203699665,83.13943416906426,24.831992053705985,0.6025743252500342,0.06266502260583641,0.1724493766269352,0.764886011782436,0.3105111385121249,0.3149934840282933,0.043037675694587385,9.0,MI,
SenKevinCramer,1048784496,Sen. Kevin Cramer,Republican,7453,33082,623,8787,2012-12-30 20:54:06+00:00,117.0,official,0.02247191011235955,88.51845906902086,3.816822429906542,2.646728971962617,0.09158878504672897,-0.014642856780964024,0.0016620859918476817,-0.0898420094485009,-0.06760137722850557,0.023755875531367748,0.034511001153986344,84.66045216691265,21.81169059439152,0.4675687642560043,0.04582933047095129,0.15496457802227293,0.799204347242721,0.32586008318797804,0.9229589306770536,0.052540812908387316,9.0,ND,
RepGraceMeng,1051127714,Grace Meng,Democrat,6438,49777,684,7312,2012-12-31 20:28:41+00:00,118.0,official,0.0,95.2995642701525,4.20391061452514,2.941340782122905,0.0111731843575419,-0.06022975739451557,-0.04377087614228986,-0.09308589608707546,-0.08215228340440811,-0.0338590106345968,-0.015398074124273667,84.88125038831936,25.96178626902765,0.6701320285803044,0.06101863932898416,0.15555793724759243,0.7834240447343896,0.25945998757378064,0.2381769850903591,0.07158456834094533,9.0,NY,
RepAnnWagner,1051446626,Ann Wagner,Republican,3935,29129,2359,4882,2013-01-01 00:01:45+00:00,118.0,official,0.021352313167259787,87.40213523131672,3.756521739130435,2.6130434782608694,0.12173913043478261,-0.0038598733944624607,-0.004206713413868859,0.012266046978605569,0.0005782446337136956,-0.00637769357100999,-0.0005286377539332802,81.70145616264294,27.94102668360864,0.7809834815756036,0.05883989834815756,0.16959491740787802,0.7715626429479034,0.2895745108005082,0.7697528542695554,0.05697425685502048,9.0,MO,0.417
portman4senate,105181623,Portman4Senate,Republican,213,911,397,746,2010-01-15 16:09:58+00:00,114.0,campaign,0.0,90.63333333333334,3.88,2.64,0.0,-0.018136804695795306,-0.009786035957211616,-0.018136804695795306,-0.009786035957211616,,,87.22549295774647,19.432159624413146,0.3669953051643193,0.06335680751173708,0.11505633802816902,0.8215727699530516,0.12165915492957746,0.6550347601681378,0.053551611485232783,9.0,OH,
RepHoulahan,1052896620797460481,Chrissy Houlahan,Democrat,4007,33331,313,4627,2018-10-18 12:18:11+00:00,118.0,official,0.02636916835699797,92.96551724137932,4.091254752851711,2.8631178707224336,0.0,0.026921590856465574,0.02896454236715577,,,0.026910259618332814,0.02897333451335893,72.86964811579735,32.73180683803344,0.4697080109807836,0.04423583728475168,0.15204666833042177,0.8037157474419766,0.4048163963064637,0.35884776987893846,0.05630285689820398,3.0,PA,
Ed4Colorado,105290638,Ed Perlmutter,Democrat,1575,4151,1150,1926,2010-01-15 23:16:12+00:00,116.0,official,0.0,95.4469696969697,4.107913669064748,2.9244604316546763,0.0,0.01350242933216751,0.0027429427163396932,0.04048965198146818,0.023871755246608423,0.03922590122397533,0.025007072450699715,78.52706031746031,29.293860317460318,0.399231746031746,0.03980825396825397,0.17916634920634922,0.7810152380952381,0.35966438095238096,0.3513395439999244,0.06115687647387992,9.0,CO,
RepLowenthal,1055730738,Rep. Alan Lowenthal,Democrat,7089,37997,3099,8553,2013-01-02 18:11:33+00:00,117.0,official,0.0005998800239952009,96.54709058188362,3.9763880025526483,2.8825781748564134,0.0,0.03741126466588269,0.049286637023455544,-0.0363527018933325,-0.014641401521524098,0.060828739094691595,0.07712513984246759,77.79710396388772,26.615237692199184,1.0774594442093384,0.0917391733671886,0.1487618846099591,0.7595011990407674,0.15103285371702638,0.17166366461520974,0.05572511386197815,9.0,CA,
joekennedy,1055907624,Joe Kennedy III,Democrat,4830,740428,746,7199,2013-01-02 19:33:36+00:00,116.0,official,0.0,94.92937853107344,4.085324232081911,2.9146757679180886,0.0034129692832764505,0.021481772362026322,0.009195632473641406,-0.0725759161295684,-0.06125037904406651,0.06482683208293145,0.037362286658769145,75.45761599005799,27.506874482187243,0.9749005799502899,0.07900890269151138,0.16358157349896482,0.7574093167701863,0.20657749482401658,0.2961006444943618,0.07558418774972915,8.0,MA,
TXRandy14,1058051748,Randy Weber,Republican,3159,24358,859,4389,2013-01-03 15:30:06+00:00,118.0,official,0.028662420382165606,86.48089171974522,3.5447154471544717,2.4634146341463414,0.15040650406504066,-0.013465885270580036,-0.026494153607536382,-0.017977296095314232,-0.02634185446538034,-0.002047917384559606,-0.02634319000231027,77.42627730294396,25.400443178220957,0.4380025324469769,0.05045679012345679,0.1565843621399177,0.7929566318455207,0.2475837923393479,0.8805599492330005,0.051747986247144745,9.0,TX,
RepHolding,1058460818,Former Rep. George Holding,Republican,821,16951,559,1019,2013-01-03 18:27:36+00:00,116.0,official,0.0,94.78440366972477,3.98,2.83,0.03,0.018541913034407862,0.02438907240920348,0.020393166692066006,0.02685461881015197,0.03765325817871626,0.022239518705646742,83.19768574908649,28.984677222898906,0.5183191230207065,0.05969062119366626,0.15445066991473813,0.7858672350791718,0.22653227771010961,0.696758303711109,0.04578377589501804,8.0,NC,0.333
SenDuckworth,1058520120,Tammy Duckworth,Democrat,9739,744090,7335,11231,2013-01-03 18:59:33+00:00,117.0,official,0.0,95.03855599214145,4.090960451977401,2.8966101694915256,0.0,0.04387233326249203,0.04180818368684874,-0.013074890401317518,0.01582156016222598,0.04623656207636025,0.0348935318219534,74.47199301776362,28.054331040147858,0.8053424376219324,0.0698082965396858,0.14688099394188314,0.7833118389978437,0.2333314097956669,0.29353474448852535,0.11870607840074718,9.0,IL,0.45
RepAnnieKuster,1058717720,Ann McLane Kuster,Democrat,6892,24827,2232,8033,2013-01-03 20:29:22+00:00,118.0,official,0.0015785319652722968,96.77663772691398,4.250657318141981,2.801051709027169,0.0043821209465381246,-0.00764720188598882,0.009283911455551089,0.009518715416162938,0.018336756765179135,-0.021684622975755363,-0.005631211746141491,85.9398636099826,24.41281485780615,0.7504236796285548,0.061782356355194426,0.20739233894370285,0.7308248694138132,0.4313174114915844,0.3574775514117549,0.056914281958555094,9.0,NH,0.5
RepDerekKilmer,1058917562,Rep. Derek Kilmer,Democrat,6616,31157,477,7969,2013-01-03 22:15:02+00:00,118.0,official,0.00353045013239188,95.92850838481907,4.11199207135778,2.971258671952428,0.0,-0.002759713776543577,0.01142685647512083,0.03254676514376342,0.04313233379050206,-0.0076695787089055105,0.011304381298101948,82.5524123337364,30.237772067714634,0.4213905683192261,0.034636638452237,0.1765980955259976,0.7887645102781137,0.48697670798065296,0.3835920826506074,0.054156202762422785,9.0,WA,
