"item","M_hi","SD_hi","M_lo","SD_lo","t_rep","d_rep","t_calc","d_calc","t_ok","d_ok"
1,2.62,0.91,1.84,0.91,27.95,-1.57,15.2634903049212,0.857142857142857,FALSE,FALSE
2,3.09,0.8,1.6,0.98,28.04,-1.58,27.9897257091954,1.57180258156875,TRUE,FALSE
3,3.51,0.6,2.08,0.92,29.48,-1.66,29.3528854781106,1.64835274380087,TRUE,FALSE
4,2.3,0.83,1.3,0.78,22.75,-1.28,22.5442366037984,1.26600344931946,FALSE,FALSE
5,2.97,0.85,2.02,0.86,19.82,-1.11,19.7149655708427,1.10712173823158,TRUE,FALSE
6,2.85,1.04,1.76,1.08,18.06,-1.01,18.09959978674,1.01640859098568,TRUE,FALSE
7,2.72,0.91,1.82,0.85,18.71,-1.05,18.5947005943192,1.0442116761454,TRUE,FALSE
8,2.93,0.78,1.76,0.92,23.2,-1.3,23.28645308478,1.3076836641601,TRUE,FALSE
9,2.96,0.84,1.68,0.97,23.958,-1.345,24.0863277357356,1.35260175497548,TRUE,FALSE
10,2.92,0.89,1.19,0.91,33.972,-1.908,33.9964244263201,1.90911723225075,TRUE,FALSE
