pref,rule,comm,rev,nsubj,file,period,subj,group,type,sample,action,groupdec,jar,payoff,time
het,5,1,0,18,HET_5_18_chat.txt,1,9,1,2,2,2,2,2,150,17
het,5,1,0,18,HET_5_18_chat.txt,1,18,1,2,1,2,2,2,150,48
het,5,1,0,18,HET_5_18_chat.txt,1,5,1,2,2,2,2,2,150,34
het,5,1,0,18,HET_5_18_chat.txt,1,4,1,1,2,2,2,2,50,33
het,5,1,0,18,HET_5_18_chat.txt,1,16,1,2,2,2,2,2,150,20
het,5,1,0,18,HET_5_18_chat.txt,1,14,1,1,1,1,2,2,50,44
het,5,1,0,18,HET_5_18_chat.txt,1,13,1,2,2,2,2,2,150,19
het,5,1,0,18,HET_5_18_chat.txt,1,17,1,2,2,1,2,2,150,35
het,5,1,0,18,HET_5_18_chat.txt,1,2,1,1,2,2,2,2,50,18
het,5,1,0,18,HET_5_18_chat.txt,1,3,2,2,2,2,2,2,150,30
het,5,1,0,18,HET_5_18_chat.txt,1,12,2,1,1,1,2,2,50,22
het,5,1,0,18,HET_5_18_chat.txt,1,8,2,1,2,2,2,2,50,23
het,5,1,0,18,HET_5_18_chat.txt,1,6,2,1,2,2,2,2,50,23
het,5,1,0,18,HET_5_18_chat.txt,1,15,2,1,2,2,2,2,50,28
het,5,1,0,18,HET_5_18_chat.txt,1,10,2,2,1,1,2,2,150,7
het,5,1,0,18,HET_5_18_chat.txt,1,7,2,1,2,2,2,2,50,15
het,5,1,0,18,HET_5_18_chat.txt,1,1,2,1,2,2,2,2,50,17
het,5,1,0,18,HET_5_18_chat.txt,1,11,2,1,2,2,2,2,50,42
het,5,1,0,18,HET_5_18_chat.txt,2,9,1,2,2,1,1,1,50,19
het,5,1,0,18,HET_5_18_chat.txt,2,1,1,1,1,1,1,1,150,13
het,5,1,0,18,HET_5_18_chat.txt,2,3,1,1,1,1,1,1,150,20
het,5,1,0,18,HET_5_18_chat.txt,2,7,1,1,1,1,1,1,150,27
het,5,1,0,18,HET_5_18_chat.txt,2,12,1,1,2,1,1,1,150,31
het,5,1,0,18,HET_5_18_chat.txt,2,8,1,1,1,1,1,1,150,26
het,5,1,0,18,HET_5_18_chat.txt,2,6,1,1,1,1,1,1,150,22
het,5,1,0,18,HET_5_18_chat.txt,2,5,1,1,1,1,1,1,150,35
het,5,1,0,18,HET_5_18_chat.txt,2,10,1,1,1,1,1,1,150,26
het,5,1,0,18,HET_5_18_chat.txt,2,11,2,1,2,1,1,1,150,46
het,5,1,0,18,HET_5_18_chat.txt,2,14,2,2,1,1,1,1,50,21
het,5,1,0,18,HET_5_18_chat.txt,2,2,2,2,2,1,1,1,50,32
het,5,1,0,18,HET_5_18_chat.txt,2,4,2,1,1,1,1,1,150,27
het,5,1,0,18,HET_5_18_chat.txt,2,18,2,1,2,1,1,1,150,40
het,5,1,0,18,HET_5_18_chat.txt,2,15,2,1,1,1,1,1,150,12
het,5,1,0,18,HET_5_18_chat.txt,2,17,2,2,1,2,1,1,50,22
het,5,1,0,18,HET_5_18_chat.txt,2,16,2,1,1,1,1,1,150,18
het,5,1,0,18,HET_5_18_chat.txt,2,13,2,1,1,1,1,1,150,12
het,5,1,0,18,HET_5_18_chat.txt,3,16,1,1,2,2,2,1,10,24
het,5,1,0,18,HET_5_18_chat.txt,3,6,1,1,1,1,2,1,10,70
het,5,1,0,18,HET_5_18_chat.txt,3,3,1,2,1,1,2,1,10,87
het,5,1,0,18,HET_5_18_chat.txt,3,4,1,2,2,2,2,1,10,59
het,5,1,0,18,HET_5_18_chat.txt,3,8,1,2,2,2,2,1,10,25
het,5,1,0,18,HET_5_18_chat.txt,3,2,1,1,1,2,2,1,10,48
het,5,1,0,18,HET_5_18_chat.txt,3,18,1,1,1,1,2,1,10,23
het,5,1,0,18,HET_5_18_chat.txt,3,13,1,2,1,2,2,1,10,17
het,5,1,0,18,HET_5_18_chat.txt,3,14,1,1,2,2,2,1,10,26
het,5,1,0,18,HET_5_18_chat.txt,3,17,2,2,2,1,2,2,150,33
het,5,1,0,18,HET_5_18_chat.txt,3,5,2,2,1,2,2,2,150,21
het,5,1,0,18,HET_5_18_chat.txt,3,1,2,1,1,1,2,2,50,37
het,5,1,0,18,HET_5_18_chat.txt,3,15,2,1,2,2,2,2,50,29
het,5,1,0,18,HET_5_18_chat.txt,3,9,2,1,2,2,2,2,50,29
het,5,1,0,18,HET_5_18_chat.txt,3,10,2,1,2,2,2,2,50,24
het,5,1,0,18,HET_5_18_chat.txt,3,11,2,1,1,2,2,2,50,60
het,5,1,0,18,HET_5_18_chat.txt,3,12,2,1,2,2,2,2,50,25
het,5,1,0,18,HET_5_18_chat.txt,3,7,2,1,2,2,2,2,50,23
