"pref","rule","comm","nind","ngroups","red_red_red","red_votes_w_blue_sig","wrong_jury_outcomes","truejar_blue","truejar_red"
"hom",5,0,540,60,90.6137184115523,7.22433460076046,10,6.89655172413793,12.9032258064516
"hom",5,1,540,60,81.2056737588652,21.7054263565891,10,15.625,3.57142857142857
"hom",7,0,1620,180,89.410348977136,24.0811153358682,35,4.8780487804878,60.2040816326531
"hom",7,1,1026,114,72.0754716981132,28.0241935483871,14.0350877192982,10.5263157894737,17.5438596491228
"hom",9,0,675,75,89.7515527950311,39.0934844192635,48,0,97.2972972972973
"hom",9,1,675,75,75.8409785932722,29.5977011494253,8,5.40540540540541,10.5263157894737
"het",5,0,1080,120,74.2857142857143,27.1153846153846,23.3333333333333,23.6363636363636,23.0769230769231
"het",5,1,675,75,77.1676300578035,29.7872340425532,6.66666666666667,11.1111111111111,2.56410256410256
"het",7,0,1350,150,73.4756097560976,29.2507204610951,41.3333333333333,3.79746835443038,83.0985915492958
"het",7,1,675,75,67.4556213017752,26.4094955489614,13.3333333333333,2.94117647058824,21.9512195121951
"het",9,0,945,105,75.1968503937008,35.4691075514874,60,0,100
"het",9,1,540,60,68.3453237410072,37.4045801526718,30,9.67741935483871,51.7241379310345
"part",5,0,405,45,89.2655367231638,26.3157894736842,26.6666666666667,35.7142857142857,11.7647058823529
"part",5,1,405,45,75,28.2296650717703,8.88888888888889,11.5384615384615,5.26315789473684
"part",7,0,540,60,90.3474903474903,25.2669039145907,25,3.2258064516129,48.2758620689655
"part",7,1,540,60,87.1621621621622,41.8032786885246,13.3333333333333,20.8333333333333,8.33333333333333
"part",9,0,540,60,70.6563706563707,31.3167259786477,43.3333333333333,0,100
"part",9,1,540,36,78.2758620689655,33.6,17.3076923076923,5.26315789473684,24.2424242424242
