"label","F","df1","df2","p_reported","p_calc","flag"
"Lib DW robust ftn17",7.93,2,22,0.0025,0.0026,"OK"
"Lib DW quant ftn17",8.03,2,22,0.0024,0.0024,"OK"
"Acc DW robust ftn17",2.04,2,22,0.1534,0.1539,"OK"
"Acc DW quant ftn17",1.39,2,22,0.2705,0.2701,"OK"
"Lib DB robust ftn17",0.88,2,22,0.4278,0.4289,"~"
"Lib DB quant ftn17",0,2,22,1,1,"OK"
"Egal DW robust ftn17",4.28,2,22,0.0269,0.0269,"OK"
"Egal DW quant ftn17",0.61,2,22,0.5524,0.5523,"OK"
"Pool acc robust",16.03,2,60,0.002,0,"~"
"Pool acc quant",13.98,2,60,NA,0,"n/a"
"Pool lib robust",15.72,2,60,NA,0,"n/a"
"Pool lib quant",6.79,2,60,NA,0.0022,"n/a"
"Pool egal robust",21.46,2,60,NA,0,"n/a"
"Pool egal quant",10.7,2,60,NA,1e-04,"n/a"
"Pool bias robust",3.17,2,60,0.0482,0.0491,"OK"
"Pool bias quant",0.35,2,60,0.7056,0.7061,"OK"
"Bias isolate robust ftn19",0.59,2,60,0.5597,0.5575,"~"
"M-acc DB(2,22)",25.97,2,22,0,0,"OK"
"M-acc DB unself(2,20)",10.43,2,20,0.001,8e-04,"OK"
"M-lib DW(2,22)",17.89,2,22,0,0,"OK"
"M-lib DW unself(2,19)",8.55,2,19,0.002,0.0022,"OK"
