"label","W","p_reported","p_calc","flag"
"Account DW ftn17",0.93,0.3529,0.3524,"OK"
"Libert DW ftn17",4.095,0,0,"OK"
"Egalit DW ftn17",1.06,0.2889,0.2891,"OK"
"md>=mr Libert T3",0.762,0.446,0.4461,"OK"
"md<mr Egalit T3",0.24,0.81,0.8103,"OK"
"md<mr qd>=qr Acc",0.12,0.9049,0.9045,"OK"
"md<mr qd>=qr Lib",2.668,0.007,0.0076,"OK"
"md<mr qd>=qr Egal",1.64,0.1,0.101,"~"
"md<mr qd<qr Acc",3.845,1e-04,1e-04,"OK"
"md<mr qd<qr Lib",4.131,0,0,"OK"
"md<mr qd<qr Egal",0.292,0.7699,0.7703,"OK"
"md>=mr pd>pr Lib",0.345,0.73,0.7301,"OK"
"md>=mr pd<=pr Acc",1.12,0.904,0.2627,"MISMATCH"
"md>=mr pd<=pr Lib",1.753,NA,0.0796,"n/a"
"md>=mr pd<=pr Egal",3.185,NA,0.0014,"n/a"
"Pool bias W",0.1,0.9172,0.9203,"MISMATCH"
"Pool acc W",4.93,NA,0,"n/a"
"Pool lib W",4.484,NA,0,"n/a"
"Pool egal W",3.936,NA,1e-04,"n/a"
