id,desc,manuscript,computed,verdict,note
T1-Control,Table1 cell count recovery (Control),19.35% of n=62,count=12 (p=19.35%),OK,
T1-Wife,Table1 cell count recovery (Wife),13.33% of n=45,count=6 (p=13.33%),OK,
T1-Fon,Table1 cell count recovery (Fon),41.18% of n=51,count=21 (p=41.18%),OK,
T1-Control,Table1 cell count recovery (Control),71.43% of n=56,count=40 (p=71.43%),OK,
T1-Wife,Table1 cell count recovery (Wife),57.58% of n=66,count=38 (p=57.58%),OK,
T1-Fon,Table1 cell count recovery (Fon),55.22% of n=67,count=37 (p=55.22%),OK,
T1-D-co-WC,Table1 reconstructed diff Wife-Control (coethnics),-6.02 pp,-6.02 pp,OK,
T1-D-co-FC,Table1 reconstructed diff Fon-Control (coethnics),21.82 pp,21.82 pp,OK,
T1-D-co-FW,Table1 reconstructed diff Fon-Wife (coethnics),27.84 pp,27.84 pp,OK,
T1-D-non-WC,Table1 reconstructed diff Wife-Control (non-coethnics),-13.85 pp,-13.85 pp,OK,
T1-D-non-FC,Table1 reconstructed diff Fon-Control (non-coethnics),-16.20 pp,-16.20 pp,OK,
T1-D-non-FW,Table1 reconstructed diff Fon-Wife (non-coethnics),-2.35 pp,-2.35 pp,OK,
T1-P-co-WC,approx two-proport z p (co W-C),.41,0.411 (pooled z),OK,rough; exact test dependent
T1-P-co-FC,approx two-proport z p (co F-C),.01,0.011 (pooled z),OK,rough; exact test dependent
T1-P-co-FW,approx two-proport z p (co F-W),.00,0.002 (pooled z),OK,rough; exact test dependent
T1-P-non-WC,approx two-proport z p (non W-C),.11,0.112 (pooled z),OK,rough; exact test dependent
T1-P-non-FC,approx two-proport z p (non F-C),.06,0.064 (pooled z),OK,rough; exact test dependent
T1-P-non-FW,approx two-proport z p (non F-W),.79,0.784 (pooled z),OK,rough; exact test dependent
T1-BASE,"Baseline support gap (control, non-coethnics vs coethnics)",71% vs 19%; >50pp; significant >99%,52.08pp,OK,consistent with 'more-than-50-point' text claim
T2-N-co,Table1 coethnics n sum -> Table2 obs,158,158,OK,
T2-N-non,Table1 non-coethnics n sum -> Table2 obs,189,189,OK,
T3-C-popxcrate,Table3 country-unit popxcrate,0.128/0.240 co/cross,24% vs 13% in prose,OK,
T3-C-ELF,Table3 country-unit ELF,0.791 / 0.741,similar ELF,OK,
