"term","outcome","reimpl_beta","pdf_beta","diff"
"quar","worry",0.092,0.1,-0.0083
"quar","negemo",0.054,0.06,-0.0057
"quar","posemo",-0.016,-0.02,0.0036
"quar","depress",0.096,0.09,0.006
"quar","anx",0.071,0.07,8e-04
"quar","lonely",0.114,0.12,-0.0057
"quar","healthy",0.037,0.04,-0.0031
"quar","unhealthy",0.072,0.08,-0.0078
"flow","worry",0.001,0.001,-2e-04
"flow","negemo",0.005,0.004,5e-04
"flow","posemo",0.175,0.17,0.005
"flow","depress",-0.043,-0.04,-0.0034
"flow","anx",-0.005,-0.004,-7e-04
"flow","lonely",-0.157,-0.15,-0.0074
"flow","healthy",0.187,0.19,-0.0027
"flow","unhealthy",-0.116,-0.12,0.0038
"mind","worry",-0.03,-0.04,0.0101
"mind","negemo",-0.099,-0.09,-0.0092
"mind","posemo",0.195,0.19,0.0048
"mind","depress",-0.068,-0.06,-0.0079
"mind","anx",-0.06,-0.05,-0.0105
"mind","lonely",0.059,0.06,-0.0011
"mind","healthy",0.058,0.06,-0.0025
"mind","unhealthy",0.044,0.05,-0.0063
"fxq","worry",-0.043,-0.04,-0.0028
"fxq","negemo",-0.053,-0.05,-0.0026
"fxq","posemo",-0.004,-0.004,0
"fxq","depress",-0.075,-0.06,-0.0148
"fxq","anx",-0.072,-0.06,-0.0115
"fxq","lonely",-0.054,-0.05,-0.0044
"fxq","healthy",-0.014,-0.01,-0.0042
"fxq","unhealthy",-0.048,-0.05,0.0015
"mxq","worry",0.017,0.02,-0.0026
"mxq","negemo",0.012,0.01,0.0018
"mxq","posemo",-0.014,-0.02,0.0057
"mxq","depress",0.014,0.01,0.0042
"mxq","anx",0.03,0.03,-3e-04
"mxq","lonely",0.011,0.01,8e-04
"mxq","healthy",0.004,0.005,-0.0013
"mxq","unhealthy",0.032,0.04,-0.0085
